Farmer_ID,Farm_Size_ha,Budget_per_ha_INR_per_season,Budget_total_INR_per_season
F0001,0.82,3894.03,3193.1
F0002,0.21,3149.07,661.31
F0003,1.28,3949.18,5054.95
F0004,1.55,3047.99,4724.38
F0005,0.69,3303.26,2279.25
F0006,0.44,3361.51,1479.06
F0007,0.6,3219.31,1931.59
F0008,0.26,2804.7,729.22
F0009,1.46,3129.71,4569.38
F0010,1.32,3272.71,4319.98
F0011,0.65,3239.07,2105.4
F0012,1.87,3899.78,7292.58
F0013,0.97,2866.31,2780.33
F0014,0.26,3344.53,869.58
F0015,0.88,2852.52,2510.22
F0016,0.23,4102.91,943.67
F0017,1.46,3906.29,5703.19
F0018,0.58,4175.03,2421.52
F0019,0.5,4074.22,2037.11
F0020,0.31,3242.14,1005.06
F0021,0.52,3768.22,1959.47
F0022,0.4,3229.18,1291.67
F0023,0.43,4043.5,1738.7
F0024,1.03,3375.05,3476.31
F0025,0.87,3326.24,2893.83
