,Zero Tillage (ZT),Crop Residue Retention,Reduced / Minimum Tillage,Puddling Reduction,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Balanced Inorganic NPK Fertilisation,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Green Manure Incorporation,Farmyard Manure (FYM) Application,Compost Application,Biochar Application,Rice Straw Incorporation with N Fertiliser,Crop Rotation and Diversification,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection,Deep Placement of N Fertiliser,Raised Bed + Zero Tillage System
Zero Tillage (ZT),0,-271.9992053,-48.77587972,-101.0684907,21.98494937,28.18103017,9.218769602,-1.248147775,30.56353347,-237.6066775,10.31831529,-10.16037541,15.39948556,-21.00391192,18.58135428,5.804033077,21.78571945,1.689476737,-36.4288955,-inf
Crop Residue Retention,-271.9992053,0,-112.3607247,-120.304089,-8.37212575,-184.438671,-11.55879482,-31.89215808,12.4290186,-10.68131616,-7.733663493,-9.076346164,12.17431202,12.01866647,-2.462137113,-42.18336085,-24.93117069,-9.454063851,18.43788921,-23.75055137
Reduced / Minimum Tillage,-48.77587972,-112.3607247,0,-43.18301058,-14.85374889,-13.23731773,40.04447228,4.481890874,20.87778115,-29.71907636,-9.745245079,-5.555567427,7.837846186,72.84656165,-53.30115702,-10.3839315,26.64950577,-25.89134382,-1.34456377,24.56848778
Puddling Reduction,-101.0684907,-120.304089,-43.18301058,0,-24.12791906,-20.53466698,23.28932532,-1.019063153,-11.37458701,4.314697943,-2.965958153,5.484562534,10.71891096,-30.61172579,43.09164302,36.53610731,16.08316987,-4.086072463,2.264622673,-1.217960048
Mid-Season Drainage (MSD),21.98494937,-8.37212575,-14.85374889,-24.12791906,0,-21.95380917,-33.15981794,-8.191827359,-43.19106624,-5.596470422,-27.10970181,62.93685094,-7.184584039,-204.2197498,-16.353661,-26.5603603,-2.356563856,205.1698845,45.92283821,-9.20622392
Alternate Wetting and Drying (AWD),28.18103017,-184.438671,-13.23731773,-20.53466698,-21.95380917,0,-124.5399977,10.86915186,-34.37239521,5.804247241,25.31789545,1.328883689,7.912356542,182.9341961,-27.8102868,12.00358508,-197.2789831,-80.76989785,-2.587206702,36.78729932
System of Rice Intensification (SRI) Water Management,9.218769602,-11.55879482,40.04447228,23.28932532,-33.15981794,-124.5399977,0,4.412810534,-43.91804456,-38.34653512,-92.1463521,-44.49843919,-48.79058389,10.97482897,1.663645396,-29.45759058,-49.00635173,18.26936728,-29.30017981,15.93834527
Balanced Inorganic NPK Fertilisation,-1.248147775,-31.89215808,4.481890874,-1.019063153,-8.191827359,10.86915186,4.412810534,0,0.819552322,-inf,7.800236789,-334.5644754,10.34725713,-14.77758563,36.8987262,-14.27359154,5.821950503,-21.58363162,-76.58121475,-3.125225758
Optimised / Variable-Rate N Application,30.56353347,12.4290186,20.87778115,-11.37458701,-43.19106624,-34.37239521,-43.91804456,0.819552322,0,-20.55625043,0.285651389,21.04550167,-5.129042222,-11.44248577,-146.0790839,-19.85340725,6.906854483,1.358839635,-65.43162308,5.730284353
Integrated Nutrient Management (INM) – Organic + Inorganic,-237.6066775,-10.68131616,-29.71907636,4.314697943,-5.596470422,5.804247241,-38.34653512,-inf,-20.55625043,0,-4.490285346,-9.843529306,-2.938554183,-32.4118082,-16.956611,4.944752049,-1.728448368,-20.9349556,-22.20334634,43.01924578
Green Manure Incorporation,10.31831529,-7.733663493,-9.745245079,-2.965958153,-27.10970181,25.31789545,-92.1463521,7.800236789,0.285651389,-4.490285346,0,-26.01359848,-45.77264565,-13.34750596,10.69726102,-77.33273511,-36.92144542,27.86481111,8.719397351,1.734528378
Farmyard Manure (FYM) Application,-10.16037541,-9.076346164,-5.555567427,5.484562534,62.93685094,1.328883689,-44.49843919,-334.5644754,21.04550167,-9.843529306,-26.01359848,0,-21.14152582,7.847705286,-51.8245859,-100.2617055,-24.05227791,-7.109095951,-8.481462097,0.158476559
Compost Application,15.39948556,12.17431202,7.837846186,10.71891096,-7.184584039,7.912356542,-48.79058389,10.34725713,-5.129042222,-2.938554183,-45.77264565,-21.14152582,0,35.83036267,-1.41957986,-74.93945244,27.13217511,11.34913948,-45.78515211,-37.37652076
Biochar Application,-21.00391192,12.01866647,72.84656165,-30.61172579,-204.2197498,182.9341961,10.97482897,-14.77758563,-11.44248577,-32.4118082,-13.34750596,7.847705286,35.83036267,0,-17.98700583,-13.5873877,-13.98930715,-7.433084067,-62.32178574,-17.20930706
Rice Straw Incorporation with N Fertiliser,18.58135428,-2.462137113,-53.30115702,43.09164302,-16.353661,-27.8102868,1.663645396,36.8987262,-146.0790839,-16.956611,10.69726102,-51.8245859,-1.41957986,-17.98700583,0,-24.25373799,-4.783599667,36.37613941,-35.23486924,-11.2141052
Crop Rotation and Diversification,5.804033077,-42.18336085,-10.3839315,36.53610731,-26.5603603,12.00358508,-29.45759058,-14.27359154,-19.85340725,4.944752049,-77.33273511,-100.2617055,-74.93945244,-13.5873877,-24.25373799,0,15.93677257,-59.85650762,-20.65573666,-6.334439224
