,Crop Residue Retention,Reduced / Minimum Tillage,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Manure Application,Biochar Application,Raised Bed Cultivation,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection
Crop Residue Retention,0.0,0.08914151239263295,0.10821694149173641,0.12383521209501856,0.0544086821727926,0.08198092092683648,0.09422122611350285,0.10635350903921817,0.09957211366788175,0.06715016533510679,0.09096332193092235,0.14424942802611385
Reduced / Minimum Tillage,0.08914151239263295,0.0,-0.012206590923718166,0.07658157627035375,0.09951778363474104,0.06003470878133917,0.0865606579018704,0.10036740689215684,0.09893864677515621,-0.0070555898143919325,0.022424119668515936,0.029513906851525863
Mid-Season Drainage (MSD),0.10821694149173641,-0.012206590923718166,0.0,0.09758666994077835,0.06953824783254688,0.07426087025355156,-0.01379178429002417,0.010357280311016523,0.1387677118190201,0.060142221768000464,0.044124810632328815,-0.06975011762544626
Alternate Wetting and Drying (AWD),0.12383521209501856,0.07658157627035375,0.09758666994077835,0.0,0.09996155326918359,0.07760845367280803,0.040319011629367935,0.05283562833919818,-0.07712527942122853,0.0738368732639711,0.14520924412372185,0.08713206806996834
System of Rice Intensification (SRI) Water Management,0.0544086821727926,0.09951778363474104,0.06953824783254688,0.09996155326918359,0.0,0.08216388523141609,0.12065556436570328,0.049295075221344055,0.1207756272572131,0.12389908673658685,0.052202721757834254,0.09905452840443213
Optimised / Variable-Rate N Application,0.08198092092683648,0.06003470878133917,0.07426087025355156,0.07760845367280803,0.08216388523141609,0.0,0.04953262756377376,0.13990192675075358,0.05031385639904408,0.05561176714069022,0.07577627340750845,0.07524095488883935
Integrated Nutrient Management (INM) – Organic + Inorganic,0.09422122611350285,0.0865606579018704,-0.01379178429002417,0.040319011629367935,0.12065556436570328,0.04953262756377376,0.0,0.06541076272780008,0.12390823564418657,0.04445168700748926,0.14385409197305493,0.052912184657389214
Manure Application,0.10635350903921817,0.10036740689215684,0.010357280311016523,0.05283562833919818,0.049295075221344055,0.13990192675075358,0.06541076272780008,0.0,0.0753008630702573,0.09338216604446242,-0.01916906361479429,0.08479974840720315
Biochar Application,0.09957211366788175,0.09893864677515621,0.1387677118190201,-0.07712527942122853,0.1207756272572131,0.05031385639904408,0.12390823564418657,0.0753008630702573,0.0,0.11918005225120475,0.11318866130179667,0.08549703311665718
Raised Bed Cultivation,0.06715016533510679,-0.0070555898143919325,0.060142221768000464,0.0738368732639711,0.12389908673658685,0.05561176714069022,0.04445168700748926,0.09338216604446242,0.11918005225120475,0.0,0.12952783796693748,0.06850438036592037
Early-Maturing / Low-Emission Variety Selection,0.09096332193092235,0.022424119668515936,0.044124810632328815,0.14520924412372185,0.052202721757834254,0.07577627340750845,0.14385409197305493,-0.01916906361479429,0.11318866130179667,0.12952783796693748,0.0,-0.013420905284337396
High-Biomass / Deep-Root Variety Selection,0.14424942802611385,0.029513906851525863,-0.06975011762544626,0.08713206806996834,0.09905452840443213,0.07524095488883935,0.052912184657389214,0.08479974840720315,0.08549703311665718,0.06850438036592037,-0.013420905284337396,0.0
