,Crop Residue Retention,Reduced / Minimum Tillage,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Manure Application,Biochar Application,Raised Bed Cultivation,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection
Crop Residue Retention,0.0,-500.0,-500.0,-500.0,87.93979748628286,-330.91381895479503,36.875078408249884,-4.992591098625289,300.0,300.0,-438.0901082606017,-40.641501638461556
Reduced / Minimum Tillage,-500.0,0.0,61.59794225754956,-500.0,-388.51187431948364,-465.17580153999205,87.14287779481899,6.757906948889146,300.0,300.0,-500.0,-33.48850299857749
Mid-Season Drainage (MSD),-500.0,61.59794225754956,0.0,-500.0,-500.0,-500.0,49.7160744053764,-42.725264633653424,300.0,300.0,-426.9541278821627,48.07466589059089
Alternate Wetting and Drying (AWD),-500.0,-500.0,-500.0,0.0,-500.0,-500.0,-99.72468276014817,-37.81625540393897,300.0,300.0,-500.0,-59.41499556967944
System of Rice Intensification (SRI) Water Management,87.93979748628286,-388.51187431948364,-500.0,-500.0,0.0,-500.0,160.17788913209154,17.927563495631617,300.0,300.0,-500.0,-22.222269709877338
Optimised / Variable-Rate N Application,-330.91381895479503,-465.17580153999205,-500.0,-500.0,-500.0,0.0,-452.9729228824707,291.38624660073293,300.0,300.0,-340.10296538185344,-103.56537528258116
Integrated Nutrient Management (INM) – Organic + Inorganic,36.875078408249884,87.14287779481899,49.7160744053764,-99.72468276014817,160.17788913209154,-452.9729228824707,0.0,-5.378255081832049,300.0,300.0,-82.13866792243861,93.15730128742442
Manure Application,-4.992591098625289,6.757906948889146,-42.725264633653424,-37.81625540393897,17.927563495631617,291.38624660073293,-5.378255081832049,0.0,300.0,300.0,17.25879177221195,-11.863832610988256
Biochar Application,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0
Raised Bed Cultivation,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0
Early-Maturing / Low-Emission Variety Selection,-438.0901082606017,-500.0,-426.9541278821627,-500.0,-500.0,-340.10296538185344,-82.13866792243861,17.25879177221195,300.0,300.0,0.0,64.33267946890444
High-Biomass / Deep-Root Variety Selection,-40.641501638461556,-33.48850299857749,48.07466589059089,-59.41499556967944,-22.222269709877338,-103.56537528258116,93.15730128742442,-11.863832610988256,300.0,300.0,64.33267946890444,0.0
