,Crop Residue Retention,Reduced / Minimum Tillage,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Manure Application,Biochar Application,Raised Bed Cultivation,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection
Crop Residue Retention,0,0,0,0,0,0,0,0,0,0,0,0
Reduced / Minimum Tillage,0,0,0,0,0,0,0,0,0,0,0,0
Mid-Season Drainage (MSD),0,0,0,0,0,0,0,0,0,0,0,0
Alternate Wetting and Drying (AWD),0,0,0,0,0,0,0,0,0,0,0,0
System of Rice Intensification (SRI) Water Management,0,0,0,0,0,0,0,0,0,0,0,0
Optimised / Variable-Rate N Application,0,0,0,0,0,0,0,0,0,0,0,0
Integrated Nutrient Management (INM) – Organic + Inorganic,0,0,0,0,0,0,0,0,0,0,0,0
Manure Application,0,0,0,0,0,0,0,0,0,0,0,0
Biochar Application,0,0,0,0,0,0,0,0,0,0,0,0
Raised Bed Cultivation,0,0,0,0,0,0,0,0,0,0,0,0
Early-Maturing / Low-Emission Variety Selection,0,0,0,0,0,0,0,0,0,0,0,0
High-Biomass / Deep-Root Variety Selection,0,0,0,0,0,0,0,0,0,0,0,0
