,Crop Residue Retention,Reduced / Minimum Tillage,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Manure Application,Biochar Application,Raised Bed Cultivation,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection
Crop Residue Retention,0.0,0.007504511958064572,-0.049532692602934775,-0.00016801157504288796,0.06555583870857896,0.05935018684504091,0.030822347983420026,0.046302752729094794,0.04690941035862396,0.060646183711066975,0.004308210030078827,0.039755145418569254
Reduced / Minimum Tillage,0.007504511958064572,0.0,-0.013065415609186625,-0.008244812156912395,0.0608630853661039,0.052333716182814564,0.05447191097549365,0.05578238797379968,0.043606575672853976,0.04449715497546633,0.009682783545914809,0.053255061302100115
Mid-Season Drainage (MSD),-0.049532692602934775,-0.013065415609186625,0.0,-0.018099791472001123,0.00857975881257154,-0.011332872140034807,0.052848514721411305,0.0015853969107671422,0.05913550475114823,0.04236524212003342,-0.004694023402027239,-0.023302032359550837
Alternate Wetting and Drying (AWD),-0.00016801157504288796,-0.008244812156912395,-0.018099791472001123,0.0,0.04153403375911693,0.021057750551538256,0.05799548453446873,0.07598456595572131,0.03132764639980246,0.04321933848198875,0.05868847287091715,-0.05169086781582682
System of Rice Intensification (SRI) Water Management,0.06555583870857896,0.0608630853661039,0.00857975881257154,0.04153403375911693,0.0,0.05465352422709408,0.09281933117580927,0.054399933679435304,0.057137421182990186,0.08080745401750758,0.022466277048873825,0.020583874109946845
Optimised / Variable-Rate N Application,0.05935018684504091,0.052333716182814564,-0.011332872140034807,0.021057750551538256,0.05465352422709408,0.0,0.06676253135788762,0.05828818866551993,0.05535422924687672,0.08163709602820576,0.0015704856744534462,0.016506341105912863
Integrated Nutrient Management (INM) – Organic + Inorganic,0.030822347983420026,0.05447191097549365,0.052848514721411305,0.05799548453446873,0.09281933117580927,0.06676253135788762,0.0,0.08535859827159767,0.08502113204382544,0.07824321806392741,0.0667697840747269,0.1115485289831759
Manure Application,0.046302752729094794,0.05578238797379968,0.0015853969107671422,0.07598456595572131,0.054399933679435304,0.05828818866551993,0.08535859827159767,0.0,0.03690424609141219,0.02548788472465504,0.01579091256410435,0.05571652279205086
Biochar Application,0.04690941035862396,0.043606575672853976,0.05913550475114823,0.03132764639980246,0.057137421182990186,0.05535422924687672,0.08502113204382544,0.03690424609141219,0.0,0.08767218307498789,0.08071511983991984,0.022636816015086703
Raised Bed Cultivation,0.060646183711066975,0.04449715497546633,0.04236524212003342,0.04321933848198875,0.08080745401750758,0.08163709602820576,0.07824321806392741,0.02548788472465504,0.08767218307498789,0.0,0.046409615734347986,0.06678862953869537
Early-Maturing / Low-Emission Variety Selection,0.004308210030078827,0.009682783545914809,-0.004694023402027239,0.05868847287091715,0.022466277048873825,0.0015704856744534462,0.0667697840747269,0.01579091256410435,0.08071511983991984,0.046409615734347986,0.0,-0.0039460512285958965
High-Biomass / Deep-Root Variety Selection,0.039755145418569254,0.053255061302100115,-0.023302032359550837,-0.05169086781582682,0.020583874109946845,0.016506341105912863,0.1115485289831759,0.05571652279205086,0.022636816015086703,0.06678862953869537,-0.0039460512285958965,0.0
