Farmer_ID,Farm_Size_ha,Budget_per_ha_INR_per_season,Budget_total_INR_per_season
F0001,0.82,160.7395652,131.8065217
F0002,0.21,144.5452174,30.35434783
F0003,1.28,161.9386957,207.2813043
F0004,1.55,142.3473913,220.6386957
F0005,0.69,147.8969565,102.0491304
F0006,0.44,149.1630435,65.63173913
F0007,0.6,146.0721739,87.64304348
F0008,0.26,137.0586957,35.63521739
F0009,1.46,144.1243478,210.4213043
F0010,1.32,147.2330435,194.3473913
F0011,0.65,146.5017391,95.22608696
F0012,1.87,160.8647826,300.8169565
F0013,0.97,138.3982609,134.246087
F0014,0.26,148.793913,38.68652174
F0015,0.88,138.0982609,121.5265217
F0016,0.23,165.2804348,38.01434783
F0017,1.46,161.0065217,235.0691304
F0018,0.58,166.8482609,96.77217391
F0019,0.5,164.6569565,82.32869565
F0020,0.31,146.5682609,45.43608696
F0021,0.52,158.0047826,82.1626087
F0022,0.4,146.2865217,58.51478261
F0023,0.43,163.9891304,70.51521739
F0024,1.03,149.4578261,153.9413043
F0025,0.87,148.3965217,129.1052174
