,Zero Tillage (ZT),,Reduced / Minimum Tillage,Puddling Reduction,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Balanced Inorganic NPK Fertilisation,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Green Manure Incorporation,Farmyard Manure (FYM) Application,Compost Application,Biochar Application,Rice Straw Incorporation with N Fertiliser,Crop Rotation and Diversification,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection,Deep Placement of N Fertiliser,Raised Bed + Zero Tillage System
Zero Tillage (ZT),0,-11.8260524,-2.120690422,-4.394282206,0.955867364,1.225262181,0.40081607,-0.054267295,1.328849281,-10.33072511,0.448622404,-0.441755453,0.669542851,-0.913213562,0.807884969,0.252349264,0.947205193,0.07345551,-1.583865022,#NAME?
Crop Residue Retention,-11.8260524,0,-4.8852489,-5.230612567,-0.364005467,-8.019072653,-0.502556296,-1.386615569,0.540392113,-0.46440505,-0.336246239,-0.394623746,0.529317914,0.522550716,-0.10704944,-1.834059167,-1.083963943,-0.411046254,0.801647357,-1.032632668
Reduced / Minimum Tillage,-2.120690422,-4.8852489,0,-1.877522199,-0.645815169,-0.575535553,1.741064012,0.194864821,0.907729615,-1.292133755,-0.423706308,-0.24154641,0.340775921,3.167241811,-2.317441609,-0.451475283,1.158674164,-1.125710601,-0.058459294,1.068195121
Puddling Reduction,-4.394282206,-5.230612567,-1.877522199,0,-1.049039959,-0.892811608,1.012579362,-0.044307094,-0.494547261,0.187595563,-0.128954702,0.238459241,0.466039607,-1.3309446,1.873549697,1.588526405,0.699268255,-0.177655324,0.098461855,-0.052954785
Mid-Season Drainage (MSD),0.955867364,-0.364005467,-0.645815169,-1.049039959,0,-0.954513442,-1.441731215,-0.356166407,-1.877872445,-0.243324801,-1.178682687,2.736384823,-0.312373219,-8.879119557,-0.711028739,-1.154798274,-0.102459298,8.92042976,1.996645139,-0.400270605
Alternate Wetting and Drying (AWD),1.225262181,-8.019072653,-0.575535553,-0.892811608,-0.954513442,0,-5.414782511,0.47257182,-1.494451966,0.252358576,1.100778063,0.057777552,0.344015502,7.9536607,-1.209142904,0.521895004,-8.577347091,-3.511734689,-0.112487248,1.599447797
System of Rice Intensification (SRI) Water Management,0.40081607,-0.502556296,1.741064012,1.012579362,-1.441731215,-5.414782511,0,0.191861328,-1.909480198,-1.667240658,-4.006363135,-1.934714747,-2.121329734,0.477166477,0.072332409,-1.280764808,-2.130710945,0.794320316,-1.273920862,0.692971534
Balanced Inorganic NPK Fertilisation,-0.054267295,-1.386615569,0.194864821,-0.044307094,-0.356166407,0.47257182,0.191861328,0,0.03563271,#NAME?,0.33914073,-14.54628154,0.449880745,-0.642503723,1.604292444,-0.620590936,0.253128283,-0.938418766,-3.329618033,-0.135879381
Optimised / Variable-Rate N Application,1.328849281,0.540392113,0.907729615,-0.494547261,-1.877872445,-1.494451966,-1.909480198,0.03563271,0,-0.893750019,0.012419626,0.915021812,-0.223001836,-0.497499381,-6.351264519,-0.86319162,0.300298021,0.059079984,-2.844853177,0.249142798
Integrated Nutrient Management (INM) – Organic + Inorganic,-10.33072511,-0.46440505,-1.292133755,0.187595563,-0.243324801,0.252358576,-1.667240658,#NAME?,-0.893750019,0,-0.195229798,-0.427979535,-0.127763225,-1.409209052,-0.737243957,0.21498922,-0.075149929,-0.910215461,-0.965362884,1.87040199
Green Manure Incorporation,0.448622404,-0.336246239,-0.423706308,-0.128954702,-1.178682687,1.100778063,-4.006363135,0.33914073,0.012419626,-0.195229798,0,-1.131026021,-1.990115028,-0.580326346,0.465098305,-3.362292831,-1.605280236,1.211513527,0.379104233,0.075414277
Farmyard Manure (FYM) Application,-0.441755453,-0.394623746,-0.24154641,0.238459241,2.736384823,0.057777552,-1.934714747,-14.54628154,0.915021812,-0.427979535,-1.131026021,0,-0.919196775,0.341204578,-2.253242865,-4.359204588,-1.045751213,-0.309091128,-0.368759222,0.006890285
