,Zero Tillage (ZT),Crop Residue Retention,Reduced / Minimum Tillage,Puddling Reduction,Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,Balanced Inorganic NPK Fertilisation,Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,Green Manure Incorporation,Farmyard Manure (FYM) Application,Compost Application,Biochar Application,Rice Straw Incorporation with N Fertiliser,Crop Rotation and Diversification,Early-Maturing / Low-Emission Variety Selection,High-Biomass / Deep-Root Variety Selection,Deep Placement of N Fertiliser,Raised Bed + Zero Tillage System
Zero Tillage (ZT),0,69.02664343,-6.793980036,28.12938225,4.05804488,2.439179177,-5.002865743,-0.964499288,-0.806240776,66.65553463,2.247761755,-2.67257076,5.890290223,-4.301641125,2.833848356,0.608795526,1.166585472,1.508449037,-1.667849824,-inf
Crop Residue Retention,69.02664343,0,26.10758238,35.83870017,0.849146427,69.49290473,4.476395902,-5.912802856,0.743090797,0.827163606,2.383175152,-1.991675969,-2.449055688,2.329727875,-2.208512932,-7.55015203,2.085778574,6.778582423,-4.871048765,-1.768868222
Reduced / Minimum Tillage,-6.793980036,26.10758238,0,2.26655814,-7.544649675,1.213962842,-1.248811969,1.147808786,1.861935961,-3.337834084,-7.182710335,-7.673771971,4.372834267,2.162136174,1.396755456,-3.193548517,0.81938383,-8.737476233,9.223982158,-2.605020514
Puddling Reduction,28.12938225,35.83870017,2.26655814,0,-3.783788163,4.37472628,2.008439823,-3.416283628,-6.394464854,8.23873699,1.491266815,-2.143968161,8.012639958,-7.138221909,-0.936621982,-5.775890515,-2.058809337,1.761258515,3.359680661,-4.39946228
Mid-Season Drainage (MSD),4.05804488,0.849146427,-7.544649675,-3.783788163,0,-1.743252734,0.159816483,5.231779958,27.05169468,1.26520065,0.4721206,9.792232755,-7.635349575,73.97666979,-11.20324711,-2.762292665,-9.170756824,-36.16243759,15.15687219,1.782028961
Alternate Wetting and Drying (AWD),2.439179177,69.49290473,1.213962842,4.37472628,-1.743252734,0,26.34130381,-1.962553415,-1.242645621,-2.897359403,0.810935623,0.000440312,-0.507582253,-23.06728785,6.214658886,-9.102187758,48.79966647,28.67147929,-1.314664582,-13.39126143
System of Rice Intensification (SRI) Water Management,-5.002865743,4.476395902,-1.248811969,2.008439823,0.159816483,26.34130381,0,1.544316468,1.711280785,4.506928767,20.02079426,32.82078015,31.6972001,4.319938314,-3.638732991,4.081827873,34.13723556,-8.20194916,-2.704068743,-3.64659354
Balanced Inorganic NPK Fertilisation,-0.964499288,-5.912802856,1.147808786,-3.416283628,5.231779958,-1.962553415,1.544316468,0,-6.347270345,-inf,6.027714971,64.17789923,8.432398339,3.08298951,1.921860588,4.2457236,1.222961179,-0.769714853,36.08558106,7.729333292
Optimised / Variable-Rate N Application,-0.806240776,0.743090797,1.861935961,-6.394464854,27.05169468,-1.242645621,1.711280785,-6.347270345,0,1.055510566,6.933707428,2.891042616,-10.45315978,0.562854492,18.46536963,2.293756205,-7.370952438,-2.461440176,29.34275903,2.765554986
Integrated Nutrient Management (INM) – Organic + Inorganic,66.65553463,0.827163606,-3.337834084,8.23873699,1.26520065,-2.897359403,4.506928767,-inf,1.055510566,0,1.026657896,2.719133508,4.327925437,-7.733141204,3.910089912,5.682873896,7.06218725,-3.101219229,-1.867913155,-7.211381819
Green Manure Incorporation,2.247761755,2.383175152,-7.182710335,1.491266815,0.4721206,0.810935623,20.02079426,6.027714971,6.933707428,1.026657896,0,2.476680462,4.843288652,-5.581316928,-0.987361779,38.59648252,5.568116956,2.000228417,10.17919597,0.835777009
Farmyard Manure (FYM) Application,-2.67257076,-1.991675969,-7.673771971,-2.143968161,9.792232755,0.000440312,32.82078015,64.17789923,2.891042616,2.719133508,2.476680462,0,1.737758466,-4.348011161,-5.829830155,43.4218091,1.814131056,0.966916432,5.550529736,13.55308031
Compost Application,5.890290223,-2.449055688,4.372834267,8.012639958,-7.635349575,-0.507582253,31.6972001,8.432398339,-10.45315978,4.327925437,4.843288652,1.737758466,0,0.477496582,-0.889083032,21.59666548,1.912337777,-1.610468116,-1.750994964,7.115802938
Biochar Application,-4.301641125,2.329727875,2.162136174,-7.138221909,73.97666979,-23.06728785,4.319938314,3.08298951,0.562854492,-7.733141204,-5.581316928,-4.348011161,0.477496582,0,-7.839148466,12.62825224,2.426505441,0.519012903,30.95809307,4.684254305
Rice Straw Incorporation with N Fertiliser,2.833848356,-2.208512932,1.396755456,-0.936621982,-11.20324711,6.214658886,-3.638732991,1.921860588,18.46536963,3.910089912,-0.987361779,-5.829830155,-0.889083032,-7.839148466,0,-4.631455595,7.324285524,0.686012957,25.42962235,2.360003221
Crop Rotation and Diversification,0.608795526,-7.55015203,-3.193548517,-5.775890515,-2.762292665,-9.102187758,4.081827873,4.2457236,2.293756205,5.682873896,38.59648252,43.4218091,21.59666548,12.62825224,-4.631455595,0,-2.810980788,-4.103821435,1.292169919,-0.830529764
Early-Maturing / Low-Emission Variety Selection,1.166585472,2.085778574,0.81938383,-2.058809337,-9.170756824,48.79966647,34.13723556,1.222961179,-7.370952438,7.06218725,5.568116956,1.814131056,1.912337777,2.426505441,7.324285524,-2.810980788,0,3.68791117,2.903652745,-0.454404371
High-Biomass / Deep-Root Variety Selection,1.508449037,6.778582423,-8.737476233,1.761258515,-36.16243759,28.67147929,-8.20194916,-0.769714853,-2.461440176,-3.101219229,2.000228417,0.966916432,-1.610468116,0.519012903,0.686012957,-4.103821435,3.68791117,0,-5.385718281,-0.368767209
Deep Placement of N Fertiliser,-1.667849824,-4.871048765,9.223982158,3.359680661,15.15687219,-1.314664582,-2.704068743,36.08558106,29.34275903,-1.867913155,10.17919597,5.550529736,-1.750994964,30.95809307,25.42962235,1.292169919,2.903652745,-5.385718281,0,-3.9940971
Raised Bed + Zero Tillage System,-inf,-1.768868222,-2.605020514,-4.39946228,1.782028961,-13.39126143,-3.64659354,7.729333292,2.765554986,-7.211381819,0.835777009,13.55308031,7.115802938,4.684254305,2.360003221,-0.830529764,-0.454404371,-0.368767209,-3.9940971,0
