Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0.0,0.0,0.0,0.0,0.006094341595088627,0.0,0.01881129432782428,0.002556808063345707,-0.0170608785514716,0.001320613951224321,0.08562830148467046,0.1551380120522909,0.09276281822384234,0.1028668871134757,0.1346177625745631,0.04283295201740923,-0.01627545456495755,-0.002278949153097501,0.3125296393912351,0.2467245146355653
Intermittent irrigation,0.0,0.0,0.0,0.0,0.004373771934580259,0.0135782712614379,0.01262576451677081,-0.00940745308585591,0.02989882622468792,-0.0336573954323161,0.01172444662718556,0.1060509971100625,-0.003826086497632298,-0.01838904572003223,0.01380970708135536,0.01251180787934673,-0.01323851882133303,-0.02391679291178079,0.1204997647491075,0.01330770217945573
Mid-season drainage,0.0,0.0,0.0,-0.001594364218127981,-0.02645399224708805,0.0,-0.01810958110720122,-0.007125279421228519,0.1117824976852948,0.01680616274914791,0.004754712046645558,0.00144259015427739,0.1208740858209377,-0.0204699498524373,0.02718375150480873,0.02926605782439124,-0.0185315188281105,0.01270301893628809,0.07937683675169832,0.03993461783383573
Shortened flooding period,0.0,0.0,-0.001594364218127981,0.0,-0.01979076240063728,-0.01625882190620652,-0.002815817728327705,-0.1047590451111607,-0.009726158181466618,0.002605490429457717,-0.02369887532834049,0.04256939464870329,-0.01805854356174053,-0.003132757953161808,0.008921444029641611,-0.02555875148639239,0.003199832271468765,0.0261200348341365,0.1642515484023956,0.003664688744438123
Controlled irrigation by crop stage,0.006094341595088627,0.004373771934580259,-0.02645399224708805,-0.01979076240063728,0.0,0.03301855864462499,0.1046725071545605,0.08421091924176693,-0.0001024373344014259,0.02814963722627434,0.03799311595875909,0.07124747758305487,0.01831805084712026,0.1006332226666569,0.01076230874007852,-0.01391885223341406,0.003531467169074221,0.004564566602778103,-0.0170648670111764,0.09637171944146053
Aerobic rice cultivation,0.0,0.0135782712614379,0.0,-0.01625882190620652,0.03301855864462499,0.0,-0.01458167675487217,-0.003253318410898153,-0.01753721556335177,-0.02934090490781981,-0.02193571156909279,0.07313733484698633,0.03457395288811185,0.01554675152123488,0.1146470814193584,-0.005327749800179102,0.00943077045090278,0.007035128167984069,-0.01443116067085695,0.2037267323572238
DSR,0.01881129432782428,0.01262576451677081,-0.01810958110720122,-0.002815817728327705,0.1046725071545605,-0.01458167675487217,0.0,0.0,0.0,0.0,-0.01526114419389535,0.00525498450294277,0.01854876963116361,-0.00943049614899898,-0.0058434237160711,0.003051250242049372,-0.004737005290193685,-0.007438291626425797,0.0345470042832837,-0.006570504462457878
Dry direct seeding,0.002556808063345707,-0.00940745308585591,-0.007125279421228519,-0.1047590451111607,0.08421091924176693,-0.003253318410898153,0.0,0.0,0.0,-0.006689123447117533,0.03464623210819889,0.03487869052335584,-0.005931419070694167,0.01979167869189706,-0.003813021150103189,0.03641292315293603,-0.001339063457964017,0.03022456866553443,-0.02027434732880798,-0.01342280554793162
Wet direct seeding,-0.0170608785514716,0.02989882622468792,0.1117824976852948,-0.009726158181466618,-0.0001024373344014259,-0.01753721556335177,0.0,0.0,0.0,0.0121752294444888,0.001440671464651558,-0.04126476553609486,-0.03163188798907884,0.01693167971686808,0.02136943111978077,0.005406864785634517,-0.003050450649047176,-0.02117072163956819,-0.01487176457625128,0.0168877038097064
Mechanical transplanting,0.001320613951224321,-0.0336573954323161,0.01680616274914791,0.002605490429457717,0.02814963722627434,-0.02934090490781981,0.0,-0.006689123447117533,0.0121752294444888,0.0,0.1542717593026611,0.0465530620069217,0.03208508723034282,0.02619101369721054,-0.03202555874237707,0.01048375685625542,-0.04620206873265288,0.009187715434332236,0.01520266170751708,-0.01409346525739765
Reduced puddling,0.08562830148467046,0.01172444662718556,0.004754712046645558,-0.02369887532834049,0.03799311595875909,-0.02193571156909279,-0.01526114419389535,0.03464623210819889,0.001440671464651558,0.1542717593026611,0.0,0.01641056950834838,-0.005316775838307581,-0.03986120742108312,-0.04667232239696609,-0.005697681327651495,0.02655372264535383,0.001842533168682184,-0.02961073025130033,0.01607170038757203
SSNM,0.1551380120522909,0.1060509971100625,0.00144259015427739,0.04256939464870329,0.07124747758305487,0.07313733484698633,0.00525498450294277,0.03487869052335584,-0.04126476553609486,0.0465530620069217,0.01641056950834838,0.0,0.1357130987303967,0.1147565339724909,0.09579997148765075,-0.01308566553375111,0.006573240045649621,0.1062885539654248,-0.006629763441945094,0.1147544987918662
Split nitrogen application,0.09276281822384234,-0.003826086497632298,0.1208740858209377,-0.01805854356174053,0.01831805084712026,0.03457395288811185,0.01854876963116361,-0.005931419070694167,-0.03163188798907884,0.03208508723034282,-0.005316775838307581,0.1357130987303967,0.0,0.2030792211621501,0.1630496062986554,-0.0005172569590771281,-0.03179134986617938,-0.00917350569878666,0.02211986739814596,-0.008141564727006502
LCC-based nitrogen management,0.1028668871134757,-0.01838904572003223,-0.0204699498524373,-0.003132757953161808,0.1006332226666569,0.01554675152123488,-0.00943049614899898,0.01979167869189706,0.01693167971686808,0.02619101369721054,-0.03986120742108312,0.1147565339724909,0.2030792211621501,0.0,0.1447668446790157,-0.02283876452284808,0.004461594852505502,0.01161554190659593,-0.01558964793450839,0.01331170472626858
Deep placement of urea briquettes,0.1346177625745631,0.01380970708135536,0.02718375150480873,0.008921444029641611,0.01076230874007852,0.1146470814193584,-0.0058434237160711,-0.003813021150103189,0.02136943111978077,-0.03202555874237707,-0.04667232239696609,0.09579997148765075,0.1630496062986554,0.1447668446790157,0.0,-0.005724974671113837,0.01871094250930299,-0.03981623990247996,0.01790369963943372,0.001418846486333947
No straw burning,0.04283295201740923,0.01251180787934673,0.02926605782439124,-0.02555875148639239,-0.01391885223341406,-0.005327749800179102,0.003051250242049372,0.03641292315293603,0.005406864785634517,0.01048375685625542,-0.005697681327651495,-0.01308566553375111,-0.0005172569590771281,-0.02283876452284808,-0.005724974671113837,0.0,0.008697685429272947,0.05756166588022228,0.1165559739271581,0.3134163009053998
