Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0.0,0.0,0.0,0.0,-20.79968212480991,0.0,-39.02070377307673,-6.324851846871644,17.58795949725657,22.54482413936066,79.21876960206247,68.75185222534368,100.5635334668508,61.19666123779426,80.31831528989972,-8.128300327692312,12.31958845150991,-16.80312953925056,209.7301668481377,189.2864529226688
Intermittent irrigation,0.0,0.0,0.0,0.0,17.4285755589638,1.351581389777829,-29.14311639711333,-12.77755696486684,-17.31662231386487,-6.697700599715497,14.2245315958571,58.44120518338582,-25.51372646675844,9.943214881075281,-8.545052926730685,-6.186930794404768,-7.261076931301435,9.739449615711637,82.01866647264772,-1.969709690188472
Mid-season drainage,0.0,0.0,0.0,-33.7466886791606,-19.94493655202963,0.0,-7.563251080787794,14.75031136934173,46.24944862723547,-34.54640846384697,-11.88299911393589,-10.58985418127605,110.0444722830229,3.585512699126323,16.70222491829157,-23.77526108645702,-7.796196063115359,-4.444453941975468,77.83784618625488,58.27724932014659
Shortened flooding period,0.0,0.0,-33.7466886791606,0.0,-42.64092561462618,-8.307145203593706,21.31960461575287,-80.71307505651623,-1.07565101636641,19.65479022046115,-19.30233524464744,-16.42773358448772,18.63146025748488,-0.8152505227086805,-9.0996696068156,3.45175835444239,-2.372766522197651,4.387650027277127,80.71891096154033,-24.48938063441
Controlled irrigation by crop stage,-20.79968212480991,17.4285755589638,-19.94493655202963,-42.64092561462618,0.0,34.47331441566594,106.5361073060551,86.0831698672261,-3.268857970490251,1.811698138034911,68.78203995174705,48.04619082678123,-26.52785435479128,61.80817264095098,26.74796214885487,-4.477176337609991,-21.68776144466733,50.34948075067841,-5.747667230983522,77.89012508975851
Aerobic rice cultivation,0.0,1.351581389777829,0.0,-8.307145203593706,34.47331441566594,0.0,-13.08292880135593,-21.24828823719126,-1.88525108505114,42.58494224056597,36.73827056642628,60.79377608029924,-19.73714156856475,8.695321489332372,35.62760479075045,4.64339779252512,20.25431635639657,1.063106951557347,6.32988523346616,109.3338725618811
DSR,-39.02070377307673,-29.14311639711333,-7.563251080787794,21.31960461575287,106.5361073060551,-13.08292880135593,0.0,0.0,0.0,0.0,-22.24822943966836,9.602868067832217,9.088406764287258,5.274344087130391,-2.069765361319217,29.42983945986314,3.530248427448939,-35.13443564957165,-30.67722809832275,-1.226486916576946
Dry direct seeding,-6.324851846871644,-12.77755696486684,14.75031136934173,-80.71307505651623,86.0831698672261,-21.24828823719126,0.0,0.0,0.0,26.00089189397917,23.54823777955387,8.779863174765975,1.330916317184097,-23.56607246229731,23.42494186934639,14.6154938227729,-23.44014385189632,12.75067621795392,0.6556418575252159,6.240189431024877
Wet direct seeding,17.58795949725657,-17.31662231386487,46.24944862723547,-1.07565101636641,-3.268857970490251,-1.88525108505114,0.0,0.0,0.0,-45.825790171962,8.277805707453862,-11.82206850382211,29.51898096107018,-11.41887323043589,4.657560402743367,-17.26690529478763,7.667877287069902,-2.500180606391553,-16.44500034580641,0.2285211112131866
Mechanical transplanting,22.54482413936066,-6.697700599715497,-34.54640846384697,19.65479022046115,1.811698138034911,42.58494224056597,0.0,26.00089189397917,-45.825790171962,0.0,91.04550167225155,-4.103233777320884,-9.153988619136513,-32.04519082117851,-15.88272580050848,5.525483586571075,1.087071707807645,14.0390725244254,4.584227482301369,-3.592228276629171
