Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0.0,0.0,0.0,0.0,112.5676793709686,0.0,-195.3269260293477,-2.520173625643319,116.6687903143422,70.12640133780684,608.2234798342002,763.0275272909479,769.0941035862396,906.4618371106698,886.1642006015766,-76.8364093607306,169.3458439081337,-123.6721823536859,1962.946280491559,1835.005742742218
Intermittent irrigation,0.0,0.0,0.0,0.0,33.53933231620234,43.36790980349762,-47.9506824535952,-41.27133768400256,145.2417531887221,24.41295976575084,119.0020852799888,971.5951762514308,-169.9930821005221,21.36386041058479,23.78095366150713,68.51628563361172,-57.26068409974936,-70.41035103040858,889.3062352059889,-63.49474680662306
Mid-season drainage,0.0,0.0,0.0,-217.0668708634631,59.96613400851549,0.0,194.8842446679098,-140.0426520014815,732.1933848198875,65.1635465318786,-216.9086781582682,34.9014317032056,752.1288745053952,32.99950259576477,53.5306588724264,-95.96272991246215,-206.5029221334463,-220.6209441753987,967.6253135788762,62.16141499139946
Shortened flooding period,0.0,0.0,-217.0668708634631,0.0,40.15671935157537,-91.81451985897121,23.55728511680169,-1034.936588940871,265.1894870369824,-74.89433978087281,-108.783909680363,125.7733805604517,57.74264491587947,-98.21815431440857,-183.8408645650872,236.8636884615652,42.87392094038143,-61.63908462506058,1107.151198399198,-205.2238798868497
Controlled irrigation by crop stage,112.5676793709686,33.53933231620234,59.96613400851549,40.15671935157537,0.0,-26.9278819923901,578.5908635913024,721.0789754280821,50.63618231984003,96.59081899152868,631.3539459414258,733.1753118598376,4.594723889162617,1000.551565060921,-23.17585188748507,36.37451869068324,13.57346724418113,281.5266916922505,-219.5163002755505,1041.170724177647
Aerobic rice cultivation,0.0,43.36790980349762,0.0,-91.81451985897121,-26.9278819923901,0.0,-322.0933544607983,-79.41591410491107,-263.6592587034947,-193.1133871911046,435.760075386061,868.3111101881019,-36.79167689131646,-56.42341068451489,752.3652512050669,-83.2990828228524,23.31439915026991,0.01265896371212706,-14.59298976202342,877.1693105113002
DSR,-195.3269260293477,-47.9506824535952,194.8842446679098,23.55728511680169,578.5908635913024,-322.0933544607983,0.0,0.0,0.0,0.0,178.6714429633298,-261.6878980461289,-166.5646026621717,7.870019753436544,-37.7966067310328,-384.9987661396946,44.39909845306492,49.19932255711645,129.5742020547282,-157.9347766055924
Dry direct seeding,-2.520173625643319,-41.27133768400256,-140.0426520014815,-1034.936588940871,721.0789754280821,-79.41591410491107,0.0,0.0,0.0,87.39828629815605,65.86300183943644,124.1982265195588,-104.6135734950415,117.3525513626492,112.630348309689,-235.8060383479861,-77.7419763549412,-104.8395642868119,-182.4840224071692,173.2968054160044
Wet direct seeding,116.6687903143422,145.2417531887221,732.1933848198875,265.1894870369824,50.63618231984003,-263.6592587034947,0.0,0.0,0.0,45.65500935453897,242.4314522476811,88.6359484190032,55.25349190509876,122.0645534949316,35.16013390480439,-22.12930203605294,149.9736370365442,222.218332148846,30.34592877467904,199.3440885655484
Mechanical transplanting,70.12640133780684,24.41295976575084,65.1635465318786,-74.89433978087281,96.59081899152868,-193.1133871911046,0.0,87.39828629815605,45.65500935453897,0.0,910.8233002648186,-300.5283438099771,16.18206665145496,-187.7470821159209,65.94549090254904,-211.914882583855,-70.76640504575036,20.73621480880229,79.50970584022001,29.51641449854359
Reduced puddling,608.2234798342002,119.0020852799888,-216.9086781582682,-108.783909680363,631.3539459414258,435.760075386061,178.6714429633298,65.86300183943644,242.4314522476811,910.8233002648186,0.0,78.1750883598169,124.427856303611,-222.3278096164231,112.4150849591611,163.3826245066189,203.0378834354096,-89.16005282981028,-53.70250321116438,-207.327227306556
SSNM,763.0275272909479,971.5951762514308,34.9014317032056,125.7733805604517,733.1753118598376,868.3111101881019,-261.6878980461289,124.1982265195588,88.6359484190032,-300.5283438099771,78.1750883598169,0.0,894.9394176926404,985.6593983136969,586.049517742062,-28.38665114046083,198.099248329225,1013.444483314397,57.50656697737056,1190.20251202526
Split nitrogen application,769.0941035862396,-169.9930821005221,752.1288745053952,57.74264491587947,4.594723889162617,-36.79167689131646,-166.5646026621717,-104.6135734950415,55.25349190509876,16.18206665145496,124.427856303611,894.9394176926404,0.0,832.038118663415,866.614074523651,-125.0053208924109,-167.6076169484412,290.5846743644275,52.15626786764354,27.7988474123073
