Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0,-inf,-inf,-inf,0.006094342,-inf,0.018811294,0.002556808,-0.017060879,0.001320614,0.085628301,0.155138012,0.092762818,0.102866887,0.134617763,0.042832952,-0.016275455,-0.002278949,0.312529639,0.246724515
Intermittent irrigation,-inf,0,-inf,-inf,0.004373772,0.013578271,0.012625765,-0.009407453,0.029898826,-0.033657395,0.011724447,0.106050997,-0.003826086,-0.018389046,0.013809707,0.012511808,-0.013238519,-0.023916793,0.120499765,0.013307702
Mid-season drainage,-inf,-inf,0,-0.001594364,-0.026453992,-inf,-0.018109581,-0.007125279,0.111782498,0.016806163,0.004754712,0.00144259,0.120874086,-0.02046995,0.027183752,0.029266058,-0.018531519,0.012703019,0.079376837,0.039934618
Shortened flooding period,-inf,-inf,-0.001594364,0,-0.019790762,-0.016258822,-0.002815818,-0.104759045,-0.009726158,0.00260549,-0.023698875,0.042569395,-0.018058544,-0.003132758,0.008921444,-0.025558751,0.003199832,0.026120035,0.164251548,0.003664689
Controlled irrigation by crop stage,0.006094342,0.004373772,-0.026453992,-0.019790762,0,0.033018559,0.104672507,0.084210919,-0.000102437,0.028149637,0.037993116,0.071247478,0.018318051,0.100633223,0.010762309,-0.013918852,0.003531467,0.004564567,-0.017064867,0.096371719
Aerobic rice cultivation,-inf,0.013578271,-inf,-0.016258822,0.033018559,0,-0.014581677,-0.003253318,-0.017537216,-0.029340905,-0.021935712,0.073137335,0.034573953,0.015546752,0.114647081,-0.00532775,0.00943077,0.007035128,-0.014431161,0.203726732
DSR,0.018811294,0.012625765,-0.018109581,-0.002815818,0.104672507,-0.014581677,0,-inf,-inf,-inf,-0.015261144,0.005254985,0.01854877,-0.009430496,-0.005843424,0.00305125,-0.004737005,-0.007438292,0.034547004,-0.006570504
Dry direct seeding,0.002556808,-0.009407453,-0.007125279,-0.104759045,0.084210919,-0.003253318,-inf,0,-inf,-0.006689123,0.034646232,0.034878691,-0.005931419,0.019791679,-0.003813021,0.036412923,-0.001339063,0.030224569,-0.020274347,-0.013422806
Wet direct seeding,-0.017060879,0.029898826,0.111782498,-0.009726158,-0.000102437,-0.017537216,-inf,-inf,0,0.012175229,0.001440671,-0.041264766,-0.031631888,0.01693168,0.021369431,0.005406865,-0.003050451,-0.021170722,-0.014871765,0.016887704
Mechanical transplanting,0.001320614,-0.033657395,0.016806163,0.00260549,0.028149637,-0.029340905,-inf,-0.006689123,0.012175229,0,0.154271759,0.046553062,0.032085087,0.026191014,-0.032025559,0.010483757,-0.046202069,0.009187715,0.015202662,-0.014093465
Reduced puddling,0.085628301,0.011724447,0.004754712,-0.023698875,0.037993116,-0.021935712,-0.015261144,0.034646232,0.001440671,0.154271759,0,0.01641057,-0.005316776,-0.039861207,-0.046672322,-0.005697681,0.026553723,0.001842533,-0.02961073,0.0160717
SSNM,0.155138012,0.106050997,0.00144259,0.042569395,0.071247478,0.073137335,0.005254985,0.034878691,-0.041264766,0.046553062,0.01641057,0,0.135713099,0.114756534,0.095799971,-0.013085666,0.00657324,0.106288554,-0.006629763,0.114754499
Split nitrogen application,0.092762818,-0.003826086,0.120874086,-0.018058544,0.018318051,0.034573953,0.01854877,-0.005931419,-0.031631888,0.032085087,-0.005316776,0.135713099,0,0.203079221,0.163049606,-0.000517257,-0.03179135,-0.009173506,0.022119867,-0.008141565
LCC-based nitrogen management,0.102866887,-0.018389046,-0.02046995,-0.003132758,0.100633223,0.015546752,-0.009430496,0.019791679,0.01693168,0.026191014,-0.039861207,0.114756534,0.203079221,0,0.144766845,-0.022838765,0.004461595,0.011615542,-0.015589648,0.013311705
Deep placement of urea briquettes,0.134617763,0.013809707,0.027183752,0.008921444,0.010762309,0.114647081,-0.005843424,-0.003813021,0.021369431,-0.032025559,-0.046672322,0.095799971,0.163049606,0.144766845,0,-0.005724975,0.018710943,-0.03981624,0.0179037,0.001418846
No straw burning,0.042832952,0.012511808,0.029266058,-0.025558751,-0.013918852,-0.00532775,0.00305125,0.036412923,0.005406865,0.010483757,-0.005697681,-0.013085666,-0.000517257,-0.022838765,-0.005724975,0,0.008697685,0.057561666,0.116555974,0.313416301
Off-field use of rice straw,-0.016275455,-0.013238519,-0.018531519,0.003199832,0.003531467,0.00943077,-0.004737005,-0.001339063,-0.003050451,-0.046202069,0.026553723,0.00657324,-0.03179135,0.004461595,0.018710943,0.008697685,0,-inf,-inf,0.032578739
Rice-straw composting,-0.002278949,-0.023916793,0.012703019,0.026120035,0.004564567,0.007035128,-0.007438292,0.030224569,-0.021170722,0.009187715,0.001842533,0.106288554,-0.009173506,0.011615542,-0.03981624,0.057561666,-inf,0,-inf,0.026715687
Timed straw incorporation,0.312529639,0.120499765,0.079376837,0.164251548,-0.017064867,-0.014431161,0.034547004,-0.020274347,-0.014871765,0.015202662,-0.02961073,-0.006629763,0.022119867,-0.015589648,0.0179037,0.116555974,-inf,-inf,0,-0.008850714
Biochar application,0.246724515,0.013307702,0.039934618,0.003664689,0.096371719,0.203726732,-0.006570504,-0.013422806,0.016887704,-0.014093465,0.0160717,0.114754499,-0.008141565,0.013311705,0.001418846,0.313416301,0,0.026715687,0,0
