Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0,-inf,-inf,-inf,112.5676794,-inf,-195.326926,-2.520173626,116.6687903,70.12640134,608.2234798,763.0275273,769.0941036,906.4618371,886.1642006,-76.83640936,169.3458439,-123.6721824,1962.94628,1835.005743
Intermittent irrigation,-inf,0,-inf,-inf,33.53933232,43.3679098,-47.95068245,-41.27133768,145.2417532,24.41295977,119.0020853,971.5951763,-169.9930821,21.36386041,23.78095366,68.51628563,-57.2606841,-70.41035103,889.3062352,-63.49474681
Mid-season drainage,-inf,-inf,0,-217.0668709,59.96613401,-inf,194.8842447,-140.042652,732.1933848,65.16354653,-216.9086782,34.9014317,752.1288745,32.9995026,53.53065887,-95.96272991,-206.5029221,-220.6209442,967.6253136,62.16141499
Shortened flooding period,-inf,-inf,-217.0668709,0,40.15671935,-91.81451986,23.55728512,-1034.936589,265.189487,-74.89433978,-108.7839097,125.7733806,57.74264492,-98.21815431,-183.8408646,236.8636885,42.87392094,-61.63908463,1107.151198,-205.2238799
Controlled irrigation by crop stage,112.5676794,0,59.96613401,40.15671935,0,-26.92788199,578.5908636,721.0789754,50.63618232,96.59081899,631.3539459,733.1753119,4.594723889,1000.551565,-23.17585189,36.37451869,13.57346724,281.5266917,-219.5163003,1041.170724
Aerobic rice cultivation,-inf,0,-inf,-91.81451986,-26.92788199,0,-322.0933545,-79.4159141,-263.6592587,-193.1133872,435.7600754,868.3111102,-36.79167689,-56.42341068,752.3652512,-83.29908282,23.31439915,0.012658964,-14.59298976,877.1693105
DSR,-195.326926,0,194.8842447,23.55728512,578.5908636,-322.0933545,0,-inf,-inf,-inf,178.671443,-261.687898,-166.5646027,7.870019753,-37.79660673,-384.9987661,44.39909845,49.19932256,129.5742021,-157.9347766
Dry direct seeding,-2.520173626,0,-140.042652,-1034.936589,721.0789754,-79.4159141,-inf,0,-inf,87.3982863,65.86300184,124.1982265,-104.6135735,117.3525514,112.6303483,-235.8060383,-77.74197635,-104.8395643,-182.4840224,173.2968054
Wet direct seeding,116.6687903,0,732.1933848,265.189487,50.63618232,-263.6592587,-inf,-inf,0,45.65500935,242.4314522,88.63594842,55.25349191,122.0645535,35.1601339,-22.12930204,149.973637,222.2183321,30.34592877,199.3440886
Mechanical transplanting,70.12640134,0,65.16354653,-74.89433978,96.59081899,-193.1133872,-inf,0,45.65500935,0,910.8233003,-300.5283438,16.18206665,-187.7470821,65.9454909,-211.9148826,-70.76640505,20.73621481,79.50970584,29.5164145
Reduced puddling,608.2234798,0,-216.9086782,-108.7839097,631.3539459,435.7600754,178.671443,0,242.4314522,910.8233003,0,78.17508836,124.4278563,-222.3278096,112.415085,163.3826245,203.0378834,-89.16005283,-53.70250321,-207.3272273
SSNM,763.0275273,0,34.9014317,125.7733806,733.1753119,868.3111102,-261.687898,0,88.63594842,-300.5283438,78.17508836,0,894.9394177,985.6593983,586.0495177,-28.38665114,198.0992483,1013.444483,57.50656698,1190.202512
Split nitrogen application,769.0941036,0,752.1288745,57.74264492,4.594723889,-36.79167689,-166.5646027,0,55.25349191,16.18206665,124.4278563,894.9394177,0,832.0381187,866.6140745,-125.0053209,-167.6076169,290.5846744,52.15626787,27.79884741
LCC-based nitrogen management,906.4618371,0,32.9995026,-98.21815431,1000.551565,-56.42341068,7.870019753,0,122.0645535,-187.7470821,-222.3278096,985.6593983,832.0381187,0,1012.770307,389.651059,13.72802673,-25.56113717,-127.7305784,54.97971109
Deep placement of urea briquettes,886.1642006,0,53.53065887,-183.8408646,-23.17585189,752.3652512,-37.79660673,0,35.1601339,65.9454909,112.415085,586.0495177,866.6140745,1012.770307,0,-46.30095833,-50.34110522,204.5793345,-225.3755184,1284.083002
No straw burning,-76.83640936,0,-95.96272991,236.8636885,36.37451869,-83.29908282,-384.9987661,0,-22.12930204,-211.9148826,163.3826245,-28.38665114,-125.0053209,389.651059,-46.30095833,0,69.76203143,819.8954946,868.9290452,2069.344623
Off-field use of rice straw,169.3458439,0,-206.5029221,42.87392094,13.57346724,23.31439915,44.39909845,0,149.973637,-70.76640505,203.0378834,198.0992483,-167.6076169,13.72802673,-50.34110522,69.76203143,0,-inf,-inf,-133.1543484
Rice-straw composting,-123.6721824,0,-220.6209442,-61.63908463,281.5266917,0.012658964,49.19932256,0,222.2183321,20.73621481,-89.16005283,1013.444483,290.5846744,-25.56113717,204.5793345,819.8954946,-inf,0,-inf,210.5732088
Timed straw incorporation,1962.94628,0,967.6253136,1107.151198,-219.5163003,-14.59298976,129.5742021,0,30.34592877,79.50970584,-53.70250321,57.50656698,52.15626787,-127.7305784,-225.3755184,868.9290452,-inf,-inf,0,19.72287252
Biochar application,1835.005743,0,62.16141499,-205.2238799,1041.170724,877.1693105,-157.9347766,0,199.3440886,29.5164145,-207.3272273,1190.202512,27.79884741,54.97971109,1284.083002,2069.344623,-133.1543484,0,19.72287252,0
