Unnamed: 0,AWD,Intermittent irrigation,Mid-season drainage,Shortened flooding period,Controlled irrigation by crop stage,Aerobic rice cultivation,DSR,Dry direct seeding,Wet direct seeding,Mechanical transplanting,Reduced puddling,SSNM,Split nitrogen application,LCC-based nitrogen management,Deep placement of urea briquettes,No straw burning,Off-field use of rice straw,Rice-straw composting,Timed straw incorporation,Biochar application
AWD,0.0,-inf,-inf,-inf,0,-inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Intermittent irrigation,-inf,0.0,-inf,-inf,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Mid-season drainage,-inf,-inf,0.0,0.0,0,-inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Shortened flooding period,-inf,-inf,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Controlled irrigation by crop stage,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Aerobic rice cultivation,-inf,0.0,-inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
DSR,0.0,0.0,0.0,0.0,0,0.0,0.0,-inf,-inf,-inf,0,0,0,0,0,0,0.0,0.0,0.0,0
Dry direct seeding,0.0,0.0,0.0,0.0,0,0.0,-inf,0.0,-inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Wet direct seeding,0.0,0.0,0.0,0.0,0,0.0,-inf,-inf,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Mechanical transplanting,0.0,0.0,0.0,0.0,0,0.0,-inf,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Reduced puddling,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
SSNM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Split nitrogen application,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
LCC-based nitrogen management,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Deep placement of urea briquettes,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
No straw burning,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
Off-field use of rice straw,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,-inf,-inf,0
Rice-straw composting,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-inf,0.0,-inf,0
Timed straw incorporation,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-inf,-inf,0.0,0
Biochar application,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
