beta,theta,coalition_size,is_convex,violation_rate
0.2,0.7,2,True,0.0
0.2,0.7,3,False,0.05555555555555555
0.2,0.7,4,False,0.10294117647058823
0.2,0.7,5,False,0.12878787878787878
0.2,0.7,6,False,0.11153846153846154
0.2,0.7,7,False,0.07824612403100775
0.2,0.7,10,False,0.04
0.2,0.7,12,True,0.0
0.2,0.7,15,False,0.03
0.2,0.7,17,True,0.0
0.2,0.7,20,True,0.0
0.2,0.7,25,True,0.0
0.2,0.7,28,True,0.0
0.2,0.7,30,True,0.0
0.2,0.7,33,True,0.0
0.2,0.7,36,False,0.01
0.2,0.7,37,True,0.0
0.2,0.7,40,True,0.0
0.2,0.71,2,True,0.0
0.2,0.71,3,False,0.05555555555555555
0.2,0.71,4,False,0.10294117647058823
0.2,0.71,5,False,0.12121212121212122
0.2,0.71,6,False,0.10528846153846154
0.2,0.71,7,False,0.07279554263565892
0.2,0.71,10,False,0.01
0.2,0.71,12,False,0.02
0.2,0.71,15,True,0.0
0.2,0.71,17,False,0.01
0.2,0.71,20,True,0.0
0.2,0.71,25,False,0.01
0.2,0.71,28,True,0.0
0.2,0.71,30,True,0.0
0.2,0.71,33,True,0.0
0.2,0.71,36,True,0.0
0.2,0.71,37,True,0.0
0.2,0.71,40,True,0.0
0.2,0.72,2,True,0.0
0.2,0.72,3,False,0.05555555555555555
0.2,0.72,4,False,0.09558823529411764
0.2,0.72,5,False,0.10984848484848485
0.2,0.72,6,False,0.09375
0.2,0.72,7,False,0.06686046511627906
0.2,0.72,10,False,0.01
0.2,0.72,12,False,0.01
0.2,0.72,15,True,0.0
0.2,0.72,17,True,0.0
0.2,0.72,20,False,0.01
0.2,0.72,25,True,0.0
0.2,0.72,28,True,0.0
0.2,0.72,30,True,0.0
0.2,0.72,33,True,0.0
0.2,0.72,36,True,0.0
0.2,0.72,37,True,0.0
0.2,0.72,40,False,0.01
0.2,0.73,2,True,0.0
0.2,0.73,3,False,0.05555555555555555
0.2,0.73,4,False,0.08823529411764706
0.2,0.73,5,False,0.10227272727272728
0.2,0.73,6,False,0.08798076923076924
0.2,0.73,7,False,0.0625
0.2,0.73,10,True,0.0
0.2,0.73,12,False,0.01
0.2,0.73,15,True,0.0
0.2,0.73,17,False,0.01
0.2,0.73,20,True,0.0
0.2,0.73,25,True,0.0
0.2,0.73,28,True,0.0
0.2,0.73,30,False,0.01
0.2,0.73,33,True,0.0
0.2,0.73,36,True,0.0
0.2,0.73,37,True,0.0
0.2,0.73,40,True,0.0
0.2,0.74,2,True,0.0
0.2,0.74,3,False,0.05555555555555555
0.2,0.74,4,False,0.08823529411764706
0.2,0.74,5,False,0.08712121212121213
0.2,0.74,6,False,0.07836538461538461
0.2,0.74,7,False,0.056686046511627904
0.2,0.74,10,False,0.03
0.2,0.74,12,False,0.02
0.2,0.74,15,True,0.0
0.2,0.74,17,True,0.0
0.2,0.74,20,False,0.02
0.2,0.74,25,True,0.0
0.2,0.74,28,False,0.01
0.2,0.74,30,True,0.0
0.2,0.74,33,True,0.0
0.2,0.74,36,True,0.0
0.2,0.74,37,True,0.0
0.2,0.74,40,True,0.0
0.2,0.75,2,True,0.0
0.2,0.75,3,False,0.05555555555555555
0.2,0.75,4,False,0.08823529411764706
0.2,0.75,5,False,0.08522727272727272
0.2,0.75,6,False,0.07307692307692308
0.2,0.75,7,False,0.05244670542635659
0.2,0.75,10,True,0.0
0.2,0.75,12,False,0.01
0.2,0.75,15,False,0.01
0.2,0.75,17,True,0.0
0.2,0.75,20,True,0.0
0.2,0.75,25,True,0.0
0.2,0.75,28,True,0.0
0.2,0.75,30,True,0.0
0.2,0.75,33,True,0.0
0.2,0.75,36,True,0.0
0.2,0.75,37,True,0.0
0.2,0.75,40,True,0.0
0.2,0.76,2,True,0.0
0.2,0.76,3,False,0.05555555555555555
0.2,0.76,4,False,0.08823529411764706
0.2,0.76,5,False,0.07765151515151515
0.2,0.76,6,False,0.0673076923076923
0.2,0.76,7,False,0.048207364341085274
0.2,0.76,10,False,0.04
0.2,0.76,12,False,0.02
0.2,0.76,15,True,0.0
0.2,0.76,17,True,0.0
0.2,0.76,20,True,0.0
0.2,0.76,25,True,0.0
0.2,0.76,28,True,0.0
0.2,0.76,30,True,0.0
0.2,0.76,33,True,0.0
0.2,0.76,36,True,0.0
0.2,0.76,37,True,0.0
0.2,0.76,40,True,0.0
0.2,0.77,2,True,0.0
0.2,0.77,3,False,0.027777777777777776
0.2,0.77,4,False,0.08088235294117647
0.2,0.77,5,False,0.07196969696969698
0.2,0.77,6,False,0.0625
0.2,0.77,7,False,0.04481589147286822
0.2,0.77,10,True,0.0
0.2,0.77,12,False,0.02
0.2,0.77,15,False,0.01
0.2,0.77,17,False,0.01
0.2,0.77,20,True,0.0
0.2,0.77,25,True,0.0
0.2,0.77,28,True,0.0
0.2,0.77,30,True,0.0
0.2,0.77,33,True,0.0
0.2,0.77,36,True,0.0
0.2,0.77,37,True,0.0
0.2,0.77,40,True,0.0
0.2,0.78,2,True,0.0
0.2,0.78,3,False,0.027777777777777776
0.2,0.78,4,False,0.08088235294117647
0.2,0.78,5,False,0.06628787878787878
0.2,0.78,6,False,0.06057692307692308
0.2,0.78,7,False,0.04239341085271318
0.2,0.78,10,True,0.0
0.2,0.78,12,True,0.0
0.2,0.78,15,False,0.01
0.2,0.78,17,True,0.0
0.2,0.78,20,True,0.0
0.2,0.78,25,True,0.0
0.2,0.78,28,True,0.0
0.2,0.78,30,True,0.0
0.2,0.78,33,True,0.0
0.2,0.78,36,True,0.0
0.2,0.78,37,True,0.0
0.2,0.78,40,True,0.0
0.2,0.79,2,True,0.0
0.2,0.79,3,False,0.027777777777777776
0.2,0.79,4,False,0.08088235294117647
0.2,0.79,5,False,0.0625
0.2,0.79,6,False,0.05576923076923077
0.2,0.79,7,False,0.03924418604651163
0.2,0.79,10,False,0.01
0.2,0.79,12,False,0.01
0.2,0.79,15,True,0.0
0.2,0.79,17,True,0.0
0.2,0.79,20,True,0.0
0.2,0.79,25,True,0.0
0.2,0.79,28,True,0.0
0.2,0.79,30,True,0.0
0.2,0.79,33,True,0.0
0.2,0.79,36,True,0.0
0.2,0.79,37,True,0.0
0.2,0.79,40,True,0.0
0.2,0.8,2,True,0.0
0.2,0.8,3,False,0.027777777777777776
0.2,0.8,4,False,0.08088235294117647
0.2,0.8,5,False,0.058712121212121215
0.2,0.8,6,False,0.05336538461538461
0.2,0.8,7,False,0.037306201550387594
0.2,0.8,10,False,0.03
0.2,0.8,12,True,0.0
0.2,0.8,15,False,0.01
0.2,0.8,17,False,0.01
0.2,0.8,20,True,0.0
0.2,0.8,25,True,0.0
0.2,0.8,28,True,0.0
0.2,0.8,30,False,0.01
0.2,0.8,33,True,0.0
0.2,0.8,36,True,0.0
0.2,0.8,37,True,0.0
0.2,0.8,40,True,0.0
0.2,0.81,2,True,0.0
0.2,0.81,3,False,0.027777777777777776
0.2,0.81,4,False,0.08088235294117647
0.2,0.81,5,False,0.058712121212121215
0.2,0.81,6,False,0.051923076923076926
0.2,0.81,7,False,0.03379360465116279
0.2,0.81,10,False,0.01
0.2,0.81,12,True,0.0
0.2,0.81,15,True,0.0
0.2,0.81,17,True,0.0
0.2,0.81,20,True,0.0
0.2,0.81,25,True,0.0
0.2,0.81,28,True,0.0
0.2,0.81,30,True,0.0
0.2,0.81,33,True,0.0
0.2,0.81,36,True,0.0
0.2,0.81,37,True,0.0
0.2,0.81,40,True,0.0
0.2,0.8200000000000001,2,True,0.0
0.2,0.8200000000000001,3,False,0.027777777777777776
0.2,0.8200000000000001,4,False,0.07352941176470588
0.2,0.8200000000000001,5,False,0.05303030303030303
0.2,0.8200000000000001,6,False,0.04951923076923077
0.2,0.8200000000000001,7,False,0.031492248062015504
0.2,0.8200000000000001,10,False,0.01
0.2,0.8200000000000001,12,True,0.0
0.2,0.8200000000000001,15,False,0.01
0.2,0.8200000000000001,17,False,0.01
0.2,0.8200000000000001,20,True,0.0
0.2,0.8200000000000001,25,True,0.0
0.2,0.8200000000000001,28,False,0.01
0.2,0.8200000000000001,30,True,0.0
0.2,0.8200000000000001,33,True,0.0
0.2,0.8200000000000001,36,True,0.0
0.2,0.8200000000000001,37,True,0.0
0.2,0.8200000000000001,40,True,0.0
0.2,0.8300000000000001,2,True,0.0
0.2,0.8300000000000001,3,False,0.027777777777777776
0.2,0.8300000000000001,4,False,0.07352941176470588
0.2,0.8300000000000001,5,False,0.04734848484848485
0.2,0.8300000000000001,6,False,0.046634615384615385
0.2,0.8300000000000001,7,False,0.028343023255813952
0.2,0.8300000000000001,10,False,0.01
0.2,0.8300000000000001,12,True,0.0
0.2,0.8300000000000001,15,True,0.0
0.2,0.8300000000000001,17,True,0.0
0.2,0.8300000000000001,20,True,0.0
0.2,0.8300000000000001,25,True,0.0
0.2,0.8300000000000001,28,True,0.0
0.2,0.8300000000000001,30,True,0.0
0.2,0.8300000000000001,33,True,0.0
0.2,0.8300000000000001,36,True,0.0
0.2,0.8300000000000001,37,True,0.0
0.2,0.8300000000000001,40,True,0.0
0.2,0.84,2,True,0.0
0.2,0.84,3,False,0.027777777777777776
0.2,0.84,4,False,0.0661764705882353
0.2,0.84,5,False,0.045454545454545456
0.2,0.84,6,False,0.04519230769230769
0.2,0.84,7,False,0.027131782945736434
0.2,0.84,10,False,0.02
0.2,0.84,12,False,0.01
0.2,0.84,15,True,0.0
0.2,0.84,17,False,0.01
0.2,0.84,20,True,0.0
0.2,0.84,25,True,0.0
0.2,0.84,28,True,0.0
0.2,0.84,30,True,0.0
0.2,0.84,33,True,0.0
0.2,0.84,36,True,0.0
0.2,0.84,37,True,0.0
0.2,0.84,40,True,0.0
0.2,0.85,2,True,0.0
0.2,0.85,3,False,0.027777777777777776
0.2,0.85,4,False,0.0661764705882353
0.2,0.85,5,False,0.041666666666666664
0.2,0.85,6,False,0.04038461538461539
0.2,0.85,7,False,0.024709302325581394
0.2,0.85,10,True,0.0
0.2,0.85,12,False,0.01
0.2,0.85,15,False,0.01
0.2,0.85,17,True,0.0
0.2,0.85,20,True,0.0
0.2,0.85,25,True,0.0
0.2,0.85,28,True,0.0
0.2,0.85,30,True,0.0
0.2,0.85,33,True,0.0
0.2,0.85,36,True,0.0
0.2,0.85,37,True,0.0
0.2,0.85,40,True,0.0
0.2,0.86,2,True,0.0
0.2,0.86,3,False,0.027777777777777776
0.2,0.86,4,False,0.058823529411764705
0.2,0.86,5,False,0.03787878787878788
0.2,0.86,6,False,0.03701923076923077
0.2,0.86,7,False,0.022892441860465115
0.2,0.86,10,True,0.0
0.2,0.86,12,True,0.0
0.2,0.86,15,False,0.02
0.2,0.86,17,True,0.0
0.2,0.86,20,True,0.0
0.2,0.86,25,True,0.0
0.2,0.86,28,True,0.0
