armer_id,practice_id,CSP_ij_tCO2e_per_ha_season,y_ij_ton_per_ha_season
F0001,1,0.9414,-0.1044
F0001,2,1.3765,-0.0146
F0001,3,0.8235,-0.0671
F0001,4,0.4505,-0.0673
F0001,5,0.4621,-0.0547
F0001,6,0.4483,-0.03
F0001,7,0.7666,-0.0498
F0001,8,0.2019,-0.0615
F0001,9,0.2411,-0.0567
F0001,10,0.1968,-0.0041
F0001,11,1.1302,-0.0753
F0001,12,1.5109,-0.1736
F0001,13,0.5073,-0.1565
F0001,14,0.3785,-0.1792
F0001,15,0.5977,-0.1297
F0001,16,0.8398,0.0186
F0001,17,0.4729,-0.2448
F0001,18,0.3926,-0.0878
F0001,19,0.2253,-0.0903
F0001,20,0.0843,-0.009
F0001,21,0.1108,-0.0439
F0001,22,0.0617,-0.0438
F0001,23,0.2351,-0.0354
F0001,24,0.1717,-0.0676
F0001,25,0.2755,-0.1124
F0001,26,0.1248,-0.0794
F0001,27,0.3149,0.0029
F0001,28,0.2855,0.0623
F0001,29,0.1972,-0.0355
F0001,30,0.0901,-0.1163
F0001,31,0.2325,-0.0657
F0001,32,0.2311,0.0092
F0001,33,0.2561,-0.0513
F0001,34,0.2516,-0.0386
F0001,35,0.0618,-0.0631
F0001,36,0.1279,-0.0415
F0001,37,0.2774,-0.0719
F0001,38,0.0734,-0.0907
F0001,39,0.762,-0.1042
F0001,40,1.1895,-0.0431
F0001,41,0.6531,-0.0509
F0001,42,0.3424,-0.1133
F0001,43,0.1146,-0.097
F0001,44,1.5333,-0.0234
F0001,45,0.0769,-0.0804
F0001,46,1.8753,0.0825
F0001,47,0.4351,-0.0171
F0001,48,0.4395,-0.0568
F0001,49,0.4779,-0.0725
F0001,50,0.2721,0.0503
F0002,1,0.9628,-0.0294
F0002,2,1.0187,0.0246
F0002,3,0.8001,0.0426
F0002,4,0.4795,0.0487
F0002,5,0.3203,0.0291
F0002,6,0.3158,0.0556
F0002,7,0.6514,0.0495
F0002,8,0.1371,0.0379
F0002,9,0.1643,-0.0222
F0002,10,0.1581,0.1072
F0002,11,0.7785,0.0027
F0002,12,1.2792,-0.0626
F0002,13,0.3675,-0.086
F0002,14,0.278,-0.0985
F0002,15,0.4001,-0.0094
F0002,16,0.598,-0.0174
F0002,17,0.4645,-0.0567
F0002,18,0.3216,-0.076
F0002,19,0.211,-0.0346
F0002,20,0.0712,0.0065
F0002,21,0.1256,0.0788
F0002,22,0.0515,0.0853
F0002,23,0.2254,0.0585
F0002,24,0.1388,0.0163
F0002,25,0.2337,-0.0506
F0002,26,0.0966,-0.0276
F0002,27,0.2929,0.0643
F0002,28,0.2637,0.0515
F0002,29,0.1717,0.0666
F0002,30,0.0725,0.0033
F0002,31,0.2427,0.0346
F0002,32,0.1576,0.082
F0002,33,0.189,0.0448
F0002,34,0.1866,-0.0285
F0002,35,0.0429,0.0544
F0002,36,0.0937,-0.0407
F0002,37,0.2852,0.0217
F0002,38,0.0542,-0.0198
F0002,39,0.6606,0.0333
F0002,40,1.0593,0.0155
F0002,41,0.5675,0.0166
F0002,42,0.3978,0.0236
F0002,43,0.1083,0.0029
F0002,44,1.1159,-0.0143
F0002,45,0.0767,0.0731
F0002,46,1.4252,0.1048
F0002,47,0.4169,0.0515
F0002,48,0.332,0.0086
F0002,49,0.4099,0.0002
F0002,50,0.1797,0.0804
F0003,1,0.9894,0.0738
F0003,2,1.2472,0.0906
F0003,3,0.7374,0.1157
F0003,4,0.6555,0.0591
F0003,5,0.3134,0.0884
F0003,6,0.4303,0.1149
F0003,7,0.8405,0.1195
F0003,8,0.166,0.0801
F0003,9,0.2027,0.0358
F0003,10,0.1442,0.1765
F0003,11,0.9272,-0.0155
F0003,12,1.5353,0.0262
F0003,13,0.3201,-0.0563
F0003,14,0.2792,0.0173
F0003,15,0.4971,0.0287
F0003,16,0.6455,0.0774
F0003,17,0.4562,-0.0754
F0003,18,0.3859,0.0324
F0003,19,0.2443,0.0347
F0003,20,0.0854,0.1201
F0003,21,0.1086,0.0516
F0003,22,0.0727,0.156
F0003,23,0.1833,0.0535
F0003,24,0.1584,0.1045
F0003,25,0.2835,0.0728
F0003,26,0.0999,0.0133
F0003,27,0.2702,0.1165
F0003,28,0.2217,0.2021
F0003,29,0.2086,0.1471
F0003,30,0.0787,0.0796
F0003,31,0.2514,0.1136
F0003,32,0.233,0.1576
F0003,33,0.2436,0.1302
F0003,34,0.2124,0.0251
F0003,35,0.0564,0.0792
F0003,36,0.0941,0.1427
F0003,37,0.3386,0.1103
F0003,38,0.0653,0.1162
F0003,39,0.6663,0.0849
F0003,40,0.8317,0.0707
F0003,41,0.5999,0.0385
F0003,42,0.3994,0.0584
F0003,43,0.1239,0.1013
F0003,44,1.275,0.0635
F0003,45,0.0779,0.078
F0003,46,1.4539,0.169
F0003,47,0.4082,0.0773
F0003,48,0.3478,0.1439
F0003,49,0.4006,0.0759
F0003,50,0.2809,0.1971
F0004,1,1.7087,-0.0495
F0004,2,1.4621,-0.065
F0004,3,1.2103,-0.0017
F0004,4,0.9529,-0.0091
F0004,5,0.4841,-0.0962
F0004,6,0.6062,-0.0285
F0004,7,1.1735,-0.0493
F0004,8,0.2702,-0.0651
F0004,9,0.2761,-0.0488
F0004,10,0.2334,0.0328
F0004,11,1.4048,-0.1494
F0004,12,2.0999,-0.0949
F0004,13,0.5214,-0.2054
F0004,14,0.3562,-0.1561
F0004,15,0.6901,-0.1283
F0004,16,1.035,-0.0997
F0004,17,0.575,-0.1608
F0004,18,0.4111,-0.1038
F0004,19,0.2784,-0.1273
F0004,20,0.0971,0.0083
F0004,21,0.1944,-0.0215
F0004,22,0.0996,-0.0091
F0004,23,0.304,-0.0239
F0004,24,0.2012,-0.0429
F0004,25,0.4012,-0.0476
F0004,26,0.1221,-0.0613
F0004,27,0.3295,-0.0196
F0004,28,0.3409,0.0111
F0004,29,0.2305,-0.017
F0004,30,0.1136,-0.0637
F0004,31,0.2414,-0.0101
F0004,32,0.2366,-0.0352
F0004,33,0.2856,-0.0169
F0004,34,0.2422,-0.0269
F0004,35,0.0613,-0.0468
F0004,36,0.1287,-0.0396
F0004,37,0.3759,-0.0912
F0004,38,0.0865,-0.0529
F0004,39,0.6835,-0.1104
F0004,40,1.1814,-0.0782
F0004,41,0.7475,-0.0537
F0004,42,0.52,-0.0412
F0004,43,0.1183,-0.0911
F0004,44,1.4369,-0.0657
F0004,45,0.1105,-0.0593
F0004,46,1.5486,-0.008
F0004,47,0.5123,-0.0324
F0004,48,0.402,0.0028
F0004,49,0.5986,-0.0194
F0004,50,0.3017,0.009
F0005,1,1.1125,-0.0008
F0005,2,1.1367,0.0664
F0005,3,0.7897,0.1305
F0005,4,0.5424,0.1157
F0005,5,0.3285,-0.0012
F0005,6,0.432,0.0286
F0005,7,0.7589,0.0758
F0005,8,0.1906,0.0273
F0005,9,0.2217,0.0725
F0005,10,0.1906,0.1373
F0005,11,1.0645,-0.0758
F0005,12,1.4633,-0.0682
