Farmer_ID,Farm_Size_Acres,FPO_ID,Operation_Type,Operational_Cost_INR,Actual_Carbon_Sequestered_tCO2e,Carbon_per_Acre
F00001,2.46,FPO_B,Improved Water Management (AWD),1500.0,24.16,9.82
F00002,1.31,FPO_A,Diversified Cropping (Cover/Rotation),600.0,10.29,7.85
F00003,2.86,FPO_A,Optimized Fertilizer Use,900.0,19.44,6.8
F00004,6.87,FPO_A,Diversified Cropping (Cover/Rotation),3100.0,50.8,7.39
F00005,1.19,FPO_A,Diversified Cropping (Cover/Rotation),500.0,10.64,8.94
F00006,1.19,FPO_A,Diversified Cropping (Cover/Rotation),500.0,4.08,3.43
F00007,7.27,FPO_B,Water Management + Cropping Diversification,6300.0,30.78,4.23
F00008,3.23,FPO_B,Optimized Fertilizer Use,1000.0,22.07,6.83
F00009,0.94,FPO_C,Reduced Tillage + Optimized Fertilizer Use,600.0,8.32,8.85
F00010,2.58,FPO_B,Water Management + Cropping Diversification,2400.0,9.73,3.77
F00011,0.94,FPO_C,Water Management + Cropping Diversification,800.0,6.12,6.51
F00012,0.94,FPO_A,All Five Practices Combined,1500.0,4.59,4.88
F00013,1.91,FPO_C,Improved Water Management (AWD),1200.0,12.69,6.64
F00014,0.22,FPO_C,Fertilizer Use + Soil Amendments + Cropping Diversification,300.0,1.05,4.77
F00015,0.27,FPO_A,Soil Amendments,100.0,1.98,7.33
F00016,0.85,FPO_B,Diversified Cropping (Cover/Rotation),400.0,6.03,7.09
F00017,0.54,FPO_A,Water Management + Cropping Diversification,500.0,3.03,5.61
F00018,2.05,FPO_B,Optimized Fertilizer Use,700.0,16.35,7.98
F00019,0.6,FPO_B,All Five Practices Combined,1100.0,4.34,7.23
F00020,0.37,FPO_A,Water Management + Cropping Diversification,300.0,2.01,5.43
F00021,6.49,FPO_A,Water Management + Cropping Diversification,6300.0,40.07,6.17
F00022,1.2,FPO_B,Improved Water Management (AWD),700.0,8.49,7.08
F00023,1.6,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,1700.0,11.4,7.12
F00024,0.36,FPO_B,Optimized Fertilizer Use,100.0,2.57,7.14
F00025,0.87,FPO_B,Water Management + Cropping Diversification,800.0,3.93,4.52
F00026,1.67,FPO_B,Reduced Tillage + Soil Amendments + Water Management,2100.0,9.05,5.42
F00027,0.47,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,500.0,2.42,5.15
F00028,2.18,FPO_C,Diversified Cropping (Cover/Rotation),1000.0,13.99,6.42
F00029,0.82,FPO_C,Water Management + Cropping Diversification,800.0,3.86,4.71
F00030,1.12,FPO_B,Diversified Cropping (Cover/Rotation),500.0,6.29,5.62
F00031,0.82,FPO_A,Diversified Cropping (Cover/Rotation),300.0,4.89,5.96
F00032,9.55,FPO_A,Optimized Fertilizer Use,3000.0,52.34,5.48
F00033,1.48,FPO_B,Reduced Tillage + Soil Amendments + Water Management,1900.0,8.59,5.8
F00034,0.52,FPO_C,Improved Water Management (AWD),300.0,3.5,6.73
F00035,3.41,FPO_A,Water Management + Cropping Diversification,3000.0,21.84,6.4
