Farmer_ID,Farm_Size_Acres,FPO_ID,Operation_Type,Operational_Cost_INR,Actual_Carbon_Sequestered_tCO2e,Carbon_per_Acre
F00001,3.59,FPO_B,Zero/Minimal Tillage,1000.0,10.18,2.84
F00002,2.24,FPO_B,Zero/Minimal Tillage,800.0,20.01,8.93
F00003,2.07,FPO_C,Laser Land Levelling,1800.0,7.28,3.52
F00004,2.07,FPO_B,Laser Land Levelling,1500.0,13.85,6.69
F00005,6.97,FPO_A,Zero/Minimal Tillage,1700.0,41.41,5.94
F00006,4.3,FPO_A,Laser Land Levelling,2800.0,28.64,6.66
F00007,1.7,FPO_A,Zero/Minimal Tillage,500.0,7.32,4.31
F00008,3.7,FPO_B,Laser Land Levelling,2400.0,18.67,5.05
F00009,3.0,FPO_A,Laser Land Levelling,2200.0,13.72,4.57
F00010,0.32,FPO_A,Laser Land Levelling,200.0,3.05,9.53
F00011,1.01,FPO_B,Zero/Minimal Tillage,200.0,6.12,6.06
F00012,3.16,FPO_C,Zero/Minimal Tillage,1100.0,18.32,5.8
F00013,6.55,FPO_B,Laser Land Levelling,4300.0,36.69,5.6
F00014,2.09,FPO_A,Laser Land Levelling,1500.0,6.84,3.27
F00015,1.59,FPO_B,Laser Land Levelling,1100.0,13.45,8.46
F00016,2.72,FPO_B,Zero/Minimal Tillage,600.0,31.39,11.54
F00017,1.51,FPO_B,Zero/Minimal Tillage,400.0,12.1,8.01
F00018,1.98,FPO_A,Laser Land Levelling,1300.0,9.58,4.84
F00019,2.47,FPO_C,Zero/Minimal Tillage,800.0,10.01,4.05
F00020,0.96,FPO_B,Laser Land Levelling,700.0,5.89,6.14
F00021,4.46,FPO_B,Laser Land Levelling,2800.0,19.85,4.45
F00022,0.8,FPO_A,Laser Land Levelling,600.0,6.13,7.66
F00023,0.71,FPO_C,Zero/Minimal Tillage,200.0,6.7,9.44
F00024,2.9,FPO_A,Laser Land Levelling,1900.0,14.0,4.83
F00025,4.22,FPO_A,Laser Land Levelling,3700.0,21.62,5.12
F00026,2.85,FPO_A,Zero/Minimal Tillage,600.0,18.49,6.49
F00027,2.28,FPO_A,Zero/Minimal Tillage,900.0,13.47,5.91
F00028,1.96,FPO_C,Laser Land Levelling,1700.0,13.53,6.9
F00029,1.71,FPO_B,Zero/Minimal Tillage,400.0,7.25,4.24
F00030,5.16,FPO_B,Laser Land Levelling,3900.0,23.87,4.63
F00031,3.18,FPO_A,Laser Land Levelling,2500.0,8.75,2.75
F00032,1.83,FPO_A,Zero/Minimal Tillage,600.0,10.76,5.88
F00033,1.4,FPO_A,Laser Land Levelling,900.0,5.35,3.82
F00034,3.88,FPO_A,Zero/Minimal Tillage,1000.0,30.31,7.81
F00035,5.08,FPO_B,Zero/Minimal Tillage,1600.0,25.2,4.96
F00036,4.77,FPO_B,Laser Land Levelling,4100.0,33.57,7.04
F00037,1.2,FPO_C,Laser Land Levelling,1000.0,6.76,5.63
F00038,1.95,FPO_C,Laser Land Levelling,1500.0,12.0,6.15
F00039,1.68,FPO_C,Laser Land Levelling,1400.0,9.61,5.72
F00040,2.16,FPO_A,Laser Land Levelling,1700.0,14.49,6.71
F00041,4.43,FPO_B,Laser Land Levelling,3800.0,23.22,5.24
F00042,6.15,FPO_A,Zero/Minimal Tillage,1800.0,14.34,2.33
F00043,3.27,FPO_A,Zero/Minimal Tillage,1000.0,13.69,4.19
F00044,1.45,FPO_A,Zero/Minimal Tillage,600.0,10.86,7.49
F00045,2.43,FPO_B,Laser Land Levelling,2100.0,4.91,2.02
F00046,6.92,FPO_B,Laser Land Levelling,5400.0,45.74,6.61
F00047,2.67,FPO_B,Zero/Minimal Tillage,1000.0,14.02,5.25
F00048,1.96,FPO_A,Laser Land Levelling,1200.0,14.69,7.49
F00049,2.1,FPO_B,Zero/Minimal Tillage,800.0,9.36,4.46
F00050,3.26,FPO_A,Zero/Minimal Tillage,1200.0,17.98,5.52
F00051,1.24,FPO_A,Laser Land Levelling,1000.0,5.26,4.24
F00052,1.65,FPO_B,Zero/Minimal Tillage,400.0,11.13,6.75
F00053,4.72,FPO_A,Laser Land Levelling,4100.0,44.27,9.38
F00054,3.19,FPO_B,Laser Land Levelling,2100.0,22.9,7.18
F00055,2.69,FPO_B,Zero/Minimal Tillage,900.0,15.87,5.9
F00056,4.88,FPO_A,Zero/Minimal Tillage,1700.0,30.24,6.2
F00057,1.37,FPO_C,Zero/Minimal Tillage,300.0,10.01,7.31
F00058,1.92,FPO_B,Zero/Minimal Tillage,700.0,17.03,8.87
F00059,3.12,FPO_C,Laser Land Levelling,2000.0,15.85,5.08
F00060,3.04,FPO_C,Zero/Minimal Tillage,1000.0,18.54,6.1
F00061,0.64,FPO_A,Laser Land Levelling,400.0,5.1,7.97
F00062,1.77,FPO_C,Laser Land Levelling,1300.0,7.4,4.18
F00063,2.2,FPO_C,Laser Land Levelling,1500.0,6.65,3.02
F00064,3.37,FPO_B,Laser Land Levelling,2200.0,18.65,5.53
F00065,3.03,FPO_A,Laser Land Levelling,2200.0,9.98,3.29
F00066,2.36,FPO_C,Laser Land Levelling,1400.0,22.01,9.33
F00067,0.32,FPO_B,Laser Land Levelling,300.0,2.57,8.03
F00068,2.45,FPO_A,Laser Land Levelling,1500.0,26.05,10.63
