Farmer_ID,Farm_Size_ha,Budget_per_ha_INR_per_season,Budget_total_INR_per_season
F0001,0.82,3697.01,3031.55
F0002,0.21,3324.54,698.15
F0003,1.28,3724.59,4767.47
F0004,1.55,3273.99,5074.69
F0005,0.69,3401.63,2347.13
F0006,0.44,3430.75,1509.53
F0007,0.6,3359.66,2015.79
F0008,0.26,3152.35,819.61
F0009,1.46,3314.86,4839.69
F0010,1.32,3386.36,4469.99
F0011,0.65,3369.54,2190.2
F0012,1.87,3699.89,6918.79
F0013,0.97,3183.16,3087.66
F0014,0.26,3422.26,889.79
F0015,0.88,3176.26,2795.11
F0016,0.23,3801.45,874.33
F0017,1.46,3703.15,5406.59
F0018,0.58,3837.51,2225.76
F0019,0.5,3787.11,1893.56
F0020,0.31,3371.07,1045.03
F0021,0.52,3634.11,1889.74
F0022,0.4,3364.59,1345.84
F0023,0.43,3771.75,1621.85
F0024,1.03,3437.53,3540.65
F0025,0.87,3413.12,2969.42
F0026,0.92,3789.85,3486.66
F0027,0.93,3735.72,3474.22
F0028,0.4,3826.49,1530.6
F0029,0.36,3196.54,1150.75
F0030,0.27,3320.34,896.49
F0031,1.12,3360.6,3763.87
F0032,1.88,3447.05,6480.45
F0033,0.54,3481.19,1879.84
F0034,0.26,3354.03,872.05
F0035,0.27,3703.32,999.9
F0036,1.16,3306.27,3835.27
F0037,1.28,3637.56,4656.08
F0038,1.04,3746.24,3896.09
F0039,0.31,3572.59,1107.5
F0040,0.77,3397.91,2616.39
F0041,0.68,3281.52,2231.44
F0042,0.75,3244.04,2433.03
F0043,1.45,3670.92,5322.84
F0044,0.76,3478.39,2643.58
F0045,1.2,3182.42,3818.91
F0046,0.65,3838.69,2495.15
F0047,0.81,3619.91,2932.13
F0048,1.14,3740.93,4264.66
F0049,0.44,3456.73,1520.96
F0050,0.38,3818.81,1451.15
F0051,0.32,3289.67,1052.69
F0052,0.46,3279.6,1508.61
F0053,0.26,3773.23,981.04
F0054,1.6,3774.2,6038.72
F0055,0.43,3499.31,1504.7
F0056,0.71,3238.05,2299.02
F0057,1.09,3363.65,3666.38
F0058,1.24,3677.91,4560.6
F0059,1.34,3742.19,5014.54
F0060,0.43,3393.36,1459.14
F0061,0.38,3192.86,1213.29
F0062,1.43,3616.01,5170.89
F0063,0.5,3667.65,1833.82
F0064,0.24,3446.81,827.23
F0065,1,3558.17,3558.17
F0066,0.7,3841.16,2688.81
F0067,1.21,3321.5,4019.01
F0068,0.4,3551.08,1420.43
F0069,0.71,3577.67,2540.15
F0070,1.13,3534.38,3993.84
F0071,0.45,3758.39,1691.28
F0072,0.96,3573.51,3430.57
F0073,0.31,3505.52,1086.71
F0074,0.42,3236.11,1359.17
F0075,0.41,3642.25,1493.32
F0076,0.99,3242.48,3210.05
F0077,0.38,3168.6,1204.07
F0078,0.61,3491.97,2130.1
F0079,0.98,3550.71,3479.7
F0080,0.95,3849.34,3656.87
F0081,1.18,3648.63,4305.38
F0082,0.55,3744.01,2059.21
F0083,0.4,3392.47,1356.99
F0084,0.56,3506.24,1963.49
F0085,0.22,3831.99,843.04
F0086,0.9,3442.17,3097.95
F0087,0.25,3715.1,928.78
F0088,0.42,3518.19,1477.64
F0089,0.42,3306.77,1388.84
F0090,1.27,3556.29,4516.49
F0091,0.24,3302.64,792.63
F0092,0.49,3152.12,1544.54
F0093,0.23,3315.13,762.48
F0094,0.43,3285.2,1412.64
F0095,1.41,3409.64,4807.6
F0096,0.94,3772.02,3545.7
F0097,0.77,3421.5,2634.55
F0098,0.33,3741.63,1234.74
F0099,0.65,3538.93,2300.3
F0100,0.36,3155.33,1135.92
