practice_id_1,practice_id_2,reason
1,2,Same exclusivity group: awd_variant
1,3,Same exclusivity group: awd_variant
2,3,Same exclusivity group: awd_variant
4,5,Same exclusivity group: drainage_timing
4,6,Same exclusivity group: drainage_timing
5,6,Same exclusivity group: drainage_timing
8,9,Same exclusivity group: water_infrastructure
8,21,Same exclusivity group: water_infrastructure
9,21,Same exclusivity group: water_infrastructure
11,12,Same exclusivity group: establishment_regime
11,15,Same exclusivity group: establishment_regime
11,16,Same exclusivity group: establishment_regime
11,17,Same exclusivity group: establishment_regime
11,19,Same exclusivity group: establishment_regime
12,15,Same exclusivity group: establishment_regime
12,16,Same exclusivity group: establishment_regime
12,17,Same exclusivity group: establishment_regime
12,19,Same exclusivity group: establishment_regime
13,14,Same exclusivity group: duration_choice
15,16,Same exclusivity group: establishment_regime
15,17,Same exclusivity group: establishment_regime
15,19,Same exclusivity group: establishment_regime
16,17,Same exclusivity group: establishment_regime
16,19,Same exclusivity group: establishment_regime
17,19,Same exclusivity group: establishment_regime
20,22,Same exclusivity group: field_operations
20,23,Same exclusivity group: field_operations
22,23,Same exclusivity group: field_operations
24,25,Same exclusivity group: nitrogen_strategy
24,30,Same exclusivity group: nitrogen_strategy
24,31,Same exclusivity group: nitrogen_strategy
24,32,Same exclusivity group: nitrogen_strategy
24,33,Same exclusivity group: nitrogen_strategy
24,34,Same exclusivity group: nitrogen_strategy
24,35,Same exclusivity group: nitrogen_strategy
24,37,Same exclusivity group: nitrogen_strategy
25,30,Same exclusivity group: nitrogen_strategy
25,31,Same exclusivity group: nitrogen_strategy
25,32,Same exclusivity group: nitrogen_strategy
25,33,Same exclusivity group: nitrogen_strategy
25,34,Same exclusivity group: nitrogen_strategy
25,35,Same exclusivity group: nitrogen_strategy
25,37,Same exclusivity group: nitrogen_strategy
26,27,Same exclusivity group: nitrogen_tech
26,28,Same exclusivity group: nitrogen_tech
26,29,Same exclusivity group: nitrogen_tech
26,36,Same exclusivity group: nitrogen_tech
27,28,Same exclusivity group: nitrogen_tech
27,29,Same exclusivity group: nitrogen_tech
27,36,Same exclusivity group: nitrogen_tech
28,29,Same exclusivity group: nitrogen_tech
28,36,Same exclusivity group: nitrogen_tech
29,36,Same exclusivity group: nitrogen_tech
30,31,Same exclusivity group: nitrogen_strategy
30,32,Same exclusivity group: nitrogen_strategy
30,33,Same exclusivity group: nitrogen_strategy
30,34,Same exclusivity group: nitrogen_strategy
30,35,Same exclusivity group: nitrogen_strategy
30,37,Same exclusivity group: nitrogen_strategy
31,32,Same exclusivity group: nitrogen_strategy
31,33,Same exclusivity group: nitrogen_strategy
31,34,Same exclusivity group: nitrogen_strategy
31,35,Same exclusivity group: nitrogen_strategy
31,37,Same exclusivity group: nitrogen_strategy
32,33,Same exclusivity group: nitrogen_strategy
32,34,Same exclusivity group: nitrogen_strategy
32,35,Same exclusivity group: nitrogen_strategy
32,37,Same exclusivity group: nitrogen_strategy
33,34,Same exclusivity group: nitrogen_strategy
33,35,Same exclusivity group: nitrogen_strategy
33,37,Same exclusivity group: nitrogen_strategy
34,35,Same exclusivity group: nitrogen_strategy
34,37,Same exclusivity group: nitrogen_strategy
35,37,Same exclusivity group: nitrogen_strategy
38,50,Same exclusivity group: rotation_diversification
39,40,Same exclusivity group: residue_fate
39,41,Same exclusivity group: residue_fate
39,42,Same exclusivity group: residue_fate
39,43,Same exclusivity group: residue_fate
39,44,Same exclusivity group: residue_fate
40,41,Same exclusivity group: residue_fate
40,42,Same exclusivity group: residue_fate
40,43,Same exclusivity group: residue_fate
40,44,Same exclusivity group: residue_fate
41,42,Same exclusivity group: residue_fate
41,43,Same exclusivity group: residue_fate
41,44,Same exclusivity group: residue_fate
42,43,Same exclusivity group: residue_fate
42,44,Same exclusivity group: residue_fate
43,44,Same exclusivity group: residue_fate
46,47,Same exclusivity group: soil_amendments
46,48,Same exclusivity group: soil_amendments
46,49,Same exclusivity group: soil_amendments
47,48,Same exclusivity group: soil_amendments
47,49,Same exclusivity group: soil_amendments
48,49,Same exclusivity group: soil_amendments
