i,j,alpha,delta,gamma
1,2,-0.0009,-0.0124,72.53
1,3,0.0182,-0.0215,-71.15
1,4,-0.0062,-0.0052,18.82
1,5,-0.0356,0.0068,74.45
1,6,-0.008,0.0093,52.73
1,7,-0.0358,0.0017,-47.12
1,8,0.0164,-0.0025,7.06
1,9,-0.0304,0.0102,9.18
1,10,-0.0228,-0.0055,57.26
1,11,0.001,0.0021,50.16
1,12,0.0542,-0.0061,-15.86
1,13,-0.0344,0.0042,99.03
1,14,-0.0134,-0.0104,-37.71
1,15,0.0095,0.0054,58.02
1,16,-0.0066,0.0058,-11.83
1,17,0.0287,0.0135,-4.35
1,18,0.0472,0.0038,0.24
1,19,0.0453,-0.0145,-42.38
1,20,0.0012,-0.0047,-39.26
1,21,0.0798,-0.0074,47.78
1,22,-0.0473,-0.001,-8.61
1,23,0.0434,0.0115,35.53
1,24,-0.0205,-0.0036,51.48
1,25,-0.0157,-0.0118,-68.0
1,26,-0.0376,0.006,8.55
1,27,0.0107,-0.0033,9.51
1,28,0.0088,-0.0021,27.41
1,29,-0.0299,-0.0026,-22.9
1,30,-0.0459,0.0059,-28.16
1,31,-0.0096,0.0058,26.79
1,32,0.01,0.0,-25.4
1,33,-0.0124,-0.0159,-86.83
1,34,-0.0497,-0.009,23.99
1,35,-0.0372,-0.0028,77.95
1,36,-0.0207,0.0084,-56.02
1,37,-0.0162,-0.0085,-20.34
1,38,0.0152,-0.0163,26.07
1,39,-0.0067,-0.0059,-86.76
1,40,-0.0125,-0.0053,13.96
1,41,-0.0142,0.016,-14.36
1,42,-0.0508,0.0018,13.2
1,43,0.0326,0.0084,21.41
1,44,0.0362,-0.0119,-38.39
1,45,-0.0474,-0.0039,-82.6
1,46,0.0254,-0.0022,-88.25
1,47,-0.0406,0.0031,50.29
1,48,0.0799,0.0291,24.86
1,49,-0.0396,-0.0213,16.06
1,50,-0.0325,-0.0042,-36.73
2,3,-0.0142,0.0087,30.99
2,4,-0.0148,-0.0124,-97.23
2,5,-0.0246,-0.0025,143.76
2,6,-0.0061,0.0078,-14.95
2,7,-0.0455,-0.0117,-30.77
2,8,0.0539,-0.0102,78.69
2,9,-0.0371,0.0073,46.95
2,10,-0.0147,-0.0024,-25.84
2,11,0.0034,-0.0065,-65.79
2,12,-0.0483,-0.0003,130.54
2,13,-0.0052,-0.0032,40.01
2,14,0.0292,0.0002,-8.76
2,15,0.0232,0.0023,127.5
2,16,0.0273,-0.0117,-115.77
2,17,0.086,0.0237,-32.57
2,18,0.0047,0.0205,-97.49
2,19,-0.0158,0.0107,-47.62
2,20,0.0198,0.001,3.63
2,21,0.0763,0.0041,25.08
2,22,-0.062,0.0024,-79.03
2,23,-0.0288,-0.0075,-43.39
2,24,0.0175,-0.0123,1.84
2,25,-0.0245,-0.0023,60.17
2,26,0.0061,0.0144,-9.27
2,27,-0.0309,-0.0012,14.55
2,28,-0.0047,-0.0098,5.43
2,29,-0.0032,0.0262,112.61
2,30,-0.0356,-0.0019,-87.81
2,31,-0.0277,0.0042,72.35
2,32,-0.0319,-0.0055,-128.84
2,33,-0.0149,-0.0096,-31.77
2,34,-0.0363,0.0001,-105.46
2,35,-0.054,0.0223,-77.25
2,36,-0.0429,0.0194,150.0
2,37,-0.0451,-0.0027,20.49
2,38,0.0419,-0.0089,-14.72
2,39,0.0122,0.0043,-22.57
2,40,-0.0197,-0.0137,-14.29
2,41,-0.0243,0.0023,-33.32
2,42,0.0015,0.0101,9.33
2,43,-0.0027,0.0005,0.01
2,44,-0.0403,0.0032,-5.84
2,45,0.0583,0.0157,23.15
2,46,-0.0305,-0.0111,71.47
2,47,0.0105,0.0048,-104.68
2,48,0.0371,0.0045,-66.63
2,49,-0.0189,0.0026,3.15
2,50,-0.0117,-0.001,-15.12
3,4,-0.0054,0.0127,-159.67
3,5,-0.0171,-0.0002,40.72
3,6,-0.0212,-0.0196,42.96
3,7,0.0418,-0.0173,80.47
3,8,-0.0199,-0.0026,-53.7
3,9,-0.02,0.011,60.79
3,10,0.042,0.0098,50.74
3,11,0.0423,0.0024,77.96
3,12,-0.0189,-0.0013,-28.82
3,13,0.0197,-0.0138,74.76
3,14,-0.0157,0.0097,72.56
3,15,0.0446,0.0053,-90.04
3,16,0.0173,-0.0111,-56.28
3,17,0.0804,0.0107,-68.93
3,18,-0.0205,0.0034,-105.16
3,19,-0.0068,0.0067,60.87
3,20,0.0444,-0.0245,1.31
3,21,0.0229,0.008,93.13
3,22,-0.0625,-0.0041,21.36
3,23,-0.0433,0.0207,5.78
3,24,0.0154,-0.0047,48.83
3,25,0.0221,0.0033,14.06
3,26,-0.0019,-0.0076,-8.85
3,27,-0.0146,0.0048,59.99
3,28,-0.0418,-0.0003,88.89
3,29,-0.0323,-0.0072,12.14
3,30,0.0153,0.0011,79.74
3,31,0.0157,0.0094,33.25
3,32,0.0598,-0.0011,-120.21
3,33,0.0381,-0.0036,6.47
3,34,0.0293,-0.015,-75.1
3,35,-0.058,-0.0069,26.38
3,36,0.0057,0.0038,-84.77
3,37,-0.0793,0.0015,-28.31
3,38,0.0038,0.008,8.29
3,39,0.0116,0.0023,31.8
3,40,-0.0397,-0.0018,11.81
3,41,0.0137,-0.0039,31.27
3,42,-0.0243,-0.0012,49.77
3,43,-0.0848,-0.013,-88.93
3,44,-0.0967,-0.0068,44.97
3,45,-0.025,0.002,65.35
3,46,0.0531,-0.0007,81.22
3,47,0.0037,-0.0084,-35.66
3,48,-0.0592,-0.0089,-21.48
3,49,0.0321,0.0172,-82.93
3,50,0.0157,-0.0104,28.48
4,5,-0.0139,-0.0203,84.98
4,6,-0.0282,-0.0073,-54.88
4,7,-0.0296,0.0023,6.75
4,8,-0.0001,0.0016,112.45
4,9,-0.0203,-0.0168,94.71
4,10,-0.0199,0.0091,46.84
4,11,-0.0139,0.0015,156.57
4,12,0.0523,-0.0013,31.21
4,13,0.0223,-0.0105,43.31
4,14,-0.0108,0.0011,-38.34
4,15,-0.0577,-0.0227,-58.22
4,16,0.0017,-0.0005,115.61
4,17,0.0642,-0.0085,4.34
4,18,0.0037,-0.0004,-7.03
4,19,0.0448,-0.0011,54.47
4,20,-0.0257,0.0031,161.84
4,21,0.0289,0.0202,-13.59
4,22,0.0432,0.0023,-31.93
4,23,-0.0112,0.0082,-79.61
4,24,0.01,0.0119,21.99
4,25,-0.0186,0.0055,-18.52
4,26,0.0181,-0.0173,-20.14
4,27,-0.0697,-0.014,81.83
4,28,0.0169,-0.0062,-90.15
4,29,-0.0989,-0.0044,145.22
4,30,0.003,-0.0046,27.9
4,31,-0.0568,-0.002,5.97
4,32,-0.0126,0.0089,20.68
4,33,0.01,-0.0059,53.87
4,34,0.0389,-0.0087,-53.26
4,35,0.0301,-0.0009,84.23
4,36,-0.0233,0.0156,7.89
4,37,-0.0023,0.0166,-21.71
4,38,-0.0382,-0.0035,27.14
4,39,-0.0698,0.0064,-32.33
4,40,0.0252,-0.0239,-47.19
4,41,-0.074,-0.0083,14.86
4,42,-0.0213,-0.0025,-9.55
4,43,-0.0079,-0.0101,42.41
4,44,0.0082,0.0039,33.39
4,45,-0.0046,0.0204,-5.23
4,46,-0.0123,-0.0075,-61.94
4,47,-0.0498,-0.0089,-4.24
4,48,0.0134,0.0005,-45.93
4,49,0.036,0.0074,-9.58
4,50,-0.0261,0.0055,11.28
5,6,-0.0534,-0.0027,38.34
5,7,-0.037,-0.0001,-81.84
5,8,0.0301,0.0105,2.32
5,9,0.0009,-0.0261,-60.94
5,10,-0.0188,-0.0127,70.01
5,11,0.0499,-0.0138,-38.62
5,12,-0.0029,0.0141,-65.57
5,13,-0.0025,0.0162,-95.62
5,14,-0.0484,-0.0062,-16.44
5,15,0.0144,0.0004,-104.25
5,16,0.0406,-0.0039,69.21
5,17,-0.0051,-0.0046,17.88
5,18,0.0505,0.0084,-137.99
5,19,0.0415,-0.0094,-3.53
5,20,-0.0369,0.0084,-76.46
5,21,-0.0313,0.0116,-3.08
5,22,-0.0046,0.0204,-50.85
5,23,0.0213,0.0062,-63.38
5,24,0.0041,-0.0043,-24.7
5,25,0.0309,-0.0094,-144.77
5,26,0.0383,0.0265,-24.32
5,27,-0.0681,-0.0021,-17.17
5,28,-0.0157,-0.0101,34.77
5,29,0.0057,-0.0139,41.95
5,30,0.0516,0.0027,-20.24
5,31,-0.0143,0.0072,-103.84
5,32,-0.0051,-0.0029,110.87
5,33,-0.0152,0.0177,-66.22
5,34,0.0076,0.0042,-52.14
5,35,-0.0047,0.0131,-19.43
5,36,-0.0608,0.0008,-54.15
5,37,-0.0203,0.0002,-102.34
5,38,-0.0585,0.0058,-31.36
5,39,-0.1048,0.0078,16.34
5,40,-0.04,-0.0132,50.15
5,41,-0.0028,0.0238,25.21
5,42,-0.0014,-0.0017,49.01
5,43,0.0069,0.0125,-31.28
5,44,-0.0302,-0.0048,47.45
5,45,0.0374,-0.0046,-25.49
5,46,0.0126,-0.0025,57.12
5,47,-0.0901,-0.0083,-46.94
5,48,-0.0928,-0.0096,-54.91
5,49,-0.008,0.0111,-14.7
5,50,-0.0412,-0.0006,62.95
6,7,-0.0393,-0.0111,59.1
6,8,-0.0166,0.0045,19.04
6,9,0.011,-0.0124,19.15
6,10,-0.0163,-0.0142,-89.44
6,11,0.0106,-0.0055,-51.56
6,12,-0.0129,0.0093,-139.65
6,13,-0.0549,-0.0112,122.28
6,14,-0.0015,0.0057,-59.81
6,15,-0.0436,0.0025,24.08
6,16,0.0419,0.0007,-0.53
6,17,0.0263,0.0123,36.49
6,18,-0.0448,-0.024,50.12
6,19,0.0675,-0.0092,-150.19
6,20,0.024,0.0142,105.83
6,21,0.0407,-0.0015,-82.52
6,22,0.0205,-0.0006,-91.05
6,23,0.102,0.0244,59.52
6,24,-0.0376,0.0096,38.38
6,25,0.0033,0.0135,38.12
6,26,0.0122,0.0074,20.45
6,27,-0.0635,0.0018,-33.37
6,28,-0.0484,0.0178,103.74
6,29,0.0308,0.0036,81.04
6,30,-0.0096,0.003,-65.61
6,31,0.0019,0.0016,-78.16
6,32,-0.0115,0.0002,107.85
6,33,0.0168,0.0011,14.93
6,34,-0.0087,-0.001,-64.95
6,35,-0.0145,-0.0065,-75.02
6,36,0.0053,0.0049,-107.2
6,37,-0.0137,0.011,63.55
6,38,0.0208,0.0014,-50.7
6,39,-0.0529,0.0034,22.76
6,40,0.0301,0.011,-7.93
6,41,-0.0585,-0.0032,13.03
6,42,-0.0221,-0.0058,15.17
6,43,-0.0326,-0.0063,18.69
6,44,-0.0291,0.0024,16.39
6,45,-0.0549,-0.0048,86.27
6,46,-0.0465,-0.0212,-111.71
6,47,0.0012,0.0003,-7.06
6,48,0.0486,-0.0267,23.76
6,49,0.0625,-0.0113,-22.79
6,50,-0.0301,-0.0089,-19.58
7,8,0.0328,0.0164,-3.52
7,9,0.0472,-0.0016,142.76
7,10,-0.0128,-0.0007,45.58
7,11,0.0854,0.0065,-29.51
7,12,0.0191,-0.0056,-14.28
7,13,0.0173,-0.0017,39.5
7,14,-0.0096,0.0014,49.75
7,15,-0.0681,0.0047,-48.74
7,16,-0.0377,0.0023,-14.12
7,17,-0.0077,0.013,-113.95
7,18,0.0037,-0.004,-23.26
7,19,0.0312,-0.0091,30.7
7,20,0.0225,-0.0197,-157.1
7,21,0.0195,0.0003,-27.24
7,22,0.0189,0.0057,46.34
7,23,-0.0244,-0.0111,-96.53
7,24,-0.0013,0.0134,-25.88
7,25,-0.0851,-0.016,-49.98
7,26,-0.0267,-0.0031,2.31
7,27,-0.0194,0.0115,-40.56
7,28,-0.0359,0.0058,-92.14
7,29,0.0017,0.002,-8.85
7,30,0.0376,-0.0052,123.62
7,31,-0.0168,-0.0118,4.2
7,32,-0.0423,-0.0065,23.82
7,33,0.0067,-0.0052,59.24
7,34,0.0247,0.0154,31.76
7,35,0.0309,-0.0178,-19.07
7,36,-0.036,0.0022,-34.29
7,37,-0.015,0.0198,-10.18
7,38,0.0024,-0.0013,4.54
7,39,-0.0148,0.0045,69.92
7,40,0.0427,0.0031,35.37
7,41,-0.0553,-0.0009,56.42
7,42,0.0153,0.0021,53.18
7,43,0.0022,0.012,17.36
