area_threshold,num_farmers,actual_area,avg_shapley,core_stable,farmer_shapley_values,avg_payoff_per_acre_small,avg_payoff_per_acre_medium,avg_payoff_per_acre_large,aggregator_profit,roi,total_project_profit,commission,mrv_fixed,mrv_var,run_id
5,2,7.35,4849.193089978574,False,"[{'F00113': 711.8022427802986}, {'F00137': 8986.583937176849}]",340.5752357800472,0.0,1708.4760336838117,1711.4799141100896,0.4046606578097758,11409.866094067263,0.15,5000.0,0.1,0
10,4,10.719999999999999,5756.242500000004,False,"[{'F00113': 708.0410425022524}, {'F00137': 11581.10641049798}, {'F00011': 2879.8481818775676}, {'F00116': 7855.974365122214}]",2095.9457123630104,0.0,2201.7312567486656,4063.2299999999996,0.6298146003933986,27088.199999999997,0.15,5000.0,0.1,0
25,11,27.130000000000003,5873.673344140413,False,"[{'F00113': 516.9578254340639}, {'F00137': 12121.59092688005}, {'F00011': 3360.698561859941}, {'F00116': 8764.66874665604}, {'F00225': 11419.823177875694}, {'F00119': 4363.014298452747}, {'F00061': 3158.566723178166}, {'F00105': 3142.9366743914034}, {'F00029': 2359.3747418259545}, {'F00032': 3747.865826147249}, {'F00181': 11654.909282843231}]",2089.330200124505,2777.099874410088,2304.484967087462,11401.83649156668,0.5938003885255397,76012.2432771112,0.15,5000.0,0.1,0
50,15,52.1,10858.024981238315,False,"[{'F00113': 450.89464107782345}, {'F00137': 12324.95328458119}, {'F00011': 3412.5878753587895}, {'F00116': 8748.00745592874}, {'F00225': 11367.226079899352}, {'F00119': 4614.398581659858}, {'F00061': 3199.6214151513186}, {'F00105': 3080.1251290176297}, {'F00029': 2369.7432061215927}, {'F00032': 3957.5315848911837}, {'F00181': 11801.972150797701}, {'F00046': 28231.69996087414}, {'F00109': 12792.510933260028}, {'F00070': 42678.90931171635}, {'F00187': 13840.193108238995}]",2103.2953550914995,3204.729143336627,3598.5976029905614,28741.830832689633,0.766952573685679,191612.20555126423,0.15,5000.0,0.1,0
75,23,77.42,11395.6258147938,True,"[{'F00113': 420.21396065258995}, {'F00137': 12408.839623420617}, {'F00011': 3545.5504804945176}, {'F00116': 8923.592313776304}, {'F00225': 11396.829088908218}, {'F00119': 4598.35964298069}, {'F00061': 3225.1623178391624}, {'F00105': 3078.8858290154444}, {'F00029': 2436.3498530841707}, {'F00032': 4066.119110602435}, {'F00181': 11832.556682143239}, {'F00046': 28164.538597688574}, {'F00109': 12815.686520079411}, {'F00070': 42702.09817668425}, {'F00187': 14018.711355366113}, {'F00030': 18823.801973299047}, {'F00133': 4141.680616467862}, {'F00019': 11705.057352407253}, {'F00115': 9507.118810251377}, {'F00080': 4892.60037909107}, {'F00202': 21476.585118274998}, {'F00102': 9531.055428109163}, {'F00171': 18388.000509620913}]",2513.1646602746364,3633.665752602,3609.023625701396,46252.834189457186,0.8257522793187188,308352.2279297146,0.15,5000.0,0.1,0
100,34,103.76,10299.972676857185,False,"[{'F00113': 382.1643817251072}, {'F00137': 12343.472458833223}, {'F00011': 3500.5890852843654}, {'F00116': 8974.408846379263}, {'F00225': 11474.569982335623}, {'F00119': 4569.532850966102}, {'F00061': 3174.6097073683613}, {'F00105': 3059.474103195647}, {'F00029': 2403.9865121666676}, {'F00032': 3909.114146033371}, {'F00181': 11796.403484442397}, {'F00046': 28174.53689872799}, {'F00109': 12857.919069877351}, {'F00070': 42744.415843690746}, {'F00187': 14148.0887972077}, {'F00030': 18873.36693164726}, {'F00133': 4267.279579783081}, {'F00019': 11786.836335407455}, {'F00115': 9549.792397020634}, {'F00080': 5057.432052170892}, {'F00202': 21363.795891045957}, {'F00102': 9489.654639872895}, {'F00171': 18425.169061951266}, {'F00223': 891.8180519979397}, {'F00097': 32685.652218424566}, {'F00057': 2298.1838334708027}, {'F00110': 3281.414936749171}, {'F00214': 19021.924870563093}, {'F00142': 130.65222118428377}, {'F00160': -1010.0874400211219}, {'F00237': 8296.64546908041}, {'F00201': 1680.9331618687863}, {'F00066': 8542.565005846125}, {'F00174': 12052.755626846776}]",2360.838518896921,3670.0019543496073,3701.851849294997,61799.836061143076,0.808797130560717,411998.9070742872,0.15,5000.0,0.1,0
200,64,200.46,9276.32359375,False,"[{'F00113': 340.4259223518209}, {'F00137': 12379.099658597175}, {'F00011': 3488.3980916990604}, {'F00116': 8866.271903434654}, {'F00225': 11449.72688751188}, {'F00119': 4620.252760999698}, {'F00061': 3207.041574096913}, {'F00105': 3098.309171201059}, {'F00029': 2349.3863029752474}, {'F00032': 3994.5313252466563}, {'F00181': 11842.989584332601}, {'F00046': 28227.383568496443}, {'F00109': 12849.353299155073}, {'F00070': 42804.97809635829}, {'F00187': 14179.011306027889}, {'F00030': 18849.69426694754}, {'F00133': 4142.8673148847265}, {'F00019': 11721.140022229512}, {'F00115': 9587.476359838234}, {'F00080': 5024.31330611071}, {'F00202': 21449.34346594773}, {'F00102': 9574.835441959418}, {'F00171': 18528.393338916925}, {'F00223': 866.6903443322562}, {'F00097': 32683.16979335001}, {'F00057': 2226.602978764718}, {'F00110': 3213.2918562527593}, {'F00214': 19118.351514201182}, {'F00142': 51.22571383676472}, {'F00160': -1081.6164372412495}, {'F00237': 8468.278036946545}, {'F00201': 1688.245136211312}, {'F00066': 8615.676507957478}, {'F00174': 12159.678513264973}, {'F00213': 8653.456156199676}, {'F00043': 6731.529232030491}, {'F00010': 1168.8093039957403}, {'F00112': 7049.0867595155105}, {'F00125': 18139.206467099524}, {'F00157': 22361.399798284096}, {'F00126': 3633.8433119433566}, {'F00241': 14311.191335253208}, {'F00121': -708.4459731851547}, {'F00118': 2455.213025201236}, {'F00023': 2030.980522538208}, {'F00149': 3897.0479916082654}, {'F00025': 4635.1218365290515}, {'F00120': -3.5625325255863505}, {'F00235': 15404.77568444836}, {'F00186': -532.276363074382}, {'F00076': 2591.3861685416814}, {'F00141': -734.5880195060204}, {'F00198': 2279.391765058324}, {'F00226': 33162.75269045783}, {'F00039': 3026.810317206529}, {'F00159': 6702.837466219004}, {'F00168': 3083.001648766987}, {'F00013': 17742.306679446967}, {'F00185': 17925.88315369687}, {'F00239': 8969.769807913795}, {'F00031': 7199.299780551929}, {'F00195': 23354.96498321671}, {'F00074': 10461.893023728479}, {'F00017': -1893.1929483566914}]",2110.7227370057954,3257.0048721301073,3078.7659228873868,104767.89000000001,0.7190080330537608,698452.6000000001,0.15,5000.0,0.1,0
400,100,312.6200000000001,9432.708399999994,False,"[{'F00113': 339.2197070861803}, {'F00137': 12369.92135754451}, {'F00011': 3508.738706445794}, {'F00116': 8900.605677436444}, {'F00225': 11496.037726057442}, {'F00119': 4628.4464545770925}, {'F00061': 3212.5534906538123}, {'F00105': 3114.5320281520435}, {'F00029': 2421.85386034506}, {'F00032': 4024.3424005864294}, {'F00181': 11771.15039946016}, {'F00046': 28269.661619618997}, {'F00109': 12793.68839633635}, {'F00070': 42742.381332612036}, {'F00187': 14127.670785346254}, {'F00030': 18839.846351459208}, {'F00133': 4190.934219608263}, {'F00019': 11623.79813118482}, {'F00115': 9536.897124489527}, {'F00080': 5056.754607327768}, {'F00202': 21486.210591534596}, {'F00102': 9558.245049321067}, {'F00171': 18429.02904316335}, {'F00223': 846.0214237867731}, {'F00097': 32677.311766220675}, {'F00057': 2295.763695431355}, {'F00110': 3255.675209342492}, {'F00214': 19106.22014553045}, {'F00142': 40.75453071635295}, {'F00160': -1105.821347884207}, {'F00237': 8436.625800317102}, {'F00201': 1678.4715971135943}, {'F00066': 8635.039113858087}, {'F00174': 12222.123241586987}, {'F00213': 8697.307224730697}, {'F00043': 6753.051040821143}, {'F00010': 1168.4873762726636}, {'F00112': 6971.265780440507}, {'F00125': 18171.274853369032}, {'F00157': 22415.652668508086}, {'F00126': 3711.794147448602}, {'F00241': 14274.538788450696}, {'F00121': -748.2470255001643}, {'F00118': 2424.770407728556}, {'F00023': 2019.294142505144}, {'F00149': 3930.70438904703}, {'F00025': 4637.631495099212}, {'F00120': -28.77186868865423}, {'F00235': 15428.394607442457}, {'F00186': -559.063324072161}, {'F00076': 2581.662262696313}, {'F00141': -728.1758593557543}, {'F00198': 2246.3107739640122}, {'F00226': 33223.95301785317}, {'F00039': 3076.128435708055}, {'F00159': 6701.368899731906}, {'F00168': 3116.2950330445137}, {'F00013': 17684.096739380948}, {'F00185': 18001.60510389982}, {'F00239': 8990.605202942223}, {'F00031': 7198.928242016542}, {'F00195': 23307.64088113237}, {'F00074': 10502.868461513952}, {'F00017': -1895.7932067221327}, {'F00230': 15049.30331708501}, {'F00036': 25186.962845440135}, {'F00083': 5714.8081383212075}, {'F00016': 7093.956251456145}, {'F00217': 4470.832231232116}, {'F00069': 17023.521184662197}, {'F00177': 6393.835813559409}, {'F00085': 17831.92868325483}, {'F00026': 15826.256578186849}, {'F00234': 334.6795341476676}, {'F00220': 715.4012380422989}, {'F00068': 4963.501394880657}, {'F00197': 7888.796535549673}, {'F00155': -1715.5646272228664}, {'F00143': 3755.133681676246}, {'F00098': 13114.557566554517}, {'F00173': 2802.3693635567674}, {'F00218': 9038.373312935966}, {'F00178': 3619.582642643794}, {'F00182': 12109.553677135922}, {'F00219': 31551.33368865069}, {'F00169': 4230.03482810182}, {'F00087': 1261.8241494140018}, {'F00094': -4660.0487761037175}, {'F00248': 24797.32682396257}, {'F00067': 1424.8359005742013}, {'F00006': 20468.436389818336}, {'F00246': 18941.919311194844}, {'F00056': 26018.377257392556}, {'F00238': 3249.24742020407}, {'F00020': 2227.4003265696547}, {'F00232': 6654.274897495245}, {'F00127': 9325.950283223843}, {'F00147': 14159.489533528602}, {'F00007': -268.28179075896895}, {'F00034': 18864.64746585749}]",2155.6425798888467,3463.783728501924,2933.022895109621,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
500,100,312.6200000000001,9432.708399999998,False,"[{'F00113': 327.08475881286597}, {'F00137': 12386.241267208565}, {'F00011': 3519.535714319282}, {'F00116': 8931.462814946783}, {'F00225': 11512.655162014535}, {'F00119': 4650.1375146137}, {'F00061': 3201.288735705657}, {'F00105': 3134.9755698308086}, {'F00029': 2411.8066162296636}, {'F00032': 4016.8195971915106}, {'F00181': 11883.581814490659}, {'F00046': 28235.395642779506}, {'F00109': 12836.0344264441}, {'F00070': 42776.03318254273}, {'F00187': 14187.775574854137}, {'F00030': 18815.64270154033}, {'F00133': 4235.549638541671}, {'F00019': 11740.145208907805}, {'F00115': 9573.675007376825}, {'F00080': 5088.677899767053}, {'F00202': 21531.204701037263}, {'F00102': 9516.25278835699}, {'F00171': 18523.232834318667}, {'F00223': 871.5938575390038}, {'F00097': 32650.95060285734}, {'F00057': 2311.2141566790656}, {'F00110': 3228.2890544932106}, {'F00214': 18964.477283699405}, {'F00142': 49.349869384999835}, {'F00160': -1071.4345890558934}, {'F00237': 8440.407429783982}, {'F00201': 1629.3704057568102}, {'F00066': 8602.926327039897}, {'F00174': 12226.743012684832}, {'F00213': 8615.587798248689}, {'F00043': 6811.036870513465}, {'F00010': 1175.4000154172095}, {'F00112': 7049.206445398315}, {'F00125': 18099.29360104891}, {'F00157': 22385.81515654279}, {'F00126': 3673.297605011223}, {'F00241': 14293.357783829937}, {'F00121': -759.3097790949098}, {'F00118': 2486.855892287014}, {'F00023': 1995.1987612937799}, {'F00149': 3903.085469221368}, {'F00025': 4613.104893079428}, {'F00120': -17.396881577525832}, {'F00235': 15412.833852723106}, {'F00186': -571.4445677744468}, {'F00076': 2565.4464588366272}, {'F00141': -754.9089777253647}, {'F00198': 2204.1404209478183}, {'F00226': 33206.91874286387}, {'F00039': 3074.2426141291417}, {'F00159': 6602.161819028868}, {'F00168': 3114.100350717671}, {'F00013': 17696.839473673055}, {'F00185': 17908.9114724125}, {'F00239': 8963.848676258802}, {'F00031': 7258.681548641648}, {'F00195': 23344.710923416675}, {'F00074': 10533.87549395906}, {'F00017': -1886.455481032454}, {'F00230': 15010.438040944866}, {'F00036': 25169.828837087745}, {'F00083': 5754.678240396099}, {'F00016': 7032.557572151243}, {'F00217': 4467.874484034599}, {'F00069': 17044.458131481075}, {'F00177': 6314.529298797459}, {'F00085': 17846.409472395055}, {'F00026': 15801.725468603097}, {'F00234': 324.1441885736537}, {'F00220': 699.4757398675134}, {'F00068': 4927.096054231148}, {'F00197': 7867.252964283856}, {'F00155': -1734.1224895362977}, {'F00143': 3752.221757057557}, {'F00098': 13082.250778034977}, {'F00173': 2833.81388766373}, {'F00218': 9069.120380927374}, {'F00178': 3686.7239976114442}, {'F00182': 12111.654020743175}, {'F00219': 31550.323419501852}, {'F00169': 4228.7372872356445}, {'F00087': 1264.2871470938521}, {'F00094': -4628.249298387066}, {'F00248': 24775.88696436922}, {'F00067': 1429.9212468210237}, {'F00006': 20419.248765822504}, {'F00246': 18829.963260346387}, {'F00056': 26037.816885795582}, {'F00238': 3277.8825290728205}, {'F00020': 2210.2834899756654}, {'F00232': 6735.851870944025}, {'F00127': 9306.224892999404}, {'F00147': 14188.919334355833}, {'F00007': -283.5555107450672}, {'F00034': 18927.633854458578}]",2156.864489293419,3466.8133814419602,2928.259497234024,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
600,100,312.6200000000001,9432.708399999998,False,"[{'F00113': 330.4859335135602}, {'F00137': 12367.09449254639}, {'F00011': 3546.1964741086017}, {'F00116': 8895.626813681632}, {'F00225': 11480.873544541531}, {'F00119': 4596.260937335994}, {'F00061': 3201.2568293540044}, {'F00105': 3115.2358167928933}, {'F00029': 2415.1743380093476}, {'F00032': 4084.9501971279433}, {'F00181': 11865.269529433725}, {'F00046': 28253.500196492965}, {'F00109': 12884.064117140031}, {'F00070': 42769.201150779714}, {'F00187': 14190.745675114285}, {'F00030': 18809.045897163844}, {'F00133': 4215.5168303054725}, {'F00019': 11771.093459237227}, {'F00115': 9574.045845163819}, {'F00080': 5062.228110769203}, {'F00202': 21469.499595945003}, {'F00102': 9435.36177337444}, {'F00171': 18451.899291905702}, {'F00223': 859.8068074368613}, {'F00097': 32662.49635298557}, {'F00057': 2272.867114696512}, {'F00110': 3253.0767231694936}, {'F00214': 19044.96822583021}, {'F00142': 41.50304609785258}, {'F00160': -1090.7749956023492}, {'F00237': 8422.954674381826}, {'F00201': 1672.9660478955327}, {'F00066': 8612.124011452584}, {'F00174': 12228.632316267456}, {'F00213': 8646.312385499034}, {'F00043': 6696.164273180044}, {'F00010': 1192.6026096009848}, {'F00112': 7106.4743731951385}, {'F00125': 18190.353936856176}, {'F00157': 22295.29745647572}, {'F00126': 3695.4048221203657}, {'F00241': 14296.408770190375}, {'F00121': -745.393362988957}, {'F00118': 2488.8579830843537}, {'F00023': 2041.1529564473278}, {'F00149': 3871.0071737107833}, {'F00025': 4668.444139113126}, {'F00120': -13.200028612528001}, {'F00235': 15451.285474036353}, {'F00186': -543.2936867514861}, {'F00076': 2520.0069938802644}, {'F00141': -739.3169727884455}, {'F00198': 2204.561949531595}, {'F00226': 33236.41427700082}, {'F00039': 3098.2840865415506}, {'F00159': 6690.563535211778}, {'F00168': 3072.4071313480604}, {'F00013': 17626.94468442181}, {'F00185': 17944.67247532468}, {'F00239': 8992.25965973952}, {'F00031': 7242.685711573365}, {'F00195': 23289.39525390719}, {'F00074': 10467.843526598483}, {'F00017': -1893.8508717006835}, {'F00230': 14999.718854019535}, {'F00036': 25079.664679566136}, {'F00083': 5722.276743961143}, {'F00016': 7117.990028152639}, {'F00217': 4472.759581739612}, {'F00069': 17034.05129192804}, {'F00177': 6371.579839277732}, {'F00085': 17886.59032699819}, {'F00026': 15850.281125152102}, {'F00234': 304.90324852356133}, {'F00220': 698.2861586120482}, {'F00068': 4928.3237872934515}, {'F00197': 7850.102967051365}, {'F00155': -1740.0411568317247}, {'F00143': 3700.812155726634}, {'F00098': 13107.09073327023}, {'F00173': 2844.7480798617685}, {'F00218': 9095.484799161826}, {'F00178': 3584.076241107695}, {'F00182': 12131.671234578675}, {'F00219': 31549.707129117145}, {'F00169': 4240.37888095786}, {'F00087': 1271.8367649519123}, {'F00094': -4643.360245338123}, {'F00248': 24859.20357201391}, {'F00067': 1407.5523820291203}, {'F00006': 20439.775705391912}, {'F00246': 18900.28507804195}, {'F00056': 26010.951566634332}, {'F00238': 3252.1546075318697}, {'F00020': 2252.411383549561}, {'F00232': 6729.191519820361}, {'F00127': 9242.72801220599}, {'F00147': 14148.217747820523}, {'F00007': -269.2369895846769}, {'F00034': 18982.674275509544}]",2157.389900654631,3464.533465122583,2930.9873488966605,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
