area_threshold,num_farmers,actual_area,avg_shapley,core_stable,farmer_shapley_values,avg_payoff_per_acre_small,avg_payoff_per_acre_medium,avg_payoff_per_acre_large,aggregator_profit,roi,total_project_profit,commission,mrv_fixed,mrv_var,run_id
10,4,10.719999999999999,5756.242500000005,False,"[{'F00113': 706.3084012389452}, {'F00137': 11646.555742438206}, {'F00011': 2879.8113181224344}, {'F00116': 7792.2945382004345}]",2083.9586552311016,0.0,2214.1740955205714,4063.2299999999996,0.6298146003933986,27088.199999999997,0.15,5000.0,0.1,0
25,11,27.130000000000003,5873.673344140411,True,"[{'F00113': 509.8766729215793}, {'F00137': 12136.828000420215}, {'F00011': 3307.806680690328}, {'F00116': 8859.104071723339}, {'F00225': 11299.650868261599}, {'F00119': 4575.16014494829}, {'F00061': 2916.6477995904334}, {'F00105': 3056.594715326506}, {'F00029': 2393.572575137139}, {'F00032': 3927.1952605191477}, {'F00181': 11627.96999600596}]",2082.635344112466,2783.6822883821706,2307.3817491293185,11401.83649156668,0.5938003885255397,76012.2432771112,0.15,5000.0,0.1,0
50,15,52.1,10858.02498123831,False,"[{'F00113': 464.4442031852916}, {'F00137': 12175.799844095927}, {'F00011': 3462.0702043928736}, {'F00116': 8809.953514906816}, {'F00225': 11400.662001458264}, {'F00119': 4661.360449217903}, {'F00061': 3149.0259620499064}, {'F00105': 2983.281542347915}, {'F00029': 2460.9977706108134}, {'F00032': 3953.0763288983767}, {'F00181': 11716.421956544324}, {'F00046': 28060.278663026365}, {'F00109': 12835.034762955112}, {'F00070': 42752.69210351793}, {'F00187': 13985.27541136685}]",2108.661344986822,3215.4743569812986,3587.9278257950814,28741.830832689633,0.766952573685679,191612.20555126423,0.15,5000.0,0.1,0
100,34,103.76,10299.972676857182,False,"[{'F00113': 370.8433814020073}, {'F00137': 12388.842095421604}, {'F00011': 3587.082572850298}, {'F00116': 8850.354695153705}, {'F00225': 11342.391071001026}, {'F00119': 4675.064182087781}, {'F00061': 3234.651135229529}, {'F00105': 3083.311830765316}, {'F00029': 2417.9580756833952}, {'F00032': 4049.24755161055}, {'F00181': 11904.403153013687}, {'F00046': 28183.45268704478}, {'F00109': 12885.94757035705}, {'F00070': 42740.03804015402}, {'F00187': 14132.883903305436}, {'F00030': 18848.208402264263}, {'F00133': 4031.694332796773}, {'F00019': 11615.459813238713}, {'F00115': 9524.413634287852}, {'F00080': 5063.344765706911}, {'F00202': 21474.279084147704}, {'F00102': 9488.661365610944}, {'F00171': 18448.13712954244}, {'F00223': 910.2477335147728}, {'F00097': 32490.879248343477}, {'F00057': 2318.0534708895743}, {'F00110': 3211.4075041813207}, {'F00214': 18943.79608209447}, {'F00142': 126.0022161926969}, {'F00160': -1041.6846719468742}, {'F00237': 8391.880583898983}, {'F00201': 1668.103944977374}, {'F00066': 8628.535824625596}, {'F00174': 12211.178603696977}]",2352.072110930121,3678.885355820596,3697.1834286992903,61799.836061143076,0.808797130560717,411998.9070742872,0.15,5000.0,0.1,0
150,52,150.78,8873.313866182896,False,"[{'F00113': 373.21193325581305}, {'F00137': 12325.399720279001}, {'F00011': 3548.889605683094}, {'F00116': 8911.281621183118}, {'F00225': 11391.814248124452}, {'F00119': 4663.740043560552}, {'F00061': 3218.962554220564}, {'F00105': 3111.200129373667}, {'F00029': 2405.22286822081}, {'F00032': 4001.285706104295}, {'F00181': 11872.202223206752}, {'F00046': 28220.955056363324}, {'F00109': 12795.594185298225}, {'F00070': 42748.30163064552}, {'F00187': 14113.70374087958}, {'F00030': 18715.639884620545}, {'F00133': 4208.103636934092}, {'F00019': 11709.66914602513}, {'F00115': 9552.403931478588}, {'F00080': 5064.584489454206}, {'F00202': 21410.034216321867}, {'F00102': 9587.09910013213}, {'F00171': 18519.27172281615}, {'F00223': 855.8308402193928}, {'F00097': 32697.335633608964}, {'F00057': 2326.4996999516547}, {'F00110': 3256.6852436938393}, {'F00214': 19018.581760319586}, {'F00142': 67.0193227769422}, {'F00160': -1047.4636305895515}, {'F00237': 8389.042491437749}, {'F00201': 1632.979553066481}, {'F00066': 8591.526163467175}, {'F00174': 12145.060696709908}, {'F00213': 8684.13926292006}, {'F00043': 6746.10469112692}, {'F00010': 1187.1111144188308}, {'F00112': 7000.630261152084}, {'F00125': 18129.721246489487}, {'F00157': 22386.76314688171}, {'F00126': 3714.286632598133}, {'F00241': 14217.877181873168}, {'F00121': -706.5075708353744}, {'F00118': 2403.552124626584}, {'F00023': 2034.2324905814457}, {'F00149': 3851.2451457476436}, {'F00025': 4639.735751153634}, {'F00120': 20.291700596037966}, {'F00235': 15405.677708780951}, {'F00186': -528.5372011125728}, {'F00076': 2520.5824326299016}, {'F00141': -696.2542469616149}]",2275.1947886733124,3295.97193873127,3272.261037362244,81425.70371320775,0.7362432565226648,542838.0247547184,0.15,5000.0,0.1,0
10,4,13.549999999999999,10287.295000000004,False,"[{'F00102': -695.6143930295059}, {'F00201': 443.91783780622177}, {'F00011': 656.687755407738}, {'F00137': 40744.18879981556}]",676.9976859873588,-40.14299126368168,6457.082218671246,7261.62,0.7056844486685365,48410.8,0.15,5000.0,0.1,1
25,9,26.34,8550.46481481481,False,"[{'F00102': -1289.600394434193}, {'F00201': 513.211703494974}, {'F00011': 821.7052692580442}, {'F00137': 43149.04575701587}, {'F00130': 11707.549060987802}, {'F00068': 7325.963063603026}, {'F00079': -1099.5524272977632}, {'F00198': -3936.6190972863096}, {'F00236': 19762.480397991843}]",1869.5267654014076,1645.573288484263,6838.200595406635,13580.149999999996,0.6688625276124381,90534.33333333331,0.15,5000.0,0.1,1
50,15,59.28999999999999,15305.723647904966,False,"[{'F00102': -1465.9555492840027}, {'F00201': 537.0788434361152}, {'F00011': 797.7115625810872}, {'F00137': 43760.313774227274}, {'F00130': 12513.510206558465}, {'F00068': 8272.651269429416}, {'F00079': -1391.697351490775}, {'F00198': -4497.461401577753}, {'F00236': 20247.97031647995}, {'F00042': 2940.750173641906}, {'F00211': 42479.80111856796}, {'F00150': 2815.881226279149}, {'F00246': 17389.927755253255}, {'F00202': 13724.262188311715}, {'F00095': 71461.11058616075}]",1658.6786272149116,2136.888206921454,5665.085514450353,40515.15083268964,0.9353208188388948,270101.0055512643,0.15,5000.0,0.1,1
100,29,100.08999999999997,13757.318096991292,False,"[{'F00102': -1669.323283030713}, {'F00201': 425.6574882086744}, {'F00011': 770.7581892236403}, {'F00137': 44019.226664431386}, {'F00130': 12890.123452626205}, {'F00068': 8355.729539217853}, {'F00079': -1540.2235961163578}, {'F00198': -4849.027448494878}, {'F00236': 20661.656626616335}, {'F00042': 3062.123435054423}, {'F00211': 42981.232150638745}, {'F00150': 2997.5201491612415}, {'F00246': 17344.095335352962}, {'F00202': 13972.432696597327}, {'F00095': 71564.42099482351}, {'F00056': 6958.848819902964}, {'F00221': 17328.663268513283}, {'F00089': 6416.117863417752}, {'F00131': 12156.313353986365}, {'F00164': 1969.612330003568}, {'F00216': 11575.195023541}, {'F00226': 34215.15598349714}, {'F00046': 20713.33851138628}, {'F00138': 4251.952492626318}, {'F00129': 1098.6520551797864}, {'F00098': 4869.184446938402}, {'F00153': 12166.042159181601}, {'F00250': 4334.808848836066}, {'F00081': 29921.937261426567}]",2787.32643858919,2664.1552924221783,5367.8361681501765,70405.0984963672,0.9495698526460982,469367.32330911467,0.15,5000.0,0.1,1
150,44,150.29999999999995,13521.433372563002,False,"[{'F00102': -1691.1294234808936}, {'F00201': 471.0396660700269}, {'F00011': 747.9238426093724}, {'F00137': 44013.14631810351}, {'F00130': 12992.951553079467}, {'F00068': 8358.433276339576}, {'F00079': -1563.8435031690806}, {'F00198': -4876.687127297335}, {'F00236': 20520.441639212426}, {'F00042': 3004.952680243768}, {'F00211': 42935.32093909706}, {'F00150': 2864.185867772143}, {'F00246': 17501.286883901907}, {'F00202': 13981.431163942958}, {'F00095': 71741.45057415521}, {'F00056': 7004.372579523179}, {'F00221': 17344.86086791657}, {'F00089': 6490.587150735676}, {'F00131': 12218.14425605952}, {'F00164': 2022.198564236677}, {'F00216': 11470.62890289892}, {'F00226': 34317.45944945331}, {'F00046': 20841.80381705291}, {'F00138': 4121.333832200861}, {'F00129': 1056.9577816869705}, {'F00098': 4802.995784709896}, {'F00153': 12267.081626431582}, {'F00250': 4547.110157702106}, {'F00081': 29974.286289438744}, {'F00103': 10397.769970916892}, {'F00183': 848.0595672369539}, {'F00225': 39812.57437176755}, {'F00134': 28184.623250390374}, {'F00091': 26890.136570293675}, {'F00189': 9745.095095077886}, {'F00055': 22285.40330494008}, {'F00030': 3964.8487934368895}, {'F00162': 2510.7715205212126}, {'F00177': 3954.9331130146606}, {'F00165': 6331.547629527024}, {'F00073': 16211.676298776807}, {'F00001': 9211.160123243337}, {'F00070': 12360.864827708638}, {'F00002': 2752.87854529315}]",3106.04128807988,3226.4036528932215,4838.388040217009,104989.95324578331,0.9411256697800588,699933.0216385555,0.15,5000.0,0.1,1
