area_threshold,num_farmers,actual_area,avg_shapley,core_stable,farmer_shapley_values,avg_payoff_per_acre_small,avg_payoff_per_acre_medium,avg_payoff_per_acre_large,aggregator_profit,roi,total_project_profit,commission,mrv_fixed,mrv_var,run_id
5,11,5.61,1129.560616867682,False,"[{'F00223': 822.0316427387837}, {'F00142': 142.58568972067832}, {'F00067': 1241.8083042478233}, {'F00010': 999.5798276121504}, {'F00087': 1100.707240917746}, {'F00118': 2137.440286645063}, {'F00160': -760.6216290224465}, {'F00061': 2791.0836456952406}, {'F00076': 2234.675735999328}, {'F00023': 1627.1596861928497}, {'F00120': 88.71635479728482}]",2214.8247389562393,0.0,0.0,2192.6764915666763,0.5008141972065037,14617.843277111177,0.15,5000.0,0.1,0
10,16,10.700000000000001,1498.5287500000006,False,"[{'F00223': 815.412027153098}, {'F00142': 122.06062080065844}, {'F00067': 1347.3729055540125}, {'F00010': 1145.602795578111}, {'F00087': 1170.556787971755}, {'F00118': 2230.103734739848}, {'F00160': -840.4989145249176}, {'F00061': 2924.3768770379484}, {'F00076': 2468.3801327000965}, {'F00023': 1810.239634465848}, {'F00120': 59.34254849652993}, {'F00168': 2909.0721896513674}, {'F00020': 2085.2727329587797}, {'F00011': 3322.5265337172277}, {'F00121': -566.4328371293301}, {'F00110': 2973.0722308289774}]",2240.7906542056085,0.0,0.0,4231.14,0.5657769112892227,28207.600000000006,0.15,5000.0,0.1,0
25,27,26.23,1753.5987821721492,False,"[{'F00223': 867.9110260057023}, {'F00142': 94.89505973431883}, {'F00067': 1297.2389010791217}, {'F00010': 1141.7233696795995}, {'F00087': 1231.5894550993692}, {'F00118': 2343.304103021948}, {'F00160': -997.8029916285075}, {'F00061': 3115.7367591702996}, {'F00076': 2385.885451610882}, {'F00023': 1938.3864957836047}, {'F00120': 41.38761324184159}, {'F00168': 2995.656153045189}, {'F00020': 2192.5404571339045}, {'F00011': 3315.025028842102}, {'F00121': -621.4953605867522}, {'F00110': 3105.3305642208975}, {'F00177': 6153.144598813553}, {'F00083': 5527.666421834223}, {'F00220': 681.4370166260247}, {'F00155': -1527.571891757378}, {'F00057': 2236.9507256619677}, {'F00149': 3769.7535986372923}, {'F00141': -617.637509663085}, {'F00017': -1742.5521610308324}, {'F00173': 2662.2927553212376}, {'F00198': 2174.6512351297806}, {'F00178': 3581.7202436217312}]",1805.0769012065587,0.0,0.0,8355.382432702592,0.4339237206100907,55702.54955135062,0.15,5000.0,0.1,0
50,40,51.35999999999999,2454.8516499303555,False,"[{'F00223': 837.7437825203418}, {'F00142': 69.33462720552842}, {'F00067': 1411.8824089432194}, {'F00010': 1156.081906448903}, {'F00087': 1260.3944891893732}, {'F00118': 2384.548685008032}, {'F00160': -1021.5644594112341}, {'F00061': 3132.7788158213543}, {'F00076': 2515.1589840790384}, {'F00023': 1970.7978277980503}, {'F00120': 31.60785083019534}, {'F00168': 3093.518097381269}, {'F00020': 2143.3728262270624}, {'F00011': 3407.106331326587}, {'F00121': -696.5572468210687}, {'F00110': 3217.2230101384903}, {'F00177': 6240.456727309997}, {'F00083': 5662.3697396909865}, {'F00220': 718.2969145790427}, {'F00155': -1613.4928916443491}, {'F00057': 2247.1558806477105}, {'F00149': 3887.793154529522}, {'F00141': -689.0598866417088}, {'F00017': -1753.0548194854002}, {'F00173': 2759.3693716150133}, {'F00198': 2153.659956861708}, {'F00178': 3598.6065961166105}, {'F00039': 3004.1979783680845}, {'F00201': 1664.3673621966914}, {'F00232': 6584.11671759029}, {'F00007': -235.0089679080681}, {'F00029': 2326.3674986198557}, {'F00238': 3141.2788775625872}, {'F00032': 3963.6365914670732}, {'F00133': 4159.430238835811}, {'F00113': 351.4540592987674}, {'F00182': 12049.569299179937}, {'F00169': 4187.311179646232}, {'F00234': 331.4564460509129}, {'F00213': 8540.360036041768}]",1911.8782320329872,0.0,0.0,17328.364587743683,0.47142859184738606,115522.43058495788,0.15,5000.0,0.1,0
75,50,76.29,3401.6743847198286,False,"[{'F00223': 877.7945166247747}, {'F00142': 61.796727286402174}, {'F00067': 1410.5951835115586}, {'F00010': 1184.0270553350697}, {'F00087': 1293.560697168094}, {'F00118': 2471.797525102295}, {'F00160': -1055.80994091307}, {'F00061': 3153.629315538507}, {'F00076': 2583.679007654358}, {'F00023': 1990.330994140034}, {'F00120': 0.005587583508319654}, {'F00168': 3102.2227081766255}, {'F00020': 2201.1885860511557}, {'F00011': 3448.0211730168826}, {'F00121': -725.5493070729245}, {'F00110': 3236.3724901087317}, {'F00177': 6323.383264909507}, {'F00083': 5659.34429871519}, {'F00220': 725.4553110522004}, {'F00155': -1684.9213828131417}, {'F00057': 2246.4199376289425}, {'F00149': 3869.97508172725}, {'F00141': -700.9365297688565}, {'F00017': -1832.8300794508866}, {'F00173': 2804.373903628414}, {'F00198': 2206.6036096204875}, {'F00178': 3581.796451477817}, {'F00039': 3043.653902384831}, {'F00201': 1654.5663204129116}, {'F00232': 6683.851585553112}, {'F00007': -256.6293992859679}, {'F00029': 2405.74828346625}, {'F00238': 3202.3994976333365}, {'F00032': 4031.136440015155}, {'F00133': 4107.967972095777}, {'F00113': 345.5249877570802}, {'F00182': 12038.038922596035}, {'F00169': 4195.1060153927065}, {'F00234': 334.78529013752967}, {'F00213': 8689.818938694982}, {'F00105': 3071.556144055345}, {'F00116': 8811.350846843567}, {'F00066': 8571.749782587953}, {'F00068': 4782.817347710737}, {'F00019': 11608.360443149048}, {'F00186': -524.9006514121372}, {'F00217': 4486.487508756988}, {'F00237': 8382.283836980061}, {'F00069': 16957.087499226705}, {'F00080': 5028.6315352004785}]",2142.9223284489235,2652.9822046949066,0.0,30014.773982822015,0.5547727575874158,200098.49321881344,0.15,5000.0,0.1,0
100,59,103.08000000000001,4375.063171666638,False,"[{'F00223': 852.655246197361}, {'F00142': 67.57213601225592}, {'F00067': 1396.6855384491128}, {'F00010': 1168.1864438179648}, {'F00087': 1276.9594074715535}, {'F00118': 2423.9740118891846}, {'F00160': -1062.423273460612}, {'F00061': 3178.044486422535}, {'F00076': 2572.959370395591}, {'F00023': 2023.6473434973286}, {'F00120': -0.24094918413745517}, {'F00168': 3018.685634136344}, {'F00020': 2178.313875144365}, {'F00011': 3482.297161978619}, {'F00121': -733.9756071899653}, {'F00110': 3188.6413451951476}, {'F00177': 6334.177591923785}, {'F00083': 5649.204322724054}, {'F00220': 715.3207538157943}, {'F00155': -1680.0102453332622}, {'F00057': 2291.061178839847}, {'F00149': 3883.2978627415923}, {'F00141': -695.6765231443642}, {'F00017': -1821.6781817238066}, {'F00173': 2810.4994748950135}, {'F00198': 2237.911892757201}, {'F00178': 3606.9829397294043}, {'F00039': 3046.347594041441}, {'F00201': 1641.2199902172435}, {'F00232': 6624.122662052455}, {'F00007': -247.5913954052303}, {'F00029': 2379.1391077895096}, {'F00238': 3250.1911696028}, {'F00032': 4032.815861678743}, {'F00133': 4167.829187042609}, {'F00113': 346.81919887805526}, {'F00182': 12087.20444294877}, {'F00169': 4188.610663688186}, {'F00234': 339.1729599443343}, {'F00213': 8597.774391552135}, {'F00105': 3077.2633012549013}, {'F00116': 8824.452864974413}, {'F00066': 8674.382225177975}, {'F00068': 4817.895798537187}, {'F00019': 11708.415672235142}, {'F00186': -539.9602593698503}, {'F00217': 4499.29864788608}, {'F00237': 8425.852531027458}, {'F00069': 16932.88641853758}, {'F00080': 5016.145650241101}, {'F00016': 7093.770577037899}, {'F00026': 15789.424024259313}, {'F00143': 3694.83198826253}, {'F00119': 4606.129325692394}, {'F00094': -4569.351778034938}, {'F00202': 21492.32909570979}, {'F00171': 18488.36099924346}, {'F00187': 14067.964796170118}, {'F00031': 7211.906177460117}]",2145.527054999346,3076.0027232349116,0.0,45552.12831676441,0.6197301051589016,303680.85544509604,0.15,5000.0,0.1,0
200,84,200.88,7219.3500831339115,False,"[{'F00223': 862.0559896254808}, {'F00142': 50.61882460809306}, {'F00067': 1429.1186958491971}, {'F00010': 1186.875672613957}, {'F00087': 1293.1091656613619}, {'F00118': 2461.548111573178}, {'F00160': -1066.8578312454422}, {'F00061': 3181.2277687856586}, {'F00076': 2581.9057073029862}, {'F00023': 2008.8952423274582}, {'F00120': -11.239846609660187}, {'F00168': 3164.9841401198423}, {'F00020': 2212.1060026333666}, {'F00011': 3512.0968681038626}, {'F00121': -731.8848529862026}, {'F00110': 3214.199221765791}, {'F00177': 6343.32169581671}, {'F00083': 5770.970361582819}, {'F00220': 731.3630164787988}, {'F00155': -1704.4990940692462}, {'F00057': 2309.969322820976}, {'F00149': 3871.409569714086}, {'F00141': -724.9498445136228}, {'F00017': -1887.7961298489975}, {'F00173': 2777.2518755436754}, {'F00198': 2255.821440389553}, {'F00178': 3689.9098578149396}, {'F00039': 3095.051573449634}, {'F00201': 1648.039770113001}, {'F00232': 6648.405451761754}, {'F00007': -266.5163007933232}, {'F00029': 2399.0855445774264}, {'F00238': 3275.862431257048}, {'F00032': 4036.769519909014}, {'F00133': 4249.024054010666}, {'F00113': 323.88068227658124}, {'F00182': 12134.117546595451}, {'F00169': 4185.409019559389}, {'F00234': 330.9863095708334}, {'F00213': 8728.929252597272}, {'F00105': 3134.9510702109637}, {'F00116': 8896.105094071638}, {'F00066': 8578.680627934062}, {'F00068': 4923.943911200484}, {'F00019': 11762.613225323115}, {'F00186': -563.3262751112383}, {'F00217': 4429.839596465241}, {'F00237': 8408.863930643118}, {'F00069': 17020.92420903906}, {'F00080': 5025.507274695121}, {'F00016': 7092.550199416445}, {'F00026': 15805.901855918612}, {'F00143': 3770.2761838347756}, {'F00119': 4623.450414382059}, {'F00094': -4629.899852027182}, {'F00202': 21475.0424417993}, {'F00171': 18534.669422721072}, {'F00187': 14174.335036608143}, {'F00031': 7141.188255440821}, {'F00225': 11417.78825658623}, {'F00043': 6729.102812353724}, {'F00214': 19087.081606358468}, {'F00197': 7863.796233491561}, {'F00102': 9520.424526239827}, {'F00098': 13106.844316917444}, {'F00115': 9531.11485972494}, {'F00112': 7099.807127853715}, {'F00218': 8934.597067470024}, {'F00241': 14325.27378297821}, {'F00127': 9281.703130356469}, {'F00181': 11750.299278112405}, {'F00034': 18792.731344142536}, {'F00239': 8969.491001168633}, {'F00109': 12834.03061871709}, {'F00248': 24807.47596571662}, {'F00025': 4622.140725888424}, {'F00074': 10507.28484570347}, {'F00006': 20454.43173148398}, {'F00157': 22329.688629741977}, {'F00085': 17855.717944676395}, {'F00174': 12227.791297040423}, {'F00147': 14137.943847267865}, {'F00036': 25095.887089580778}, {'F00056': 25966.766514368428}]",2160.487288642204,3414.226257891114,0.0,107016.24829116151,0.7559515755797064,713441.65527441,0.15,5000.0,0.1,0
400,100,312.62,9432.708399999996,False,"[{'F00223': 850.480952734837}, {'F00142': 47.34012279182318}, {'F00067': 1404.5292184180603}, {'F00010': 1184.0463603122478}, {'F00087': 1310.4117665775705}, {'F00118': 2503.9455870828497}, {'F00160': -1099.9572853631716}, {'F00061': 3176.3505549497113}, {'F00076': 2529.758598051591}, {'F00023': 2010.1459701020622}, {'F00120': -32.5339686266219}, {'F00168': 3145.3234709140133}, {'F00020': 2221.427142559654}, {'F00011': 3520.0535924645865}, {'F00121': -762.7298998271715}, {'F00110': 3265.310546888335}, {'F00177': 6350.959927235593}, {'F00083': 5661.504097157209}, {'F00220': 723.37643664544}, {'F00155': -1747.4200809038014}, {'F00057': 2296.0515765261935}, {'F00149': 3873.9413434292487}, {'F00141': -750.2368978052577}, {'F00017': -1880.8984357112454}, {'F00173': 2788.735133315638}, {'F00198': 2259.7233262460295}, {'F00178': 3659.6969932906654}, {'F00039': 3012.570218400234}, {'F00201': 1676.6850690164047}, {'F00232': 6707.08960022029}, {'F00007': -276.4500219895639}, {'F00029': 2414.392491544595}, {'F00238': 3241.7152419659715}, {'F00032': 4064.491401637588}, {'F00133': 4198.019567780146}, {'F00113': 337.2998930248348}, {'F00182': 12064.351980722719}, {'F00169': 4236.324738671663}, {'F00234': 318.1629901754483}, {'F00213': 8664.789032270672}, {'F00105': 3120.1228793106484}, {'F00116': 8931.378655815271}, {'F00066': 8626.523196691594}, {'F00068': 4965.384839824992}, {'F00019': 11743.560327153415}, {'F00186': -551.9062839019157}, {'F00217': 4483.166028342182}, {'F00237': 8462.631836788865}, {'F00069': 17040.024012318005}, {'F00080': 5073.045936262165}, {'F00016': 7152.611753862368}, {'F00026': 15792.196911391595}, {'F00143': 3765.0986745036917}, {'F00119': 4595.572113524364}, {'F00094': -4650.340134228953}, {'F00202': 21416.31995799928}, {'F00171': 18509.39853714509}, {'F00187': 14184.398665105748}, {'F00031': 7196.614876389881}, {'F00225': 11517.222947607474}, {'F00043': 6760.826322795259}, {'F00214': 19100.125764853823}, {'F00197': 7872.463479930844}, {'F00102': 9548.919875591999}, {'F00098': 13038.885499318922}, {'F00115': 9564.073272388003}, {'F00112': 7044.7210372047775}, {'F00218': 9069.63279197115}, {'F00241': 14239.687209939517}, {'F00127': 9293.46435691407}, {'F00181': 11843.656257522644}, {'F00034': 18948.112228429403}, {'F00239': 8962.60278613957}, {'F00109': 12864.709189612953}, {'F00248': 24793.143948520512}, {'F00025': 4635.55525218745}, {'F00074': 10492.189336785961}, {'F00006': 20447.892878162398}, {'F00157': 22433.755814605232}, {'F00085': 17859.463705258244}, {'F00174': 12184.492080161566}, {'F00147': 14143.455868824352}, {'F00036': 25176.01107147938}, {'F00056': 25977.96778868126}, {'F00195': 23278.37623610067}, {'F00126': 3630.421633308937}, {'F00030': 18788.88165677755}, {'F00125': 18186.17156534053}, {'F00137': 12333.529100545915}, {'F00235': 15386.560918495481}, {'F00185': 17988.25876289523}, {'F00013': 17743.47356936026}, {'F00046': 28219.5665929547}, {'F00159': 6733.131086883921}, {'F00230': 15034.840408767304}, {'F00097': 32670.47299471007}, {'F00226': 33219.6810977396}, {'F00246': 18906.40246514175}, {'F00219': 31510.825441902984}, {'F00070': 42802.6345669924}]",2155.5761365697394,3465.2828750016834,2931.0637575984338,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
500,100,312.62,9432.708399999996,False,"[{'F00223': 863.257819715598}, {'F00142': 44.88810595475596}, {'F00067': 1400.3628900030062}, {'F00010': 1194.9330799785876}, {'F00087': 1291.1323111371212}, {'F00118': 2474.207809046564}, {'F00160': -1100.9753276250883}, {'F00061': 3207.199260579216}, {'F00076': 2555.2044462910817}, {'F00023': 1950.2464618785525}, {'F00120': -16.31606669838055}, {'F00168': 3123.3427359145735}, {'F00020': 2233.419337334639}, {'F00011': 3473.4789728270985}, {'F00121': -763.609063044125}, {'F00110': 3225.5575066407}, {'F00177': 6384.444349703686}, {'F00083': 5744.976742599225}, {'F00220': 704.5063666124573}, {'F00155': -1758.5107386962377}, {'F00057': 2268.4186909282344}, {'F00149': 3880.193721081057}, {'F00141': -737.6138890286294}, {'F00017': -1896.46483673669}, {'F00173': 2789.027686026426}, {'F00198': 2256.4499490333624}, {'F00178': 3660.997608300723}, {'F00039': 3047.3089314897497}, {'F00201': 1678.8641686716437}, {'F00232': 6696.500358231016}, {'F00007': -260.45392755676966}, {'F00029': 2376.548806598002}, {'F00238': 3210.2169311455336}, {'F00032': 3997.115877518906}, {'F00133': 4212.813084384174}, {'F00113': 334.2360169152828}, {'F00182': 12165.949324798908}, {'F00169': 4239.537242888293}, {'F00234': 318.0119384719703}, {'F00213': 8692.985435771554}, {'F00105': 3121.1914556836728}, {'F00116': 8897.324394364856}, {'F00066': 8580.907933123526}, {'F00068': 4984.096443292975}, {'F00019': 11757.80222784313}, {'F00186': -559.3097866240767}, {'F00217': 4507.779959219569}, {'F00237': 8416.330626455385}, {'F00069': 17064.24650769143}, {'F00080': 5063.861089167372}, {'F00016': 7099.949734571546}, {'F00026': 15860.793695783603}, {'F00143': 3748.898491839096}, {'F00119': 4634.6397326844335}, {'F00094': -4592.961401702577}, {'F00202': 21509.813232037974}, {'F00171': 18478.311965221088}, {'F00187': 14169.363460612378}, {'F00031': 7125.795903478741}, {'F00225': 11362.259021824668}, {'F00043': 6805.029985257928}, {'F00214': 19090.820956744603}, {'F00197': 7865.004536817874}, {'F00102': 9515.852284743542}, {'F00098': 13097.49978415983}, {'F00115': 9514.592352159338}, {'F00112': 7079.240859202324}, {'F00218': 9045.138503053957}, {'F00241': 14295.72937801343}, {'F00127': 9233.171168588051}, {'F00181': 11839.363004336381}, {'F00034': 18941.277932530324}, {'F00239': 8985.011388756857}, {'F00109': 12861.51789342137}, {'F00248': 24863.195472908526}, {'F00025': 4639.93559889333}, {'F00074': 10530.233025598256}, {'F00006': 20475.92543794053}, {'F00157': 22329.382940427135}, {'F00085': 17873.65495098913}, {'F00174': 12252.040756804778}, {'F00147': 14118.154462790535}, {'F00036': 25141.420065680275}, {'F00056': 25993.402411389343}, {'F00195': 23268.09413326091}, {'F00126': 3696.988111978149}, {'F00030': 18766.09762437461}, {'F00125': 18186.73651574914}, {'F00137': 12328.483012275927}, {'F00235': 15447.622655867117}, {'F00185': 17977.46517291557}, {'F00013': 17721.136302718565}, {'F00046': 28240.469892338515}, {'F00159': 6658.042297354761}, {'F00230': 15036.60137899965}, {'F00097': 32658.583754537125}, {'F00226': 33230.50959912853}, {'F00246': 18926.738486918795}, {'F00219': 31576.0235743359}, {'F00070': 42771.16753038408}]",2154.7547367544425,3465.1720951816974,2931.6984828704276,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
600,100,312.62,9432.708399999994,False,"[{'F00223': 855.5915903229786}, {'F00142': 44.52653197132873}, {'F00067': 1397.6431553084806}, {'F00010': 1179.9229240540865}, {'F00087': 1257.2887184361978}, {'F00118': 2445.4693285319877}, {'F00160': -1073.371015708735}, {'F00061': 3161.1088362313267}, {'F00076': 2563.7362261957446}, {'F00023': 2021.8217078679882}, {'F00120': -20.654470845867472}, {'F00168': 3157.504781421703}, {'F00020': 2209.7906254451555}, {'F00011': 3506.3113987395973}, {'F00121': -750.1805752380113}, {'F00110': 3270.469726139732}, {'F00177': 6400.6812571330365}, {'F00083': 5717.721135942395}, {'F00220': 698.6799369360895}, {'F00155': -1748.2406957797584}, {'F00057': 2315.068964430249}, {'F00149': 3889.829778736972}, {'F00141': -725.359135710236}, {'F00017': -1905.7515526330767}, {'F00173': 2784.1364319216996}, {'F00198': 2243.0053698960837}, {'F00178': 3675.81747547001}, {'F00039': 3061.7377764968323}, {'F00201': 1635.2389900435512}, {'F00232': 6722.35089864313}, {'F00007': -276.0536232346586}, {'F00029': 2391.816162114841}, {'F00238': 3186.2743142873705}, {'F00032': 4048.8345640230646}, {'F00133': 4172.679816715622}, {'F00113': 335.62792999656847}, {'F00182': 12121.544352614868}, {'F00169': 4255.232041220649}, {'F00234': 318.9218390245227}, {'F00213': 8699.695403477506}, {'F00105': 3082.00410549089}, {'F00116': 8838.854718208413}, {'F00066': 8585.984484373468}, {'F00068': 4959.417100948348}, {'F00019': 11761.89405780196}, {'F00186': -563.6575266389564}, {'F00217': 4485.43866331667}, {'F00237': 8383.509833531789}, {'F00069': 16992.690624786443}, {'F00080': 5059.476366043548}, {'F00016': 7089.053670172587}, {'F00026': 15825.678576630515}, {'F00143': 3711.904844347899}, {'F00119': 4634.061811352062}, {'F00094': -4626.895704670441}, {'F00202': 21415.698787887337}, {'F00171': 18508.951364522072}, {'F00187': 14142.646073942673}, {'F00031': 7230.442378951742}, {'F00225': 11459.23439045994}, {'F00043': 6772.177868879917}, {'F00214': 19052.75470307922}, {'F00197': 7900.926069101401}, {'F00102': 9543.586671920037}, {'F00098': 13108.38811389762}, {'F00115': 9487.276943196008}, {'F00112': 7090.5989828878755}, {'F00218': 9098.230599798058}, {'F00241': 14269.003100032314}, {'F00127': 9306.59786869884}, {'F00181': 11864.961884631226}, {'F00034': 18969.233063768297}, {'F00239': 9015.831007149223}, {'F00109': 12863.30884469372}, {'F00248': 24807.589065364515}, {'F00025': 4572.566603187538}, {'F00074': 10477.200983661178}, {'F00006': 20412.30695202582}, {'F00157': 22406.728252642482}, {'F00085': 17859.722629100448}, {'F00174': 12258.338996033199}, {'F00147': 14096.360129729173}, {'F00036': 25152.57661110762}, {'F00056': 25994.80338256045}, {'F00195': 23354.774191645163}, {'F00126': 3627.272725728073}, {'F00030': 18816.072492691324}, {'F00125': 18151.649908216656}, {'F00137': 12383.036785722637}, {'F00235': 15443.539038938014}, {'F00185': 17915.11213362691}, {'F00013': 17769.44717637794}, {'F00046': 28288.589701095992}, {'F00159': 6717.09715343628}, {'F00230': 15035.288156712642}, {'F00097': 32709.091239116107}, {'F00226': 33266.32969566659}, {'F00246': 18883.189532287724}, {'F00219': 31516.947489422448}, {'F00070': 42789.47571006876}]",2154.295554656103,3464.748140654547,2932.5359316651825,166459.5599999999,0.7655817875862277,1109730.3999999994,0.15,5000.0,0.1,0
