coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,6485.495131114961,3242.7475655574854,852.043204508558,5633.451926606413,False
3,9926.692267315637,3308.897422438542,775.8447881838428,7588.544211886615,False
4,14312.89022836414,3578.2225570910305,831.2626683646735,9503.421188162049,False
5,21788.888642786114,4357.777728557219,879.7532628526485,13749.933418204771,False
6,26404.687344645532,4400.781224107591,872.8677482159038,15829.449806124572,False
7,31936.086245235296,4562.2980350336165,946.636947991532,17433.673993967303,False
8,41775.28529151199,5221.910661438998,1002.4284026737608,19515.001923113043,False
9,49630.68444921069,5514.520494356743,1132.2293512171973,19960.009270667855,False
10,57108.08369490539,5710.808369490536,1219.0895500625052,21237.922744276435,False
11,70142.08301186825,6376.553001078928,1233.2029946826642,21845.701059650084,False
12,74294.48238773551,6191.206865644621,1279.6271052088582,21609.644126013998,False
13,76008.08181310928,5846.775524085326,1274.9104746932117,21845.346686938952,False
14,80061.08128067825,5718.648662905592,1276.8662946479571,21985.355266690978,False
15,113129.08078464206,7541.938718976135,1348.9943229996825,29547.753768235147,False
16,117534.88032032136,7345.9300200200805,1374.5653746280407,30130.928316175603,False
17,131012.67988388601,7706.628228463878,1344.6361416748957,30784.161393014594,False
18,136642.07947216142,7591.226637342296,1394.2733012503697,30482.174403285728,False
19,166242.27908248667,8749.593635920344,1462.1885356725738,30974.08997331893,False
20,169533.6787126095,8476.683935630466,1418.680847894034,30895.989682075466,False
21,173330.47836060633,8253.832302886014,1436.6345020206259,31008.16573531985,False
22,175090.27802482148,7958.649001128245,1466.6966978042258,31046.598618375367,False
23,179816.67770381944,7818.116421905189,1497.8269620019978,30882.999012544773,False
24,202810.2773963475,8450.428224847812,1474.5675080524377,31145.59709730256,False
25,214034.07710130603,8561.36308405224,1520.5645035367793,31308.84120852428,False
26,219160.87681772443,8429.264492989403,1511.155129366678,31111.928540809116,False
27,226013.8765447416,8370.88431647191,1479.9812242511553,31715.409792804665,False
28,231451.4762815901,8266.124152913932,1507.6075215605035,31301.426857265702,False
29,236033.67602758322,8139.092276813208,1545.8079584203028,31254.85755693244,False
30,269539.8757821037,8984.66252607012,1558.0971235840977,31985.957110246884,False
31,290014.875544595,9355.31856595468,1526.1127937656968,31969.30555171824,False
32,293234.8753145533,9163.58985357979,1564.7723693343708,32387.610166995993,False
33,329361.87509152124,9980.662881561248,1581.3329777797203,34738.83046028389,False
34,334130.2748750823,9827.361025737717,1568.751144082615,34894.839446996666,False
35,341529.27466485597,9757.979276138745,1566.2299010356842,34370.60794057967,False
36,348380.8744604939,9677.246512791498,1595.1566693768925,34716.514486000044,False
37,351864.0742616763,9509.839844910173,1567.9406189545255,35238.05660513273,False
38,356692.67406810884,9386.649317581812,1566.5378382378449,35285.433851195754,False
39,369100.87387952,9464.124971269743,1577.2408740802268,34653.66962368498,False
40,387106.27369565895,9677.656842391469,1597.0747215674999,35120.34599671505,False
