coalition_size,Farmer_ID,shapley_earning
2,F00075,0.0
2,F00237,0.0
3,F00075,0.0
3,F00237,0.0
3,F00038,0.0
4,F00075,0.0
4,F00237,0.0
4,F00038,0.0
4,F00080,0.0
5,F00075,0.0
5,F00237,0.0
5,F00038,0.0
5,F00080,0.0
5,F00014,0.0
6,F00075,0.0
6,F00237,0.0
6,F00038,0.0
6,F00080,0.0
6,F00014,0.0
6,F00111,0.0
7,F00075,0.0
7,F00237,0.0
7,F00038,0.0
7,F00080,0.0
7,F00014,0.0
7,F00111,0.0
7,F00222,0.0
8,F00075,0.0
8,F00237,0.0
8,F00038,0.0
8,F00080,0.0
8,F00014,0.0
8,F00111,0.0
8,F00222,0.0
8,F00050,0.0
9,F00075,0.0
9,F00237,0.0
9,F00038,0.0
9,F00080,0.0
9,F00014,0.0
9,F00111,0.0
9,F00222,0.0
9,F00050,0.0
9,F00015,0.0
10,F00075,0.0
10,F00237,0.0
10,F00038,0.0
10,F00080,0.0
10,F00014,0.0
10,F00111,0.0
10,F00222,0.0
10,F00050,0.0
10,F00015,0.0
10,F00224,0.0
11,F00075,0.0
11,F00237,0.0
11,F00038,0.0
11,F00080,0.0
11,F00014,0.0
11,F00111,0.0
11,F00222,0.0
11,F00050,0.0
11,F00015,0.0
11,F00224,0.0
11,F00143,0.0
12,F00075,0.0
12,F00237,0.0
12,F00038,0.0
12,F00080,0.0
12,F00014,0.0
12,F00111,0.0
12,F00222,0.0
12,F00050,0.0
12,F00015,0.0
12,F00224,0.0
12,F00143,0.0
12,F00131,0.0
13,F00075,0.0
13,F00237,0.0
13,F00038,0.0
13,F00080,0.0
13,F00014,0.0
13,F00111,0.0
13,F00222,0.0
13,F00050,0.0
13,F00015,0.0
13,F00224,0.0
13,F00143,0.0
13,F00131,0.0
13,F00190,0.0
14,F00075,0.0
14,F00237,0.0
14,F00038,0.0
14,F00080,0.0
14,F00014,0.0
14,F00111,0.0
14,F00222,0.0
14,F00050,0.0
14,F00015,0.0
14,F00224,0.0
14,F00143,0.0
14,F00131,0.0
14,F00190,0.0
14,F00045,0.0
15,F00075,0.0
15,F00237,0.0
15,F00038,0.0
15,F00080,0.0
15,F00014,0.0
15,F00111,0.0
15,F00222,0.0
15,F00050,0.0
15,F00015,0.0
15,F00224,0.0
15,F00143,0.0
15,F00131,0.0
15,F00190,0.0
15,F00045,0.0
15,F00096,0.0
16,F00075,66.54804824233781
16,F00237,120.55442906590741
16,F00038,73.85784088566648
16,F00080,78.23304328531354
16,F00014,69.97883359815131
16,F00111,119.80356009645216
16,F00222,15.81308275537419
16,F00050,113.52818806508596
16,F00015,129.26585947234378
16,F00224,121.21958749395048
16,F00143,107.47636163374237
16,F00131,113.85892106715129
16,F00190,132.7155485244948
16,F00045,44.36982563655286
16,F00096,94.16196514275848
16,F00101,114.09522535605961
17,F00075,144.45341662251369
17,F00237,266.20909573481487
17,F00038,151.88193196095747
17,F00080,182.914053090174
17,F00014,132.408664640702
17,F00111,268.37987475147673
17,F00222,29.9085997262837
17,F00050,258.1974883363377
17,F00015,287.2278463634114
17,F00224,271.9139263610531
17,F00143,309.8323897862744
17,F00131,249.78560184053737
17,F00190,402.310801431222
17,F00045,82.52599862882565
17,F00096,198.0669710912596
17,F00101,371.7349371909172
17,F00024,356.3282863292067
18,F00075,177.86371793631415
18,F00237,341.688022104812
18,F00038,190.9051095236776
18,F00080,233.60568618556186
18,F00014,170.06426021043967
18,F00111,340.7299087370994
18,F00222,35.8284054911952
18,F00050,325.8019174580862
18,F00015,352.45398118488816
18,F00224,336.7013045147743
18,F00143,354.8844443246493
18,F00131,333.8970846462042
18,F00190,508.59450226262163
18,F00045,108.85498503661626
18,F00096,258.3532253285089
18,F00101,478.008613106592
18,F00024,471.15697650190106
18,F00124,277.48732760741933
19,F00075,214.4670549308938
19,F00237,442.02259216725054
19,F00038,225.84866500526093
19,F00080,286.5178652148241
19,F00014,216.84328365254197
19,F00111,433.02098536865833
19,F00222,42.93385761463137
19,F00050,393.1866976242963
19,F00015,460.54176625524275
19,F00224,412.98915174830336
19,F00143,421.05949107028397
19,F00131,388.87144781405425
19,F00190,697.4185905443924
19,F00045,123.9386728770902
19,F00096,289.79083610194573
19,F00101,622.4772096026508
19,F00024,601.9611441893287
19,F00124,337.4115813565712
19,F00020,445.3781893484205
20,F00075,243.67721300670652
20,F00237,494.46214572739433
20,F00038,264.9863221046822
20,F00080,307.68994702326745
20,F00014,239.08643293849258
20,F00111,503.5177213487685
20,F00222,50.04722002333115
20,F00050,442.69394710666666
20,F00015,521.1375369126586
20,F00224,495.6437367620835
20,F00143,507.40751253422405
20,F00131,471.03682180932657
20,F00190,794.1200271936829
20,F00045,143.12583255614808
20,F00096,338.50683403691016
20,F00101,703.7029342881966
20,F00024,689.8837797988995
20,F00124,393.39924487229945
20,F00020,513.5334534684425
20,F00205,451.02004909728237
21,F00075,296.4217382031157
21,F00237,631.4893804578179
21,F00038,325.57686791037264
21,F00080,401.8518698458795
21,F00014,305.7373316455046
21,F00111,632.7260051642395
21,F00222,59.80483950061953
21,F00050,582.5286217215953
21,F00015,704.9442506923676
21,F00224,624.3926971484166
21,F00143,657.0937847802445
21,F00131,600.8261982343911
21,F00190,997.2509091983906
21,F00045,179.36228422916994
21,F00096,428.61169290424726
21,F00101,875.8834822892577
21,F00024,884.4808454606848
21,F00124,488.4831216928968
21,F00020,654.1910715275276
21,F00205,560.9074902599561
21,F00039,1296.513877739626
22,F00075,348.47832505599075
22,F00237,689.6195956746632
22,F00038,356.849756473916
22,F00080,439.9436755328486
22,F00014,331.6391324918022
22,F00111,707.747114469457
22,F00222,67.77209183478448
22,F00050,648.4753907137322
22,F00015,767.0043007275855
22,F00224,669.1374960031917
22,F00143,727.0914591968269
22,F00131,666.1726104582485
22,F00190,1123.806199874579
22,F00045,195.1381937375494
22,F00096,482.60761652006096
22,F00101,1035.7440573792667
22,F00024,1004.3993520060901
22,F00124,544.5808158742674
22,F00020,694.2610280372296
22,F00205,603.6394598922137
22,F00039,1460.4872597581248
22,F00148,926.0830931090435
23,F00075,374.67708774536686
23,F00237,766.4907736032075
23,F00038,394.8238788188781
23,F00080,492.0153217357443
23,F00014,383.9519215218156
23,F00111,771.75020104137
23,F00222,73.91776313449898
23,F00050,704.8877375844003
23,F00015,845.7894482434316
23,F00224,748.899467327589
23,F00143,774.3731886207449
23,F00131,720.2876017242115
23,F00190,1246.0449779794774
23,F00045,220.19860747899548
23,F00096,520.5502532923388
23,F00101,1126.435833783116
23,F00024,1124.2638979667906
23,F00124,589.3652051289268
23,F00020,819.3169754980322
23,F00205,695.6539188414133
23,F00039,1693.6804972570642
23,F00148,1037.1468866863636
23,F00194,1387.35625880566
24,F00075,390.50088359789686
24,F00237,837.3978862793106
24,F00038,427.15579908940754
24,F00080,526.1122732608032
24,F00014,393.3346497622666
24,F00111,805.4293925592582
24,F00222,79.67738172687187
24,F00050,754.0219371852444
24,F00015,913.1002102560187
24,F00224,802.5038713062793
24,F00143,824.0042872550072
24,F00131,788.9522974942453
24,F00190,1343.4850712413036
24,F00045,232.62948772087893
24,F00096,564.071045500723
24,F00101,1236.6898044634331
24,F00024,1191.2185002182136
24,F00124,652.5040582466291
24,F00020,829.5834598639577
24,F00205,755.4547597574525
24,F00039,1734.424985065025
24,F00148,1132.3133173974559
24,F00194,1500.030329205126
24,F00036,1114.2817078947362
25,F00075,419.5064505838616
25,F00237,870.8428595640949
25,F00038,439.3928034433901
25,F00080,536.2204980719473
25,F00014,421.8969940260606
25,F00111,871.3414709694929
25,F00222,82.77876480950248
25,F00050,783.3440770692978
25,F00015,963.7864999600624
25,F00224,816.8403021233839
25,F00143,858.963635545226
25,F00131,819.1439170552011
25,F00190,1445.1578656010308
25,F00045,246.57210090564521
25,F00096,573.4995170146547
25,F00101,1300.5010919627327
25,F00024,1249.0019131145839
25,F00124,682.9670182447868
25,F00020,891.4486466972371
25,F00205,753.6881007606942
25,F00039,1833.6507713549975
25,F00148,1220.131770590338
25,F00194,1520.9500551470962
25,F00036,1185.2509387947548
25,F00147,1008.9990378960277
26,F00075,455.05962730837865
26,F00237,936.3005266836698
26,F00038,465.1318353989901
26,F00080,591.909925977062
26,F00014,446.2512045635375
26,F00111,917.1034970137993
26,F00222,87.52030903549935
26,F00050,855.0421890594123
26,F00015,1015.5492872063592
26,F00224,897.0415819922368
26,F00143,911.5961936370419
26,F00131,882.8309604038329
26,F00190,1525.1408888159924
26,F00045,261.68842304846027
26,F00096,627.1686703011505
26,F00101,1342.2212672323803
26,F00024,1352.2513162654334
26,F00124,718.385596668946
26,F00020,953.0324792576251
26,F00205,837.0804785760143
26,F00039,1946.0383023323118
26,F00148,1259.319069782892
26,F00194,1634.8199311264896
26,F00036,1259.1266848272412
26,F00147,1076.6904345060152
26,F00140,1841.3761367037102
27,F00075,466.8003816204007
27,F00237,978.421639191065
27,F00038,497.45647503813365
27,F00080,615.94367312506
27,F00014,468.5897469048461
27,F00111,956.2621152797021
27,F00222,92.35506237435384
27,F00050,886.094952765334
27,F00015,1053.5797896762363
27,F00224,974.7269771320422
27,F00143,995.2203211065231
27,F00131,921.8924319230773
27,F00190,1566.9772411052454
27,F00045,273.0256819546858
27,F00096,658.7069569814059
27,F00101,1463.5808857292898
27,F00024,1394.0991394019925
27,F00124,739.7640572754416
27,F00020,992.9649560480264
27,F00205,861.4194561176963
27,F00039,2106.341558236999
27,F00148,1302.8877819145805
27,F00194,1743.2056414561087
27,F00036,1340.3994015953995
27,F00147,1105.3694627786679
27,F00140,1887.1647259635397
27,F00245,1720.4260320457722
28,F00075,481.6683943165788
28,F00237,999.7942057976462
28,F00038,521.3354470859753
28,F00080,622.2840357008272
28,F00014,480.4643328967576
28,F00111,999.7026199071342
28,F00222,95.48713211210061
28,F00050,907.2709838526544
28,F00015,1113.6936728654402
28,F00224,967.3811334784427
28,F00143,1019.9086509594439
28,F00131,961.9340947225062
28,F00190,1637.2194941560567
28,F00045,278.94344772783944
28,F00096,679.3410105839548
28,F00101,1470.5019659726406
28,F00024,1446.503639116869
28,F00124,802.7626126628537
28,F00020,1043.7206349890732
28,F00205,885.7211759060427
28,F00039,2150.3099245244675
28,F00148,1359.0739908090723
28,F00194,1785.3113899331092
28,F00036,1403.6258034177586
28,F00147,1156.1685381615707
28,F00140,1958.0785202926484
28,F00245,1746.6676327224068
28,F00064,1344.2017969182466
29,F00075,513.1012890028352
29,F00237,1044.6020158651215
29,F00038,531.2085075780582
29,F00080,666.1193771520826
29,F00014,491.99762736539617
29,F00111,1045.6931844588098
29,F00222,100.36612215823237
29,F00050,936.3196346694425
29,F00015,1141.1851376918187
29,F00224,1028.2396426195094
29,F00143,1058.3004006952033
29,F00131,959.0417048935005
29,F00190,1702.1552891032077
29,F00045,289.1393983599615
29,F00096,699.8494249158454
29,F00101,1548.8922741584513
29,F00024,1510.4595759446806
29,F00124,819.6123073449223
29,F00020,1074.8455023280376
29,F00205,940.7603824948457
29,F00039,2299.8492101590255
29,F00148,1439.404430926746
29,F00194,1866.9371248961322
29,F00036,1386.9648505997338
29,F00147,1196.571048219304
29,F00140,2025.0357431272116
29,F00245,1795.07021644394
29,F00064,1369.5182383788358
29,F00159,1868.8363660323296
30,F00075,510.5159087600775
30,F00237,1080.897718532828
30,F00038,549.0887376062457
30,F00080,669.6399806809121
30,F00014,512.8651764653432
30,F00111,1050.5897157255397
30,F00222,99.25987905493349
30,F00050,957.1983054742809
30,F00015,1165.6957302474402
30,F00224,1031.4197831081492
30,F00143,1073.0466004324799
30,F00131,1005.539155230359
30,F00190,1758.4774946715522
30,F00045,298.0471798856123
30,F00096,724.5146008177397
30,F00101,1533.3640420574989
30,F00024,1517.5139642089493
30,F00124,824.5528849323564
30,F00020,1091.1303960398584
30,F00205,935.0744359751355
30,F00039,2278.6750258185634
30,F00148,1418.5107911772627
30,F00194,1877.801670437004
30,F00036,1456.6622299087694
30,F00147,1213.549455927949
30,F00140,2066.4119762453442
30,F00245,1859.9703963892302
30,F00064,1413.9254744567004
30,F00159,1865.7549180821404
30,F00118,819.3821537534485
31,F00075,521.3592443232902
31,F00237,1061.2970125147003
