coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,565918.5525319407,282959.27626595093,130461.72175216078,435456.8307797411,False
3,696369.7229561921,232123.2409853843,123615.63695706536,438662.03257602284,False
4,765144.342137093,191286.08553426698,63452.684789823856,440355.9859028598,False
5,781783.1972411395,156356.6394482243,13347.676956870564,441413.3752556518,False
6,843409.5186095199,140568.2531015846,13866.404740485832,442062.74792817613,False
7,895419.3393842884,127917.04848346858,14096.424249677146,442870.1603198002,False
8,958655.0316675659,119831.87895844421,14591.5842626611,443130.26933855045,False
9,1009017.7773495311,112113.08637216868,14914.066980611691,443187.9270965345,False
10,1054823.0972665465,105482.30972665355,14836.689205296225,443560.3798089319,False
11,1080005.6090621855,98182.32809656156,15092.685702314982,443857.8216047154,False
12,1102378.6005366903,91864.88337805693,15327.491506182132,443963.01545598067,False
13,1128162.011961993,86781.69322784533,15376.167457219526,444338.1925785727,False
14,1161125.8238822597,82937.5588487324,15518.160969124565,444342.0870815184,False
15,1178616.4484251065,78574.42989500683,15537.580211314222,444403.4280063924,False
16,1222859.1229449117,76428.69518405646,15434.199544360086,444530.2085378767,False
17,1246962.105264777,73350.71207439841,15677.029917361235,444660.05043601256,False
18,1278453.4700441973,71025.19278023296,15670.857450149224,444632.4532675252,False
19,1304688.3059580743,68667.80557674063,15758.993524542466,444644.0250572837,False
20,1334611.1134724924,66730.55567362462,15771.484447518531,444756.9814852706,False
21,1361317.0030673821,64824.619193684775,15877.335905593169,444839.59856348275,False
22,1394083.6937992,63367.44062723627,15881.024790928972,444866.4753931385,False
23,1416269.312126032,61576.92661417506,15964.90437153832,444966.39213932713,False
24,1454545.1909378488,60606.04962241001,15931.13855906136,444998.3118575626,False
25,1476435.4687490072,59057.41874995994,15970.812240838462,445041.09865269234,False
26,1498552.4890204458,57636.63419309375,16108.387642814807,445076.0347571733,False
27,1514958.7995865287,56109.58516987114,15743.051175845338,445011.0144722227,False
28,1532122.3521671097,54718.65543453941,15794.512141765676,445061.4113011631,False
29,1554615.5019495408,53607.43110170813,15768.29594641212,445220.9784856023,False
30,1562920.807228531,52097.3602409507,7991.828757092623,445004.09626691084,False
31,1592640.2290941833,51375.491261102456,7978.416520062505,445191.46234358026,False
32,1603439.7311604172,50107.49159876284,7974.923217231278,445173.2862089181,False
33,1621321.4793274484,49130.95391901338,8000.064019435288,445233.41804411414,False
34,1634645.8415731457,48077.81886979822,7977.297077942014,445207.0541791499,False
35,1651328.387769018,47180.81107911468,8011.121173649226,445200.9423971261,False
36,1654837.8895172884,45967.71915325785,3366.4359092003183,445217.7636609473,False
37,1677741.120006131,45344.354594760145,3369.976196138937,445221.6687004653,False
38,1682004.2538806042,44263.269838963155,3365.9897250588156,445198.16909436247,False
39,1693247.2671272093,43416.59659300523,3379.359212177388,445197.7725527607,False
40,1697446.3369703244,42436.15842425796,3361.2035918330885,445296.97419035004,False
