coalition_size,Farmer_ID,shapley_earning
2,F00210,435456.8307797411
2,F00180,130461.72175216078
3,F00210,438662.03257602284
3,F00180,134092.05342306467
3,F00114,123615.63695706536
4,F00210,440355.9859028598
4,F00180,136140.0000793631
4,F00114,125195.6713650213
4,F00221,63452.684789823856
5,F00210,441413.3752556518
5,F00180,136694.4830287942
5,F00114,126117.0992739708
5,F00221,64210.5627258342
5,F00126,13347.676956870564
6,F00210,442062.74792817613
6,F00180,137553.00095609747
6,F00114,126969.58924234209
6,F00221,65006.98356660353
6,F00126,13866.404740485832
6,F00235,57950.79217580247
7,F00210,442870.1603198002
7,F00180,138129.59719263398
7,F00114,127394.06577808106
7,F00221,65612.0068914079
7,F00126,14096.424249677146
7,F00235,58421.48069293175
7,F00168,48895.60425974803
8,F00210,443130.26933855045
8,F00180,138456.91811947068
8,F00114,127836.0045095138
8,F00221,66042.89776729867
8,F00126,14591.5842626611
8,F00235,58924.29809828247
8,F00168,49199.244685583566
8,F00107,60473.814886193
9,F00210,443187.9270965345
9,F00180,138829.74448131293
9,F00114,128122.43929111659
9,F00221,66420.3616803914
9,F00126,14914.066980611691
9,F00235,59322.55580049089
9,F00168,49499.63843649298
9,F00107,60702.89304443468
9,F00157,48018.150538132366
10,F00210,443560.3798089319
10,F00180,139041.76197324865
10,F00114,128282.24373575918
10,F00221,66711.99878043726
10,F00126,14836.689205296225
10,F00235,59537.09604022505
10,F00168,49875.475464363095
10,F00107,60931.201979524936
10,F00157,48272.70624185759
10,F00032,43773.54403689166
11,F00210,443857.8216047154
11,F00180,139357.4344771882
11,F00114,128524.66392255091
11,F00221,66906.5388966073
11,F00126,15092.685702314982
11,F00235,59716.93583035827
11,F00168,50092.32969276295
11,F00107,61335.48689779768
11,F00157,48116.13685228377
11,F00032,43803.805387445136
11,F00249,23201.769798152513
12,F00210,443963.01545598067
12,F00180,139306.06566927035
12,F00114,128609.6408944581
12,F00221,67167.35875384277
12,F00126,15327.491506182132
12,F00235,59861.124703462745
12,F00168,50063.725910703615
12,F00107,61356.91908122842
12,F00157,48678.939619648954
12,F00032,44016.48700768755
12,F00249,23431.696124353242
12,F00007,20596.135809864514
13,F00210,444338.1925785727
13,F00180,139575.9187426303
13,F00114,128792.58174386788
13,F00221,67153.7683820737
13,F00126,15376.167457219526
13,F00235,59998.761226995004
13,F00168,50358.76818805374
13,F00107,61501.972547454396
13,F00157,48590.32145556735
13,F00032,44023.99742157811
13,F00249,23595.832647285555
13,F00007,20723.63843889021
13,F00074,24132.091131800786
14,F00210,444342.0870815184
14,F00180,139633.05054582178
14,F00114,128946.00385181692
14,F00221,67178.1832385837
14,F00126,15518.160969124565
14,F00235,60133.85802873286
14,F00168,50452.909665507745
14,F00107,61808.437782321074
14,F00157,48820.68958950761
14,F00032,44345.655094526446
14,F00249,23693.115400257884
14,F00007,20816.806574230905
14,F00074,24148.334701205156
14,F00136,31288.531359098477
15,F00210,444403.4280063924
15,F00180,139745.50957876726
15,F00114,128987.4555315974
15,F00221,67380.47742754572
15,F00126,15537.580211314222
15,F00235,60244.49826873798
15,F00168,50666.56973908554
15,F00107,61887.394153747606
15,F00157,48984.688929894524
15,F00032,44326.491718684054
15,F00249,23679.029074171187
15,F00007,20834.840398500568
15,F00074,24262.436728808192
15,F00136,31432.40019434794
15,F00072,16243.648463508192
16,F00210,444530.2085378767
16,F00180,140015.25602800085
16,F00114,129191.68710017749
16,F00221,67502.83140371199
16,F00126,15434.199544360086
16,F00235,60301.82735448661
16,F00168,50697.10958736847
16,F00107,61730.77225530541
16,F00157,48956.28446414878
16,F00032,44429.28154718454
16,F00249,23890.839872167115
16,F00007,20892.170287504538
16,F00074,24448.301562331017
16,F00136,31579.84529132057
16,F00072,16359.624255693787
16,F00004,42898.88385326535
17,F00210,444660.05043601256
17,F00180,139882.63133347064
17,F00114,129222.0758596004
17,F00221,67531.22014784104
17,F00126,15677.029917361235
17,F00235,60194.066867420384
17,F00168,50709.405569410774
17,F00107,61971.5749377306
17,F00157,49093.38214374009
17,F00032,44499.56455551373
17,F00249,23967.534490730435
17,F00007,21067.16062674342
17,F00074,24437.77223637172
17,F00136,31672.846307852877
17,F00072,16548.7627880905
17,F00004,43082.09998894548
17,F00083,22744.927057937213
18,F00210,444632.4532675252
18,F00180,140069.40838937747
18,F00114,129331.98782686991
18,F00221,67623.03197129503
18,F00126,15670.857450149224
18,F00235,60426.23337003963
18,F00168,50872.81909894523
18,F00107,61992.02589671135
18,F00157,49131.9594067305
18,F00032,44500.55323434283
18,F00249,23958.65267018066
18,F00007,21071.434042712368
18,F00074,24569.623586694008
18,F00136,31884.802124783553
18,F00072,16549.875023331322
18,F00004,43118.89917691817
18,F00083,22749.58268682137
18,F00021,30299.27082076526
19,F00210,444644.0250572837
19,F00180,140179.0496836831
19,F00114,129360.89013779708
19,F00221,67632.49078036775
19,F00126,15758.993524542466
19,F00235,60522.93276958199
19,F00168,50888.889629812875
19,F00107,62015.016659637404
19,F00157,49286.82731813619
19,F00032,44667.4433380823
19,F00249,24115.73968756727
19,F00007,21226.783269485793
19,F00074,24748.175863533717
19,F00136,31849.501623472548
19,F00072,16547.771378417816
19,F00004,43065.0455968328
19,F00083,22798.80879934371
19,F00021,30265.80175152951
19,F00178,25114.119088964042
20,F00210,444756.9814852706
20,F00180,140216.51379568747
20,F00114,129392.82174111655
20,F00221,67569.0595044496
20,F00126,15771.484447518531
20,F00235,60604.98443860663
20,F00168,50906.45547228695
20,F00107,62101.40458098054
20,F00157,49347.683908367035
20,F00032,44795.44136934154
20,F00249,24121.616934293033
20,F00007,21277.649530778173
20,F00074,24808.27600528702
20,F00136,31805.102267073325
20,F00072,16601.096886850966
20,F00004,43192.18576163312
20,F00083,23064.238459213426
20,F00021,30380.780786660296
20,F00178,25151.97735703774
20,F00123,28745.358740039886
21,F00210,444839.59856348275
21,F00180,140173.25130170782
21,F00114,129392.55420480046
21,F00221,67769.07919172276
21,F00126,15877.335905593169
21,F00235,60685.44811830302
21,F00168,51028.83264936766
21,F00107,62179.72293700118
21,F00157,49455.81793143375
21,F00032,44778.16579027811
21,F00249,24114.38445707389
21,F00007,21355.303680834633
21,F00074,24693.8523046667
21,F00136,31879.46047832309
21,F00072,16719.10616941025
21,F00004,43257.02446943804
21,F00083,23021.045894898863
21,F00021,30426.827094552802
21,F00178,25200.72326005752
21,F00123,28887.57056582677
21,F00066,25581.898098606922
22,F00210,444866.4753931385
22,F00180,140269.46593404433
22,F00114,129496.02733017982
22,F00221,67826.58971333504
22,F00126,15881.024790928972
22,F00235,60702.73077241093
22,F00168,50943.74710674068
22,F00107,62197.637313931635
22,F00157,49300.707520750344
22,F00032,44911.81200866286
22,F00249,24230.99940498203
22,F00007,21415.22622537301
22,F00074,24769.305078979174
22,F00136,31882.872460477036
22,F00072,16753.36189891742
22,F00004,43293.785608399994
22,F00083,23196.827686859207
22,F00021,30497.426603402222
22,F00178,25244.39837724721
22,F00123,29009.02530647764
22,F00066,25650.716683952214
22,F00142,31743.5305800075
23,F00210,444966.39213932713
23,F00180,140265.42781939098
23,F00114,129524.42862273903
23,F00221,67902.68956418397
23,F00126,15964.90437153832
23,F00235,60757.772889562366
23,F00168,51023.153417097616
23,F00107,62282.54741629706
23,F00157,49459.67601998343
23,F00032,44852.67363901391
23,F00249,24261.70373203697
23,F00007,21411.427676534066
23,F00074,24846.484544706327
23,F00136,32049.06186612872
23,F00072,16698.987286070682
23,F00004,43274.06518728037
23,F00083,23204.146320687763
23,F00021,30580.549440676154
23,F00178,25312.02378950686
23,F00123,28904.637783361526
23,F00066,25764.147159866916
23,F00142,31786.84018935281
23,F00163,21175.57125068317
24,F00210,444998.3118575626
24,F00180,140387.9362722265
24,F00114,129580.63602285204
24,F00221,67986.96131288099
24,F00126,15931.13855906136
24,F00235,60731.54374475665
24,F00168,51181.03821046673
24,F00107,62261.63510111376
24,F00157,49535.41043859618
24,F00032,44903.04338310514
24,F00249,24312.79065772356
24,F00007,21455.49420294452
24,F00074,24852.183497761398
24,F00136,32027.16426361581
24,F00072,16721.513396482587
24,F00004,43296.90771940894
24,F00083,23285.96593101424
24,F00021,30428.877634772663
24,F00178,25214.801469040525
24,F00123,29011.444942359667
24,F00066,25773.719971946208
24,F00142,31968.904415422017
24,F00163,21275.294361145177
24,F00119,37422.47357158116
25,F00210,445041.09865269234
25,F00180,140360.29365252415
25,F00114,129515.25996303318
25,F00221,67893.75364456975
25,F00126,15970.812240838462
25,F00235,60823.66685456887
25,F00168,51257.9371550771
25,F00107,62439.92781745199
25,F00157,49493.664283075515
25,F00032,44954.22460553076
25,F00249,24136.458855116187
25,F00007,21536.884154317468
25,F00074,24999.937816365644
25,F00136,32028.44091586427
25,F00072,16737.887716712146
25,F00004,43319.50543152581
25,F00083,23226.650650169788
25,F00021,30612.904355383693
25,F00178,25492.567010354414
25,F00123,29044.17398878864
25,F00066,25833.333833704983
25,F00142,31974.732005771493
25,F00163,21389.74889136606
25,F00119,37407.531421675194
25,F00212,20944.07283252086
26,F00210,445076.0347571733
26,F00180,140412.63667150526
26,F00114,129663.54455519163
26,F00221,68059.25332178589
26,F00126,16108.387642814807
26,F00235,60839.16658260309
26,F00168,51144.6671578844
26,F00107,62423.050841071905
26,F00157,49503.490978284266
26,F00032,44943.83882265612
26,F00249,24352.520006027647
26,F00007,21539.900866136377
26,F00074,24873.85340729333
26,F00136,32203.59725714166
26,F00072,16862.71280294695
26,F00004,43258.40956389377
26,F00083,23319.691304349904
26,F00021,30645.105783762865
26,F00178,25424.537992754
26,F00123,28991.804862746067
26,F00066,25705.297675910373
26,F00142,31946.48253087511
26,F00163,21313.17283166173
26,F00119,37455.93794855173
26,F00212,21123.301312932887
26,F00226,21362.09154248238
27,F00210,445011.0144722227
27,F00180,140530.42692742942
27,F00114,129756.69086571653
27,F00221,67872.20229451742
27,F00126,15970.293951652813
27,F00235,60792.17083667805
27,F00168,51251.65380987842
27,F00107,62514.97442234765
27,F00157,49522.48349265032
27,F00032,45029.569022172145
27,F00249,24384.764369161046
27,F00007,21643.030903708022
27,F00074,25015.492231421267
27,F00136,32077.023230798775
27,F00072,16850.51474396731
27,F00004,43488.41111483208
27,F00083,23349.370578276285
27,F00021,30680.53788832788
27,F00178,25341.71625544377
27,F00123,29176.647243580395
27,F00066,25923.000443165813
27,F00142,31992.533642881666
27,F00163,21327.70175012484
27,F00119,37413.79651506715
27,F00212,21023.490904217564
27,F00226,21276.236500435898
27,F00203,15743.051175845338
28,F00210,445061.4113011631
28,F00180,140448.16567680554
28,F00114,129718.53435574732
28,F00221,68105.09082894571
28,F00126,16055.79295859493
28,F00235,60929.3697170503
28,F00168,51328.42585457027
28,F00107,62342.861954163214
28,F00157,49674.248985566155
28,F00032,44961.8801154543
28,F00249,24376.94713218437
28,F00007,21642.15482956989
28,F00074,25068.562573364998
28,F00136,32097.10755098979
28,F00072,16854.573536284297
28,F00004,43498.34760158052
28,F00083,23325.060881230682
28,F00021,30701.333794001202
28,F00178,25402.854258648942
28,F00123,29129.421239815438
28,F00066,25931.490307578315
28,F00142,32039.26394138657
28,F00163,21337.872226736672
28,F00119,37512.17444694176
28,F00212,21093.617752090544
28,F00226,21197.517575603128
28,F00203,15794.512141765676
28,F00048,16493.75862926991
29,F00210,445220.9784856023
29,F00180,140523.84300700983
29,F00114,129736.34816884727
29,F00221,68074.92561434711
29,F00126,16087.557432478168
29,F00235,60928.554029407045
29,F00168,51220.888757524895
29,F00107,62458.401318460215
29,F00157,49559.4802707986
29,F00032,45044.16583369519
29,F00249,24443.515746564735
29,F00007,21620.226179440353
29,F00074,25017.056111172355
29,F00136,32289.99120240628
29,F00072,16914.334435269597
29,F00004,43429.7659445927
29,F00083,23296.83645346235
29,F00021,30757.01046498583
29,F00178,25417.07232743639
29,F00123,29214.89631753865
29,F00066,26072.21112717413
29,F00142,32014.513172622956
29,F00163,21308.45492675495
29,F00119,37441.63402193233
29,F00212,21079.68711802026
29,F00226,21303.28776983178
29,F00203,15768.29594641212
29,F00048,16527.028105774556
29,F00204,21844.541659972616
30,F00210,445004.09626691084
30,F00180,140505.78609395353
30,F00114,129790.57449358942
30,F00221,68197.35007031419
30,F00126,16093.251503371119
30,F00235,60893.536762503376
30,F00168,51340.30378018668
30,F00107,62514.665121738944
30,F00157,49677.96770076376
30,F00032,45100.4316737599
30,F00249,24414.498656358912
30,F00007,21696.240687758782
30,F00074,25143.66424472148
30,F00136,32239.585276266087
30,F00072,16921.47963299153
30,F00004,43439.50249932352
30,F00083,23312.962265343293
